Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
The Salt Cafe Kitchen & Bar,1000,"North Indian,Continental,Italian",Agra,Tajganj,Casual Dining,1130am to 1130pm(Mon-Sun),Excellent,4.8,273
Bhagat Halwai,300,"Desserts,Bakery,Fast Food,South Indian",Agra,Civil Lines,Quick Bites,730am to 11pm(Mon-Sun),Very Good,4.3,554
Bikanervala,700,"North Indian,South Indian,Mithai,Street Food,Desserts",Agra,Khandari,Quick Bites,8am to 11pm(Mon-Sun),Very Good,4.4,645
Mama Chicken Mama Franky House,600,"North Indian,Mughlai,Rolls,Chinese,Fast Food,Street Food",Agra,Agra Cantt,Quick Bites,"1230pm to 12midnight(Mon,Wed,Thu,Fri,Sat...",Very Good,4.3,894
Honeydew Restaurant,500,"North Indian,Fast Food,Chinese,South Indian",Agra,Dayal Bagh,Quick Bites,"11am to 1035pm(Mon,Tue,Wed,Fri,Sat),11am to ...",Very Good,4.1,489
Cafe Turquoise Cottage,1600,"North Indian,Chinese,Continental,Italian,Pizza",Agra,Tajganj,Casual Dining,12noon to 1155pm(Mon-Sun),Excellent,4.7,294
Hichkee,1200,"Continental,North Indian,Chinese",Agra,Civil Lines,Casual Dining,4pm to 1am(Mon-Sun),Very Good,4.4,581
Domino's Pizza,700,"Pizza,Fast Food",Agra,Civil Lines,Quick Bites,11am to 11pm(Mon-Sun),Good,3.9,583
Urban Deck,1000,"Mexican,Italian,North Indian",Agra,Khandari,Casual Dining,1pm to 12midnight(Mon-Sun),Very Good,4.3,608
Pinch Of Spice,1600,"North Indian,Chinese,Mughlai",Agra,Civil Lines,Casual Dining,"12noon to 4pm,7pm to 1130pm(Mon-Sun)",Excellent,4.5,863
Pizza Hut,700,"Italian,Pizza",Agra,Tajganj,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.0,547
Aahar,700,"North Indian,South Indian,Chinese,Bakery,Momos",Agra,Civil Lines,Casual Dining,10am to 11pm(Mon-Sun),Very Good,4.0,368
Tea'se Me - Rooftop Tea Boutique,1000,"Chinese,Italian,Continental,North Indian",Agra,Tajganj,Casual Dining,12noon to 1130pm(Mon-Sun),Excellent,4.7,676
Shree Balaji Family Restaurant,400,"North Indian,South Indian,Fast Food",Agra,Sikandra,Quick Bites,11am to 11pm(Mon-Sun),Good,3.8,254
GMB - Gopika Sweets & Restaurant,400,"Desserts,North Indian,South Indian,Chinese,Fast Food,Street Food",Agra,Tajganj,Casual Dining,8am to 11pm(Mon-Sun),Very Good,4.1,279
Kings Pizza And Burger,200,Fast Food,Agra,Kamla Nagar,Quick Bites,1130am to 10pm(Mon-Sun),Good,3.5,40
RS Sweets & Restaurant,650,"North Indian,South Indian",Agra,Dayal Bagh,Casual Dining,9am to 1030pm(Mon-Sun),Good,3.7,79
Cake D'or,1600,"Bakery,Desserts",Agra,Civil Lines,Bakery,12noon to 10pm(Mon-Sun),Very Good,4.1,53
Mirch  Lagi,100,North Indian,Agra,Civil Lines,Quick Bites,10am to 9pm(Mon-Sun),Good,3.7,50
Lakshmi Vilas,400,South Indian,Agra,Agra Cantt,Casual Dining,"11am to 1030pm(Mon,Wed,Thu,Fri,Sat,Sun)...",Good,3.7,65
Mughal Spice,1150,"North Indian,Chinese,Continental",Agra,Tajganj,Casual Dining,"830am to 930pm(Mon,Tue,Wed,Thu,Sat,Sun)...",Very Good,4.0,49
