Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Eat Punjab,750,"North Indian,Chinese,Fast Food",Ahmedabad,Chandkheda,Casual Dining,"1030am to 330pm,630pm to 1130pm(Mon-Sun)",Good,3.7,1345
9834 The Fruit Truck,400,"Beverages,Desserts",Ahmedabad,Food Truck Park,Food Truck,9am to 1am(Mon-Sun),Very Good,4.4,561
The Esplendido Cafe,800,"Cafe,American,Italian,Chinese,Beverages",Ahmedabad,Navrangpura,Café,"1130am to 1130pm(Mon-Tue),12noon to 1130pm...",Very Good,4.4,1013
Makeba - The Lounge Cafe,1000,"Cafe,Italian,Mexican,Healthy Food",Ahmedabad,Vastrapur,Café,12noon to 12midnight(Mon-Sun),Very Good,4.2,399
Honest,700,"North Indian,South Indian,Fast Food,Chinese",Ahmedabad,Prahlad Nagar,Casual Dining,11am to 12midnight(Mon-Sun),Good,3.9,832
The Cafe Baraco,1000,"Cafe,Italian",Ahmedabad,Navrangpura,Café,11am to 12midnight(Mon-Sun),Very Good,4.3,1535
Huber & Holly,800,"Cafe,Desserts",Ahmedabad,Bodakdev,Café,11am to 1130pm(Mon-Sun),Excellent,4.8,1415
I Love Sandwich House,900,"Cafe,Sandwich",Ahmedabad,Bodakdev,Café,10am to 1am(Mon-Sun),Very Good,4.2,1109
Bogarosa,800,"Continental,North Indian",Ahmedabad,Bodakdev,Casual Dining,12noon to 1am(Mon-Sun),Very Good,4.1,1156
Parosa,800,"Italian,Mexican,North Indian",Ahmedabad,Bodakdev,Casual Dining,"12noon to 12midnight(Mon,Tue,Wed,Fri),11am to ...",Very Good,4.1,795
Mocha,800,"Cafe,Italian",Ahmedabad,C G Road,Café,"11am to 11pm(Mon),11am to 1230AM(Tue-Sun)",Very Good,4.4,970
Tea Villa Cafe,1000,"Cafe,Italian,Continental",Ahmedabad,Navrangpura,Café,9am to 12midnight(Mon-Sun),Very Good,4.1,718
Unlocked,1000,"Cafe,Italian,European,Continental",Ahmedabad,Navrangpura,Café,"11am to 11pm(Mon-Wed),6pm to 11pm(Thu),11am to ...",Very Good,4.3,1253
And Me Cafe,1000,"Cafe,Fast Food",Ahmedabad,Bodakdev,Café,"12midnight to 1am,11am to 11pm(Mon),11am to ...",Very Good,4.0,305
Anjoy Latenight Meals,500,"North Indian,Fast Food",Ahmedabad,Vastrapur,none,"12noon to 4pm,730pm to 430am(Mon-Sun)",Very Good,4.3,1158
Khush Maza,450,North Indian,Ahmedabad,Gurukul,none,11am to 3am(Mon-Sun),Very Good,4.2,224
Purohit Restaurant,550,"South Indian,North Indian,Fast Food",Ahmedabad,Mani Nagar,Casual Dining,10am to 1130pm(Mon-Sun),Very Good,4.1,253
Legends Of Punjab - By Pepperazi,700,"North Indian,Italian,BBQ,Mexican,Thai",Ahmedabad,Gulbai Tekra,Casual Dining,"12noon to 3pm,7pm to 11pm(Mon-Sun)",Very Good,4.1,222
Las Vegas Waffwich & Hunger Cafe,300,"Desserts,Cafe",Ahmedabad,Navrangpura,Dessert Parlor,11am to 12midnight(Mon-Sun),Very Good,4.1,76
Jay Nilkanth Food,400,"North Indian,Chinese",Ahmedabad,Navrangpura,Quick Bites,11am to 11pm(Mon-Sun),Average,3.1,1350
Bistro 61,800,"North Indian,Continental,Mexican,Chinese",Ahmedabad,Vastrapur,Casual Dining,"11am to 3pm,7pm to 3am(Mon-Sun)",Average,2.8,313
The Red Bistro,1400,"Mexican,Italian,North Indian",Ahmedabad,Bodakdev,Casual Dining,"630pm to 1045pm(Mon),12noon to 1045pm(Tue-Sun)",Excellent,4.6,494
La Pino'z Pizza,500,Pizza,Ahmedabad,Bodakdev,Quick Bites,11am to 11pm(Mon-Sun),Excellent,4.5,2330
Sigdi Restaurant,600,"North Indian,Mughlai,Chinese",Ahmedabad,Sarkhej,Casual Dining,5pm to 12midnight(Mon-Sun),Good,3.8,231
Shree Annpurna,500,"North Indian,Chinese",Ahmedabad,Mani Nagar,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.1,1799
Kadak Bhagat,1000,"North Indian,Chinese,Fast Food",Ahmedabad,Prahlad Nagar,Casual Dining,"1130am to 330pm,7pm to 11pm(Mon-Sun)",Excellent,4.6,449
The VJ Cafe,300,Cafe,Ahmedabad,Memnagar,Café,"1130am to 1130pm(Mon-Fri),1130am to 12midnight...",Good,3.7,147
Swati Snacks,600,"Fast Food,Street Food,South Indian",Ahmedabad,Ellis Bridge,Quick Bites,12noon to 1045pm(Mon-Sun),Excellent,4.6,1302
The Pizza Dome,400,Pizza,Ahmedabad,Vastrapur,Quick Bites,11am to 2am(Mon-Sun),Good,3.8,174
The Bombay Churros,300,Desserts,Ahmedabad,Bodakdev,Dessert Parlor,"1230pm to 1230AM(Mon,Tue,Wed,Fri,Sat,Sun)...",Very Good,4.3,116
Fix Box,400,North Indian,Ahmedabad,Bopal,Quick Bites,"11am to 3pm,7pm to 11pm(Mon-Sun)",Average,2.9,11
TIFFIN 4 U,250,Gujarati,Ahmedabad,Satellite,none,10am to 9pm(Mon-Sun),Average,3.0,10
Shree Ganesh,150,South Indian,Ahmedabad,C G Road,Quick Bites,10am to 10pm(Mon-Sun),Average,3.0,4
Manju's - The Art of Cooking,500,Bakery,Ahmedabad,Navrangpura,Bakery,1030am to 9pm(Mon-Sun),Average,3.2,4
Meal Man,200,Gujarati,Ahmedabad,Thaltej,none,"6am to 930am,4pm to 6pm(Mon-Sat),Closed(Sun)",Average,3.2,10
Gujju's Tiffin Point,300,"North Indian,Gujarati",Ahmedabad,Chandkheda,Quick Bites,11am to 9pm(Mon-Sun),Average,3.1,11
Unity Cafe,500,North Indian,Ahmedabad,C G Road,Casual Dining,9am to 11pm(Mon-Sun),Average,3.0,4
Sugar Bunnies,400,"Bakery,Desserts",Ahmedabad,Navrangpura,Bakery,11am to 10pm(Mon-Sun),Average,3.1,6
Brownie's,300,"Bakery,Fast Food",Ahmedabad,Prahlad Nagar,Bakery,9am to 11pm(Mon-Sun),Average,2.9,7
Radhe Dinning Hall,500,"Gujarati,North Indian",Ahmedabad,Nikol,Casual Dining,"1030am to 3pm,630pm to 1030pm(Mon-Sun)",Average,2.9,11
Crepes n Coffee,300,Cafe,Ahmedabad,Taste Of Ahmedabad-- Bopal,Café,7am to 11pm(Mon-Sun),Average,3.1,8
Sejal's Kitchen,300,"North Indian,Fast Food",Ahmedabad,Satellite,Quick Bites,830am to 10pm(Mon-Sun),Average,3.0,7
Prince Snacks,400,"Street Food,Fast Food",Ahmedabad,Mani Nagar,Quick Bites,6pm to 11pm(Mon-Sun),Average,3.2,8
Hari Om Dalbati,300,"Rajasthani,North Indian",Ahmedabad,Chandkheda,Quick Bites,"11am to 3pm,7pm to 11pm(Mon-Sun)",Average,3.0,5
