Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Domino's Pizza,700,"Pizza,Fast Food",Allahabad,Civil Lines,Quick Bites,11am to 11pm(Mon-Sun),Good,3.7,518
Pizza Hut,700,"Italian,Pizza",Allahabad,Civil Lines,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.0,567
Well Bean Cafe,500,Cafe,Allahabad,Civil Lines,Café,11am to 11pm(Mon-Sun),Very Good,4.4,286
Old School Cafe,1000,"Cafe,North Indian,Continental,Chinese,Indian,Thai,Burger",Allahabad,Civil Lines,Café,11am to 11pm(Mon-Sun),Very Good,4.4,360
KFC,600,"Burger,Fast Food",Allahabad,Civil Lines,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.2,432
Nainital Momos,400,"Momos,Beverages",Allahabad,Civil Lines,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.0,123
Mr. Dewsis,600,"North Indian,Chinese",Allahabad,Civil Lines,Casual Dining,8am to 11pm(Mon-Sun),Very Good,4.2,486
Bikanerwala,500,"North Indian,Street Food,Fast Food",Allahabad,Civil Lines,Casual Dining,8am to 11pm(Mon-Sun),Sangat Baik,4.2,226
EDEN by Connoisseur,1000,"North Indian,Chinese,Continental",Allahabad,Civil Lines,Casual Dining,12noon to 11pm(Mon-Sun),Excellent,4.5,97
Aryan Family's Delight,500,"North Indian,South Indian,Fast Food",Allahabad,Civil Lines,Casual Dining,11am to 12midnight(Mon-Sun),Very Good,4.3,299
7th Heaven,200,"Bakery,Italian,Continental,Desserts",Allahabad,Civil Lines,Dessert Parlor,11am to 11pm(Mon-Sun),Very Good,4.0,79
Pind Balluchi,1000,"North Indian,Mughlai",Allahabad,Civil Lines,Casual Dining,12noon to 11pm(Mon-Sun),Very Good,4.3,305
Haldiram Bhujiawala,700,"North Indian,Fast Food,Street Food,South Indian,Chinese",Allahabad,Civil Lines,Casual Dining,8am to 11pm(Mon-Sun),Very Good,4.1,317
Makkhan's,1000,North Indian,Allahabad,Civil Lines,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.1,83
