Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Jazeerah Restaurant,400,"Malwani,Modern Indian,Roast Chicken,Seafood",Amravati,Ambapeth,Casual Dining,11am to 12midnight(Mon-Sun),Very Good,4.2,26
Hotel Up & Above,200,North Indian,Amravati,Maltekedi,Casual Dining,11am to 11pm(Mon-Sun),Excellent,4.6,31
New Punjabi Dhaba & Restaurant,200,"Indian,North Indian,Maharashtrian",Amravati,Ambapeth,Quick Bites,1130am to 11pm(Mon-Sun),Very Good,4.1,14
New Eagle Restaurant,200,North Indian,Amravati,Nai Basti,Casual Dining,930am to 11pm(Mon-Sun),Excellent,4.5,25
South Kitchen,500,"North Indian,South Indian",Amravati,Maltekedi,Casual Dining,630am to 1030pm(Mon-Sun),Very Good,4.0,8
Al Basheer Restaurant,200,North Indian,Amravati,Nai Basti,Casual Dining,9am to 11pm(Mon-Sun),Good,3.7,21
Bombay Street Cafe,300,Fast Food,Amravati,Ambapeth,Casual Dining,8am to 11pm(Mon-Sun),Good,3.8,9
Manvaar - The Indian Restaurant,300,"Juices,Modern Indian",Amravati,Ambapeth,Quick Bites,11am to 11pm(Mon-Sun),Good,3.7,8
Goli Vada Pav No- 1,100,Maharashtrian,Amravati,Arjun Nagar,Quick Bites,10am to 11pm(Mon-Sun),Good,3.9,11
Cafe Eatalious,200,"Pizza,Sandwich,Burger,Rolls,Chinese,Beverages",Amravati,Sai Nagar,none,10am to 11pm(Mon-Sun),Very Good,4.1,14
Mamaji Restaurant,200,North Indian,Amravati,Maltekedi,Casual Dining,11am to 11pm(Mon-Sun),Average,3.1,11
Foodbux Cafe,200,"Pizza,Burger,Sandwich",Amravati,Maltekedi,Café,11am to 11pm(Mon-Sun),Very Good,4.0,8
Taste Of South,500,"North Indian,South Indian",Amravati,Maltekedi,Casual Dining,8am to 11pm(Mon-Sun),Good,3.5,10
Heritage Kitchen Restaurant & Celebration Hall,300,North Indian,Amravati,Navsaari,Casual Dining,11am to 11pm(Mon-Sun),Average,3.4,9
Raai Jeera Veg & Desi Restaurant,250,North Indian,Amravati,Ambapeth,Casual Dining,11am to 11pm(Mon-Sun),Good,3.6,6
Santosh Bhuwan,100,North Indian,Amravati,Maltekedi,Quick Bites,8am to 11pm(Mon-Sun),Good,3.6,5
Kanhaiya Kunj,200,Indian,Amravati,Sai Nagar,none,10am to 11pm(Mon-Sun),Very Good,4.1,6
manmohan family restaurant,200,"South Indian,North Indian,Maharashtrian,Indian,Fast Food,Chinese",Amravati,Maltekedi,Fine Dining,11am to 1030pm(Mon-Sun),Average,3.1,9
Chaat Bazaar,300,"Burger,Chinese,Fast Food,Healthy Food,Ice Cream,North Indian,Sandwich,South Indian",Amravati,Maltekedi,Dessert Parlor,1230pm to 11pm(Mon-Sun),Good,3.9,6
Goli Vada Pav No-1,200,"Sandwich,Fast Food,Maharashtrian",Amravati,Sharda Vihar,Quick Bites,10am to 11pm(Mon-Sun),Good,3.8,9
Marasim Restaurant,300,"Biryani,Seafood,Malwani",Amravati,Hazrat Bilal Nagar,Quick Bites,11am to 11pm(Mon-Sun),Good,3.9,8
Sahuji Ka Dhaba,200,North Indian,Amravati,Ambapeth,Casual Dining,1130am to 10pm(Mon-Sun),Very Good,4.0,10
Hotel Abdullah,200,"Biryani,North Indian,Seafood,Chinese",Amravati,Ambapeth,Casual Dining,"930am to 630pm(Mon-Sat),Closed(Sun)",Excellent,4.7,10
Spru's Pizza Cafe,200,"Pizza,Sandwich,Burger",Amravati,Sai Nagar,none,2pm to 11pm(Mon-Sun),Good,3.7,7
New Kolkata Rolls,100,Rolls,Amravati,Navsaari,Food Court,12noon to 1030pm(Mon-Sun),Good,3.9,5
D' Barbeque a Unit of Warhadi Thath,200,North Indian,Amravati,Ambapeth,Quick Bites,12noon to 11pm(Mon-Sun),Good,3.8,5
SAI Chinese & Fast Food,150,"Chinese,Fast Food",Amravati,Hazrat Bilal Nagar,Quick Bites,(Mon-Sun),Good,3.9,7
Kazim's Pizza & Tandoor,200,North Indian,Amravati,Transport Nagar,Quick Bites,6pm to 11pm(Mon-Sun),Good,3.8,8
Purnabhramha,400,"North Indian,Maharashtrian",Amravati,Ambapeth,Quick Bites,(Mon-Sun),Good,3.6,6
BARBEQUE - N,300,"North Indian,Maharashtrian,Indian",Amravati,Maltekedi,Fine Dining,11am to 11pm(Mon-Sun),Good,3.5,4
Spice Kitchen,200,North Indian,Amravati,Maltekedi,Casual Dining,11am to 11pm(Mon-Sun),Average,3.2,5
Delhi Paratha House,200,North Indian,Amravati,Sharda Vihar,Quick Bites,(Mon-Sun),Good,3.6,4
Shivshakti Icecream and Juice,100,"Juices,Ice Cream",Amravati,Ambapeth,Beverage Shop,(Mon-Sun),Good,3.5,4
The Mini Punjab,500,"Indian,Maharashtrian",Amravati,Maltekedi,Casual Dining,11am to 11pm(Mon-Sun),Good,3.5,4
Nescafe,300,"Bakery,Cafe,Chinese,Coffee,Fast Food,Healthy Food,Indian,Pizza",Amravati,Maltekedi,Café,"6am to 9pm,11pm to 1130pm,10pm to 1030pm...",Average,3.4,5
Sukh Sagar Fast Food And Restaurant,300,North Indian,Amravati,Ambapeth,Casual Dining,930am to 10pm(Mon-Sun),Average,3.0,4
Panino The Sandwich World,200,"Burger,Fast Food,Cafe,Sandwich",Amravati,Ambapeth,Casual Dining,12noon to 11pm(Mon-Sun),Good,3.7,4
Khamaz The House Of Biryani,300,"Biryani,Roast Chicken",Amravati,Maltekedi,Casual Dining,6pm to 11pm(Mon-Sun),Good,3.8,4
Hotel Iccha,500,North Indian,Amravati,Sharda Vihar,Casual Dining,10am to 11pm(Mon-Sun),Good,3.6,5
Biryani House,200,Biryani,Amravati,Navsaari,Casual Dining,4pm to 11pm(Mon-Sun),Average,3.2,4
Mohini's Food Square,250,"North Indian,Chinese",Amravati,Navsaari,Casual Dining,12noon to 11pm(Mon-Sun),Good,3.5,4
Hotel Mezbaan,200,"North Indian,Maharashtrian,Indian,Chinese",Amravati,Maltekedi,Fine Dining,4pm to 11pm(Mon-Sun),Average,3.1,4
Mauli Restaurant,600,"North Indian,Chinese",Amravati,Dastur Nagar,Casual Dining,"11am to 1030pm(Mon),11am to 11pm(Tue-Sun)",Average,3.4,4
Purple Wok Co,250,"Chinese,Juices,Momos",Amravati,Maltekedi,Casual Dining,11am to 11pm(Mon-Sun),Average,3.4,4
