Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Mojo Pizza - 2X Toppings,600,Pizza,Bengaluru,Bannerghatta Road,none,11am to 1am(Mon-Sun),Very Good,4.2,395
Byg Brewski Brewing Company,1600,"Continental,North Indian,Italian,South Indian,Finger Food",Bengaluru,Sarjapur Road,Microbrewery,1230pm to 1am(Mon-Sun),Excellent,4.9,17430
Meghana Foods,600,"Biryani,Andhra,North Indian,Seafood",Bengaluru,Koramangala 5th Block,Casual Dining,"1145am to 45pm,7pm to 1am(Mon-Sat),1145am to ...",Very Good,4.4,7360
The Bier Library,2000,"Continental,North Indian,Pizza,BBQ",Bengaluru,Koramangala 6th Block,Microbrewery,12noon to 1am(Mon-Sun),Very Good,4.4,751
Hoot,1400,"Continental,Italian,North Indian",Bengaluru,Sarjapur Road,Microbrewery,"12noon to 1230AM(Mon,Tue,Wed,Thu,Sun),12noon...",Very Good,4.1,7458
Sarjapur Social,1500,"American,North Indian,Chinese,European,Asian,South Indian,Fast Food,Biryani",Bengaluru,Sarjapur Road,Casual Dining,9am to 1230AM(Mon-Sun),Excellent,4.5,1426
Hammered,1300,"North Indian,Thai,Japanese,Continental,Cafe",Bengaluru,Cunningham Road,Pub,11am to 1am(Mon-Sun),Excellent,4.6,5048
XOOX Brewmill,2000,"Modern Indian,European,Asian",Bengaluru,Koramangala 5th Block,Microbrewery,12noon to 1am(Mon-Sun),Excellent,4.5,1784
Glen's Bakehouse,600,"Bakery,Cafe,Italian,Desserts",Bengaluru,Indiranagar,Bakery,9am to 12midnight(Mon-Sun),Very Good,4.3,5435
The Reservoire,1300,"Continental,North Indian,Chinese,American",Bengaluru,Koramangala 5th Block,Bar,"11am to 1am(Mon-Fri),830am to 1am(Sat-Sun)",Excellent,4.6,2726
Brew and Barbeque - A Microbrewery Pub,1400,"Continental,North Indian,BBQ,Steak",Bengaluru,Soul Space Arena Mall-- Marathahalli,Microbrewery,"1230pm to 1130pm(Mon-Tue),1230pm to 1am...",Excellent,4.6,6354
Al Daaz,550,"North Indian,Continental,BBQ",Bengaluru,HSR,Casual Dining,"12noon to 1230AM(Mon,Tue,Wed,Thu,Sat,Sun)...",Very Good,4.3,737
Stories,1100,"Continental,North Indian,Chinese",Bengaluru,Rajajinagar,Casual Dining,12noon to 1am(Mon-Sun),Excellent,4.6,2644
The Druid Garden,1700,"Asian,Continental,European,North Indian,Mediterranean",Bengaluru,Sahakara Nagar,Microbrewery,"12noon to 1130pm(Mon,Tue,Wed,Thu,Sun),12noon...",Velmi dobré,4.3,3171
The Fisherman's Wharf,1400,"Seafood,Goan,North Indian,Continental,Asian",Bengaluru,Sarjapur Road,Casual Dining,12noon to 1am(Mon-Sun),Very Good,4.3,4207
Dine With Singhs,300,"North Indian,Chinese",Bengaluru,Koramangala 1st Block,Quick Bites,"7am to 12midnight(Mon,Tue,Wed,Thu,Sun),7am...",Good,3.6,25
Richie Rich,450,"Desserts,Beverages,Fast Food,Ice Cream",Bengaluru,Race Course Road,Dessert Parlor,"12midnight to 1am,9am to 12midnight(Mon-Sun)",Very Good,4.0,644
Carnival de Goa,1000,"Goan,Mangalorean,Pizza",Bengaluru,Ulsoor,Casual Dining,"12noon to 11pm(Mon,Tue,Wed,Thu,Sun),12noon...",Very Good,4.2,1007
Fava,1200,"Healthy Food,Mediterranean,Desserts,Italian,Pizza,Salad,Kebab",Bengaluru,UB City,Casual Dining,"12noon to 1130pm(Mon,Tue,Wed,Thu,Sun),12noon...",Very Good,4.4,2079
Coast,750,"Seafood,Mangalorean,North Indian,Biryani",Bengaluru,Jeevan Bhima Nagar,Casual Dining,11am to 12midnight(Mon-Sun),Average,3.2,110
Behrouz Biryani,650,Biryani,Bengaluru,RT Nagar,none,10am to 1am(Mon-Sun),Very Good,4.3,81
Bangalore Pantry,400,"Chinese,North Indian,Biryani,Arabian",Bengaluru,Bannerghatta Road,Quick Bites,12noon to 12midnight(Mon-Sun),Good,3.8,56
Madeena Hotel,400,"North Indian,Mughlai,Biryani",Bengaluru,Koramangala 5th Block,Quick Bites,12noon to 1am(Mon-Sun),Very Good,4.1,113
#BEiR @ Church Street,1100,"Finger Food,Continental,Mexican,Burger",Bengaluru,Church Street,Pub,12noon to 12midnight(Mon-Sun),Very Good,4.0,781
McDonald's,500,"Burger,Fast Food",Bengaluru,Koramangala 5th Block,Quick Bites,9am to 1am(Mon-Sun),Good,3.8,299
Biryani Rooh-e-Khaas,500,"Biryani,Mughlai",Bengaluru,HSR,none,1130am to 230am(Mon-Sun),Very Good,4.4,83
Tall Blonde French,400,Fast Food,Bengaluru,Koramangala 5th Block,Quick Bites,1130am to 3am(Mon-Sun),Very Good,4.3,742
Hotel Tom's Restaurant,1000,"Mangalorean,Seafood,Chinese,North Indian",Bengaluru,Richmond Road,Casual Dining,"11am to 4pm,7pm to 11pm(Mon-Thu),11am to 4pm...",Very Good,4.4,736
Holiday Village,800,"North Indian,Chinese",Bengaluru,Kanakapura Road,Casual Dining,10am to 12midnight(Mon-Sun),Good,3.9,287
Upahara Darshini,400,"South Indian,North Indian,Chinese",Bengaluru,Jayanagar,Quick Bites,730am to 1030pm(Mon-Sun),Good,3.9,349
Occasions,400,"Bakery,Desserts",Bengaluru,Koramangala 4th Block,Bakery,10am to 11pm(Mon-Sun),Very Good,4.3,204
