Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Sagar Gaire Fast Food,300,"North Indian,South Indian,Chinese,Fast Food,Beverages",Bhopal,TT Nagar,Quick Bites,9am to 11pm(Mon-Sun),Excellent,4.5,1401
Zam Zam Fast Food,500,"North Indian,Mughlai",Bhopal,Peer Gate Area,Casual Dining,11am to 12midnight(Mon-Sun),Very Good,4.1,869
Manohar Dairy And Restaurant,400,"Street Food,South Indian,Fast Food,Desserts,North Indian,Chinese,Bakery,Mithai",Bhopal,Peer Gate Area,Quick Bites,9am to 11pm(Mon-Sun),Very Good,4.4,756
Vishnu Chinese Fast Food,350,"North Indian,South Indian,Chinese,Fast Food",Bhopal,Maharana Pratap Nagar,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.3,798
Khan Sahab,600,"North Indian,Mughlai",Bhopal,Peer Gate Area,Casual Dining,11am to 12midnight(Mon-Sun),Very Good,4.2,739
Al-Beik,300,Fast Food,Bhopal,Maharana Pratap Nagar,Quick Bites,"12noon to 11pm(Mon-Sat),11am to 11pm(Sun)",Very Good,4.3,1018
Anni Bhai ki Biryani,250,Biryani,Bhopal,JP Nagar,Quick Bites,1030am to 3am(Mon-Sun),Excellent,4.5,282
Bapu Ki Kutia,400,"North Indian,Chinese,South Indian,Fast Food,Street Food",Bhopal,TT Nagar,Quick Bites,1030am to 1130pm(Mon-Sun),Good,3.9,520
Rajhans Thali,600,North Indian,Bhopal,Maharana Pratap Nagar,Casual Dining,11am to 11pm(Mon-Sun),Good,3.5,605
Khan Chacha,500,North Indian,Bhopal,BHEL,Quick Bites,12noon to 11pm(Mon-Sun),Very Good,4.0,593
The Public House Café n Restaurant,800,"North Indian,Cafe,Italian,Continental,Chinese",Bhopal,Maharana Pratap Nagar,Casual Dining,"12noon to 1115pm(Mon-Fri),12noon to 1130pm...",Excellent,4.9,774
Da pizzeria,500,"Pizza,Italian,Fast Food",Bhopal,Maharana Pratap Nagar,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.1,704
Bake N Shake,500,"Bakery,Chinese,Continental,Pizza,Italian,Sandwich,Beverages,Cafe",Bhopal,Arera Colony,Café,10am to 11pm(Mon-Sun),Excellent,4.6,649
Lazeez Hakeem,400,"North Indian,Chinese,Mughlai",Bhopal,Maharana Pratap Nagar,Casual Dining,9am to 1am(Mon-Sun),Very Good,4.0,652
Shri Gurukripa Restaurant,400,North Indian,Bhopal,BHEL,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.4,373
Zauq,600,Mughlai,Bhopal,TT Nagar,Casual Dining,130pm to 11pm(Mon-Sun),Very Good,4.2,98
Cafe Nine Bhopal,150,"Cafe,Fast Food,Burger,Sandwich,Desserts,Beverages",Bhopal,Maharana Pratap Nagar,Café,1145am to 10pm(Mon-Sun),Good,3.7,145
Mowgli's Cafe,500,"Chinese,North Indian",Bhopal,Maharana Pratap Nagar,Quick Bites,11am to 11pm(Mon-Sun),Good,3.8,98
Chef's Triangle,300,Fast Food,Bhopal,BHEL,Quick Bites,10am to 10pm(Mon-Sun),Very Good,4.2,130
Food City Restaurant,300,North Indian,Bhopal,Jhangirabad,Quick Bites,11am to 11pm(Mon-Sun),Average,3.4,127
Rajoriya Restaurant,250,North Indian,Bhopal,BHEL,Quick Bites,11am to 12midnight(Mon-Sun),Good,3.9,77
The Sandwich Cafe,500,"Cafe,Bakery",Bhopal,Maharana Pratap Nagar,Café,"1130am to 1030pm(Mon-Sat),1pm to 1030pm(Sun)",Good,3.6,142
Arpit's Rivaayat,400,"Biryani,Hyderabadi",Bhopal,Arera Colony,Quick Bites,NA,Good,3.9,174
Time Out Restaurant,600,"North Indian,Fast Food",Bhopal,Maharana Pratap Nagar,Casual Dining,11am to 1030pm(Mon-Sun),Good,3.8,192
Rajoriya DK Restaurant,300,"Street Food,North Indian,Mithai",Bhopal,BHEL,Quick Bites,8am to 12midnight(Mon-Sun),Good,3.6,106
Cakewalk,200,"Bakery,Desserts,Cafe",Bhopal,Arera Colony,Bakery,"11am to 10pm(Mon,Wed,Thu,Fri,Sat,Sun),4pm...",Good,3.9,154
Jharokha - Hotel Amer Palace,1500,"North Indian,Chinese",Bhopal,Maharana Pratap Nagar,Fine Dining,7am to 11pm(Mon-Sun),Very Good,4.0,116
The Chicken Express,200,Fast Food,Bhopal,Maharana Pratap Nagar,Quick Bites,1pm to 11pm(Mon-Sun),Good,3.9,148
Ma Karma Dairy & Bhojanalay,300,"North Indian,South Indian,Chinese",Bhopal,BHEL,Quick Bites,11am to 11pm(Mon-Sun),Average,2.9,105
Murga On Wheels,300,"North Indian,Biryani",Bhopal,Maharana Pratap Nagar,Quick Bites,"6pm to 11pm(Mon,Wed,Thu,Fri,Sat,Sun),Closed...",Average,3.4,151
Chaat Chatore,250,"Fast Food,South Indian,Chinese,Sandwich,Beverages",Bhopal,Maharana Pratap Nagar,Quick Bites,"1130am to 10pm(Mon-Sat),1230pm to 10pm(Sun)",Good,3.8,71
Biryani Express,200,"Biryani,North Indian",Bhopal,Maharana Pratap Nagar,Food Truck,"11am to 10pm(Mon-Sat),12noon to 10pm(Sun)",Good,3.8,125
LHD India,400,"North Indian,Mughlai,Chinese",Bhopal,Maharana Pratap Nagar,Quick Bites,9am to 1am(Mon-Sun),Good,3.8,125
Zyka The Taste,300,North Indian,Bhopal,Habib Ganj,Quick Bites,11am to 12midnight(Mon-Sun),Average,2.9,112
Rubaab,800,"North Indian,Mughlai",Bhopal,Gulmohar Colony,Casual Dining,11am to 11pm(Mon-Sun),Good,3.8,124
Haryana Hot Dog,300,"Fast Food,Street Food,Beverages",Bhopal,BHEL,Quick Bites,12noon to 10pm(Mon-Sun),Very Good,4.1,121
Mughal Darbar Family Restaurant,550,North Indian,Bhopal,Peer Gate Area,Casual Dining,8am to 12midnight(Mon-Sun),Good,3.9,73
Picnik Restaurant,400,"North Indian,Chinese,South Indian,Sandwich,Salad",Bhopal,TT Nagar,Casual Dining,8am to 11pm(Mon-Sun),Good,3.9,131
Sawariya Bakery & Fast Food,250,"Bakery,Fast Food",Bhopal,TT Nagar,Bakery,12noon to 10pm(Mon-Sun),Good,3.7,83
Cream Dream,250,Ice Cream,Bhopal,Kohefiza,Dessert Parlor,1230pm to 1030pm(Mon-Sun),Good,3.9,88
Bum Chik Restaurant,550,North Indian,Bhopal,BHEL,Casual Dining,11am to 11pm(Mon-Sun),Average,2.7,112
Tea Talks,300,Cafe,Bhopal,TT Nagar,Café,1pm to 1030pm(Mon-Sun),Very Good,4.0,102
Ghamandi Lassi,150,Beverages,Bhopal,Maharana Pratap Nagar,Beverage Shop,"9am to 1045pm(Mon),9pm to 1045pm(Tue-Sun)",Good,3.6,25
Chai 34,200,"Fast Food,Beverages,Burger,Tea",Bhopal,Maharana Pratap Nagar,Quick Bites,1130am to 915pm(Mon-Sun),Good,3.8,108
Drinx Exchange,1500,"Italian,Mexican,Chinese,North Indian,American,Desserts",Bhopal,DB City-- Maharana Pratap Nagar,Bar,1pm to 12midnight(Mon-Sun),Very Good,4.0,105
A-One Fast Food,300,Fast Food,Bhopal,Kohefiza,Quick Bites,5pm to 11pm(Mon-Sun),Very Good,4.1,120
Happu Singh Di Hatti,200,North Indian,Bhopal,Maharana Pratap Nagar,Quick Bites,12noon to 3am(Mon-Sun),Good,3.9,38
Fresh Meal Basket,200,"North Indian,Mughlai",Bhopal,Maharana Pratap Nagar,none,10am to 1030pm(Mon-Sun),Good,3.8,77
Vrindavan Dhaba's Timbuktoo,400,"North Indian,South Indian,Chinese,Fast Food,Beverages",Bhopal,Gulmohar Colony,Quick Bites,12noon to 1145pm(Mon-Sun),Good,3.7,71
Refresh Eat & Drink,300,Fast Food,Bhopal,Maharana Pratap Nagar,Quick Bites,1am to 1045pm(Mon-Sun),Very Good,4.0,78
Taste Of India,500,"North Indian,South Indian,Beverages",Bhopal,Kolar,Quick Bites,8am to 11pm(Mon-Sun),Good,3.8,71
Gaagar,250,"Mithai,Bakery,Beverages,Desserts",Bhopal,TT Nagar,Sweet Shop,930am to 10pm(Mon-Sun),Very Good,4.2,76
