Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Biryani Bhubaneswar,300,Biryani,Bhubaneswar,Kharabela Nagar,Quick Bites,11am to 1am(Mon-Sun),Very Good,4.0,1403
Chili's Grill & Bar,700,"Tex-Mex,Fast Food",Bhubaneswar,Sahid Nagar,Casual Dining,12noon to 11pm(Mon-Sun),Excellent,4.9,303
Narula's Restaurant,600,"North Indian,Mughlai",Bhubaneswar,Ashok Nagar,Casual Dining,8am to 11pm(Mon-Sun),Very Good,4.4,934
Biryani247,300,"Biryani,North Indian,Mughlai,Momos",Bhubaneswar,Satya Nagar,none,10am to 12midnight(Mon-Sun),Good,3.9,1112
Biggies Burger 'n' More,300,Fast Food,Bhubaneswar,Patia,Quick Bites,1030am to 1130pm(Mon-Sun),Very Good,4.4,679
Sher-e-Punjab,500,"North Indian,Chinese,Mughlai",Bhubaneswar,Khandagiri,Casual Dining,12noon to 11pm(Mon-Sun),Good,3.7,660
KFC,500,"Burger,Fast Food",Bhubaneswar,Kharabela Nagar,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.2,672
9th Bistro,700,"North Indian,Continental,Chinese",Bhubaneswar,Sahid Nagar,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.3,292
Domino's Pizza,700,"Pizza,Fast Food",Bhubaneswar,Patia,Quick Bites,11am to 12midnight(Mon-Sun),Very Good,4.0,835
Three Kings,600,"Arabian,Mughlai,Lebanese",Bhubaneswar,Patia,Casual Dining,11am to 11pm(Mon-Sun),Excellent,4.5,334
The Hungrill,200,Fast Food,Bhubaneswar,Sahid Nagar,Quick Bites,11am to 11pm(Mon-Sun),Good,3.5,441
Brothers Kitchen & Fast Food,350,"North Indian,Chinese,Fast Food",Bhubaneswar,Chandrasekharpur,Quick Bites,12noon to 12midnight(Mon-Sun),Good,3.6,496
Bawarchi ten11 Restaurant,350,"North Indian,South Indian,Chinese,Fast Food",Bhubaneswar,Kharabela Nagar,Quick Bites,102am to 11pm(Mon-Sun),Good,3.7,598
Aangan Horizon,1200,"North Indian,Chinese,Continental",Bhubaneswar,Patia,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.2,922
Foodzo,300,"Chinese,North Indian",Bhubaneswar,Khandagiri,none,1130am to 11pm(Mon-Sun),Very Good,4.0,401
Stark Bistro,600,Cafe,Bhubaneswar,Patia,Café,11am to 10pm(Mon-Sun),Very Good,4.0,216
Qdoba,250,"Mexican,Fast Food",Bhubaneswar,Satya Nagar,Food Truck,530pm to 1030pm(Mon-Sun),Very Good,4.3,367
Keyar's Food Multi Cuisine,600,"North Indian,Chinese",Bhubaneswar,Sahid Nagar,Casual Dining,11am to 1030pm(Mon-Sun),Good,3.8,419
Charcoal,800,"Chinese,Continental,North Indian,Italian",Bhubaneswar,Patia,Casual Dining,"1145am to 345pm,630pm to 1030pm(Mon-Sun)",Very Good,4.2,533
Dalma,500,Oriya,Bhubaneswar,Unit 4,Casual Dining,"1130am to 330pm,7pm to 1030pm(Mon-Sun)",Good,3.7,367
Hunger Station,400,"Chinese,Continental,North Indian,Mexican",Bhubaneswar,Patia,Casual Dining,1230pm to 1030pm(Mon-Sun),Good,3.9,304
Sardar Ji Restaurant,300,North Indian,Bhubaneswar,Patia,Quick Bites,10am to 10pm(Mon-Sun),Good,3.6,417
Khopcha,450,"Mexican,Chinese,Continental",Bhubaneswar,Patia,Casual Dining,12noon to 10pm(Mon-Sun),Good,3.9,297
Malva Restaurant,1000,"North Indian,Chinese,Continental,Thai",Bhubaneswar,Patia,Casual Dining,"11am to 330pm,7pm to 1030pm(Mon-Sun)",Very Good,4.2,498
The Kanopy - Exotic Rooftop Restaurant,900,"Chinese,Cafe,Continental,Modern Indian",Bhubaneswar,Patia,Casual Dining,1130am to 1030pm(Mon-Sun),Good,3.7,498
Gupshup,250,Cafe,Bhubaneswar,Kharabela Nagar,Quick Bites,9am to 930pm(Mon-Sun),Good,3.6,331
WOW Biryani,250,Biryani,Bhubaneswar,BJB Nagar,Quick Bites,11am to 11pm(Mon-Sun),Good,3.5,91
Genuine Broaster Chicken,500,"Continental,American",Bhubaneswar,Patia,Quick Bites,11am to 1030pm(Mon-Sun),Very Good,4.3,455
Grand Kalinga,500,"North Indian,Chinese",Bhubaneswar,Chandrasekharpur,Casual Dining,"11am to 3pm,6pm to 1030pm(Mon-Sun)",Good,3.8,436
BrewBakes 7 Sky,300,"Desserts,Cafe,Bakery",Bhubaneswar,Jagmohan Nagar,Bakery,10am to 1030pm(Mon-Sun),Good,3.9,360
Cream Stone,400,"Desserts,Ice Cream",Bhubaneswar,Jayadev Vihar,Dessert Parlor,10am to 10pm(Mon-Sun),Excellent,4.6,273
Baba's Exotic Biryani Lounge,400,Biryani,Bhubaneswar,Nayapalli,Casual Dining,12noon to 1030pm(Mon-Sun),Good,3.8,267
Spice Club,600,"Biryani,Kebab,North Indian",Bhubaneswar,Jagmohan Nagar,Casual Dining,11am to 1030pm(Mon-Sun),Good,3.9,189
Echoes,1900,"Finger Food,Chinese,Fast Food,North Indian",Bhubaneswar,Patia,Bar,12noon to 1030pm(Mon-Sun),Very Good,4.0,212
Capital Biryani Centre,500,"North Indian,Biryani",Bhubaneswar,Chandrasekharpur,Quick Bites,"1130am to 330pm,630pm to 1030pm...",Good,3.8,365
Priya,300,"South Indian,North Indian",Bhubaneswar,Jayadev Vihar,Casual Dining,"7am to 11am,12noon to 3pm,4pm to 1030pm(Mon-Sun)",Very Good,4.0,337
All Swag,600,Cafe,Bhubaneswar,Jagmohan Nagar,Casual Dining,11am to 1030pm(Mon-Sun),Good,3.8,344
Mughlai Roast,300,"Mughlai,Biryani",Bhubaneswar,Chandrasekharpur,Quick Bites,"1230pm to 4pm,630pm to 10pm(Mon-Sun)",Good,3.8,507
Dakhin 9,500,"North Indian,Chinese",Bhubaneswar,Chandrasekharpur,Casual Dining,"12noon to 330pm,7pm to 1030pm(Mon-Sun)",Good,3.8,426
Dolphin Restaurant,400,Fast Food,Bhubaneswar,Patia,Quick Bites,"10am to 330pm,7pm to 1030pm(Mon-Sun)",Good,3.9,268
Lal Qila,600,"Mughlai,Chinese,North Indian",Bhubaneswar,Patia,Casual Dining,"12noon to 330pm,730pm to 1030pm(Mon-Sun)",Very Good,4.0,547
House of Biryani,300,"Biryani,Chinese,Mughlai",Bhubaneswar,Patia,Quick Bites,11am to 1030pm(Mon-Sun),Average,2.7,422
Cafe Italiano,400,"Fast Food,Italian",Bhubaneswar,Chandrasekharpur,Quick Bites,12noon to 1030pm(Mon-Sun),Very Good,4.2,330
Momo Cafe,200,"Tibetan,Momos",Bhubaneswar,Kharabela Nagar,Quick Bites,3pm to 9pm(Mon-Sun),Very Good,4.3,333
Truptee Restaurant,400,"North Indian,South Indian,Chinese",Bhubaneswar,Lakshmi Sagar,Casual Dining,7am to 1030pm(Mon-Sun),Very Good,4.0,351
9th Street,800,"North Indian,Chinese,Continental,Beverages",Bhubaneswar,Unit 4,Casual Dining,1030am to 1030pm(Mon-Sun),Good,3.9,392
Carbon,400,"North Indian,Mughlai,Chinese",Bhubaneswar,Patia,Casual Dining,12noon to 1030pm(Mon-Sun),Good,3.8,573
Barbecue Odisha,1100,North Indian,Bhubaneswar,Chandrasekharpur,Casual Dining,"11am to 11pm(Mon,Tue,Wed,Fri,Sat),830am to ...",Average,3.1,136
Shohala Ana Odia,600,"Chinese,Bengali,Oriya",Bhubaneswar,Patia,Casual Dining,"1230pm to 330pm,730pm to 1030pm(Mon-Sun)",Good,3.9,275
