Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
The Night Factory,1200,"North Indian,Chinese,Italian",Chandigarh,Chandigarh Industrial Area,none,24,Very Good,4.0,2074
Veera Da Dhaba,250,North Indian,Chandigarh,Phase 7-- Mohali,none,1pm to 4am(Mon-Sun),Good,3.7,40
Sector 7 Social,1400,"Continental,American,Asian,North Indian,Momos,Beverages",Chandigarh,Sector 7-- Chandigarh,Lounge,9am to 12midnight(Mon-Sun),Excellent,4.7,2558
La Pino'z Pizza,500,"Pizza,Fast Food",Chandigarh,Inner market-- Sector 9 D-- Chandigarh,Quick Bites,11am to 12midnight(Mon-Sun),Very Good,4.2,1333
Katani Dhaba,450,"North Indian,Chinese",Chandigarh,Phase 3B2 Market-- Phase 3 Mohali,Casual Dining,8am to 1130pm(Mon-Sun),Very Good,4.1,1416
Bhena Da Dhaba,250,North Indian,Chandigarh,Phase 5-- Mohali,Quick Bites,8am to 1145pm(Mon-Sun),Good,3.9,1674
Chandigarh Flavours,550,"North Indian,Chinese,Burger,Fast Food",Chandigarh,Sector 46-- Chandigarh,Quick Bites,7pm to 4am(Mon-Sun),Good,3.9,1146
Boathouse,1500,"European,Continental,North Indian,Finger Food,Sushi,Asian",Chandigarh,Elante Mall-- Chandigarh Industrial Area,Microbrewery,11am to 1230AM(Mon-Sun),Excellent,4.7,1380
Mom's Kitchen,500,"North Indian,Fast Food,Chinese",Chandigarh,Sector 22-- Chandigarh,Quick Bites,"9am to 4pm,630pm to 1130pm(Mon-Sun)",Good,3.8,851
Subway,500,"Healthy Food,Sandwich,Salad",Chandigarh,Phase 10-- Mohali,Quick Bites,9am to 12midnight(Mon-Sun),Very Good,4.3,1440
Baba Chicken,600,"North Indian,Mughlai",Chandigarh,Phase 10-- Mohali,Casual Dining,11am to 1130pm(Mon-Sun),Good,3.8,824
Domino's Pizza,700,"Pizza,Fast Food",Chandigarh,Phase 5-- Mohali,Quick Bites,11am to 12midnight(Mon-Sun),Very Good,4.0,807
Food@U,700,"North Indian,Chinese,South Indian,Rolls",Chandigarh,Chandigarh Industrial Area,Quick Bites,9am to 330am(Mon-Sun),Very Good,4.2,2130
Pizza Galleria,400,"Pizza,Fast Food",Chandigarh,Sector 40-- Chandigarh,Quick Bites,930am to 12midnight(Mon-Sun),Very Good,4.1,395
Tossin Pizza,900,"Pizza,Italian",Chandigarh,Sector 35-- Chandigarh,Casual Dining,11am to 1am(Mon-Sun),Very Good,4.2,847
Oberoi Verka Milk Bar,300,"Fast Food,Beverages",Chandigarh,Sector 17-- Chandigarh,Quick Bites,8am to 10pm(Mon-Sun),Average,3.1,6
Cakes & Shakes,400,"Bakery,Fast Food,Beverages",Chandigarh,Sector 47-- Chandigarh,Bakery,10am to 10pm(Mon-Sun),Average,2.7,11
Goldie's Roost,800,"North Indian,Chinese",Chandigarh,Inner Market-- Sector 8 B-- Chandigarh,Casual Dining,11am to 11pm(Mon-Sun),Good,3.5,190
Fauji Dhaba,200,North Indian,Chandigarh,Sector 15-- Chandigarh,Dhaba,11am to 10pm(Mon-Sun),Average,3.4,18
The Kaifer Fast Service,450,"North Indian,Chinese",Chandigarh,Phase 5-- Mohali,Quick Bites,11am to 11pm(Mon-Sun),Average,3.3,13
Oh Mumbai !!!,600,"Biryani,South Indian,Seafood,Salad",Chandigarh,VIP Road,none,7am to 9pm(Mon-Sun),Average,3.0,5
Videsi Shack,250,"Beverages,Burger,Pizza",Chandigarh,Kharar Road,Casual Dining,9am to 10pm(Mon-Sun),Average,3.0,5
Twisting Scoops,250,Ice Cream,Chandigarh,Elante Mall-- Chandigarh Industrial Area,Food Court,11am to 11pm(Mon-Sun),Average,3.4,11
Bille Da Punjabi Dhaba,350,North Indian,Chandigarh,Sector 28-- Chandigarh,Dhaba,7am to 11pm(Mon-Sun),Average,3.0,5
Baker's Cafe,200,"Bakery,Fast Food",Chandigarh,Sector 47-- Chandigarh,Bakery,11am to 11pm(Mon-Sun),Average,3.3,37
Aggarwal Sweets,250,"Mithai,Street Food",Chandigarh,Utrathiya,none,830am to 8pm(Mon-Sun),Good,3.5,33
