Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Dhaba Estd 1986 Delhi,1500,"North Indian,Desserts,Beverages",Chennai,Ispahani Centre-- Nungambakkam,Casual Dining,"12noon to 4pm,6pm to 1130pm(Mon-Thu),12noon to ...",Excellent,4.6,1284
Copper Kitchen,800,"Seafood,North Indian,Chinese,Mughlai,Biryani",Chennai,Porur,Casual Dining,11am to 2am(Mon-Sun),Excellent,4.6,3927
Palmshore,1000,"Seafood,Biryani,Kebab,North Indian,Chinese,Arabian,BBQ,Juices",Chennai,Ashok Nagar,Casual Dining,1130am to 1am(Mon-Sun),Excellent,4.5,3203
Guntur Gongura,400,"North Indian,Chinese,Biryani",Chennai,Sholinganallur,Casual Dining,6am to 2am(Mon-Sun),Good,3.7,2086
Hoppipola,1400,"Continental,Mediterranean,American",Chennai,The Spring Hotel-- Nungambakkam,Bar,"3pm to 1130pm(Mon),12noon to 1130pm(Tue-Sun)",Very Good,4.2,959
Joker's Kitchen,800,"Continental,Italian",Chennai,Alwarpet,Casual Dining,"1pm to 11pm(Mon),1230pm to 11pm...",Very Good,4.4,707
Axpress BBQ,700,"Kebab,BBQ,North Indian,Rolls,Malaysian",Chennai,Karapakkam,Casual Dining,1130am to 3am(Mon-Sun),Excellent,4.7,564
Bhangra,800,North Indian,Chennai,Mayajaal Multiplex-- Kanathur,Casual Dining,"12noon to 12midnight(Mon-Fri),630am to 1030am...",Excellent,4.9,1483
Soy Soi,1400,"Burmese,Thai,Vietnamese,Indonesian,Singaporean,Japanese,Malaysian",Chennai,Kotturpuram,Casual Dining,"12noon to 330pm,7pm to 11pm(Mon-Thu),12noon to ...",Excellent,4.5,683
Big Bang Theory - Bar & Kitchen,1500,"American,Continental",Chennai,Kodambakkam,Bar,12noon to 12midnight(Mon-Sun),Very Good,4.2,1198
Hotelkaar Biriyani,350,"Chinese,South Indian,Biryani",Chennai,T. Nagar,Quick Bites,8am to 12midnight(Mon-Sun),Very Good,4.0,846
Wild Garden Cafe - Amethyst,1400,"Cafe,Italian,Continental",Chennai,Royapettah,Café,10am to 1130pm(Mon-Sun),Very Good,4.3,1828
AB's - Absolute Barbecues,1400,"BBQ,North Indian,European,Mediterranean",Chennai,Velachery,Casual Dining,"12noon to 430pm,630pm to 12midnight(Mon-Sun)",Excellent,4.8,3188
Arab Street,800,"Arabian,Biryani,Chinese,North Indian,Italian",Chennai,Kodambakkam,Casual Dining,11am to 12midnight(Mon-Sun),Very Good,4.1,1130
Savoury Sea Shell,800,"Arabian,Chinese,North Indian,Biryani,Kerala,Salad,BBQ,Burger",Chennai,Anna Nagar East,Casual Dining,1130am to 1130pm(Mon-Sun),Very Good,4.1,2388
Mr. Sandwich,400,Fast Food,Chennai,Chromepet,Quick Bites,11am to 330am(Mon-Sun),Average,2.9,460
Dhaba In The City,400,"North Indian,Chinese",Chennai,Perungudi,Casual Dining,11am to 12midnight(Mon-Sun),Good,3.9,373
Paradise,800,"Biryani,North Indian,Chinese",Chennai,Perungudi,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.4,4643
Buzz - The Gateway Hotel,2500,"North Indian,South Indian,European,Continental",Chennai,The Gateway Hotel: IT Expressway-- Sholinganallur,Fine Dining,24,Very Good,4.0,304
Oh So Stoned,350,"Ice Cream,Desserts",Chennai,Alwarpet,Dessert Parlor,12noon to 1am(Mon-Sun),Very Good,4.2,284
Fromage,1000,"Cafe,Italian,French,European",Chennai,MRC Nagar,Café,11am to 11pm(Mon-Sun),Excellent,4.5,827
Al Raabias Biriyani,500,"North Indian,Chinese,Biryani",Chennai,Perambur,Quick Bites,11am to 1130pm(Mon-Sun),Good,3.9,361
Sukkubhai Biriyani,200,Biryani,Chennai,Alandur,Quick Bites,10am to 1030pm(Mon-Sun),Very Good,4.4,2116
Inchins,600,"Biryani,Chettinad,North Indian,Chinese,Arabian",Chennai,Anna Nagar West,Casual Dining,"11am to 330pm,630pm to 11pm(Mon-Tue),11am to ...",Good,3.6,384
Blind Ch3mistry,550,"Cafe,Fast Food,Beverages",Chennai,Besant Nagar,Café,12noon to 11pm(Mon-Sun),Excellent,4.5,1370
Milkshake And Co.,400,"Beverages,Fast Food",Chennai,Besant Nagar,Beverage Shop,12noon to 1130pm(Mon-Sun),Excellent,4.8,132
Frozen Bottle,400,"Beverages,Desserts,Ice Cream",Chennai,Anna Nagar West,Beverage Shop,11am to 2am(Mon-Sun),Good,3.9,200
Nalaas Aappakadai,650,"Chettinad,South Indian,North Indian,Chinese",Chennai,Anna Nagar West,Casual Dining,"730am to 330pm,41pm to 1130pm(Mon),730am...",Average,2.6,333
Pandia's Avenue,600,"Chettinad,North Indian,Chinese",Chennai,Royapuram,Casual Dining,630am to 1130pm(Mon-Sun),Good,3.9,373
Ramzan Mehal Briyani,300,"Biryani,Mughlai,Arabian",Chennai,Kilpauk,Quick Bites,1130am to 1130pm(Mon-Sun),Good,3.6,396
AVK Home Meals & Fish Fry Centre,200,"Fast Food,South Indian",Chennai,Saligramam,Quick Bites,11am to 11pm(Mon-Sun),Good,3.7,51
Irfi Cake and Cafe,400,"Bakery,Fast Food",Chennai,Medavakkam,Bakery,"12noon to 1030am(Mon,Tue,Wed,Thu,Sat,Sun)...",Average,3.4,53
Chennai Woodlands,300,"South Indian,North Indian",Chennai,Parrys,Casual Dining,630am to 1030pm(Mon-Sun),Average,3.3,52
The Grill Factory,400,"Chinese,Arabian",Chennai,Thuraipakkam,Food Court,11am to 11pm(Mon-Sun),Good,3.7,51
Eat Shawarma,300,Street Food,Chennai,Adyar,Quick Bites,3pm to 10pm(Mon-Sun),Good,3.7,43
