Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Abitha Biriyani Hotel,700,"Biryani,South Indian",Coimbatore,Ukkadam,Quick Bites,6am to 12midnight(Mon-Sun),Excellent,4.6,446
Cock Ra Co,550,"North Indian,Chinese,South Indian",Coimbatore,RS Puram,Casual Dining,"12noon to 4pm,6pm to 1130pm(Mon-Sun)",Very Good,4.2,491
Valarmathi Kongunaatu Samayal,450,"South Indian,Biryani",Coimbatore,Race Course,Casual Dining,"12noon to 4pm,7pm to 11pm(Mon-Sun)",Excellent,4.7,709
The Chocolate Room,650,"Cafe,Desserts",Coimbatore,RS Puram,Café,11am to 11pm(Mon-Sun),Excellent,4.9,358
The French Door Cafe & Restaurant,1500,"Cafe,Continental,French,North Indian,European",Coimbatore,RS Puram,Café,"11am to 11pm(Mon-Sat),10am to 11pm(Sun)",Excellent,4.7,429
Yugo,300,Cafe,Coimbatore,Lakshmi Mills,Café,9am to 1am(Mon-Sun),Very Good,4.3,450
Zucca Pizzeria,700,"Pizza,Fast Food",Coimbatore,Saravanampatty,Casual Dining,1130am to 11pm(Mon-Sun),Very Good,4.4,379
Dindigul Venu Biryani,500,Biryani,Coimbatore,Lakshmi Mills,Quick Bites,"1130am to 4pm,630pm to 11pm(Mon-Sun)",Very Good,4.0,349
Eleven 2 Eleven,600,"Chinese,North Indian,Seafood,South Indian",Coimbatore,Peelamedu,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.1,279
Hotel Delhi Dharbarr,500,"South Indian,Chinese,Biryani",Coimbatore,Peelamedu,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.0,444
Denmarrk Drive-Inn Restaurant,400,"North Indian,Chinese",Coimbatore,Nehru Stadium,Casual Dining,1230pm to 11pm(Mon-Sun),Very Good,4.1,320
Pizza Hut,600,Pizza,Coimbatore,Fun Republic Mall-- Avinashi Road,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.0,331
