Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
POMP - Pizza On My Plate,800,"Pizza,Italian,Desserts,Burger,American",Delhi NCR,Greater Kailash 1 (GK1),none,11am to 4am(Mon-Sun),Excellent,4.6,1244
Shawarma House,500,"Healthy Food,Wraps,Lebanese",Delhi NCR,Central Plaza Mall-- Golf Course Road,Quick Bites,11am to 4am(Mon-Sun),Very Good,4.4,1408
Qwinny's,1000,"Asian,Thai,Chinese,Sushi,Poké",Delhi NCR,DLF Phase 4,none,"11am to 12midnight(Mon,Tue,Wed,Thu,Sun),11am...",Excellent,4.5,619
Boa Village,1500,"Chinese,Japanese,Korean,Asian,Momos",Delhi NCR,Civil Lines,Casual Dining,11am to 1am(Mon-Sun),Very Good,4.3,1662
Giani's,300,"Desserts,Ice Cream,Beverages",Delhi NCR,Greater Kailash 2 (GK2),Dessert Parlor,12noon to 1am(Mon-Sun),Very Good,4.0,517
The Burger Club,450,"Burger,Fast Food,Beverages",Delhi NCR,Rajouri Garden,Quick Bites,"11am to 4am(Mon,Wed,Thu,Fri,Sat,Sun),12noon...",Very Good,4.2,2414
Chili's Grill & Bar,1500,"Italian,Finger Food",Delhi NCR,Ambience Mall-- Vasant Kunj,Casual Dining,12noon to 1am(Mon-Sun),Excellent,4.8,5915
BOX8- Desi Meals,600,"Rolls,Biryani,North Indian,Sandwich,Salad,Wraps",Delhi NCR,Sector 56-- Gurgaon,none,11am to 1am(Mon-Sun),Very Good,4.3,440
Cyber Hub Social,1300,"Continental,American,Asian,North Indian,Fast Food,European",Delhi NCR,Cyber Hub-- DLF Cyber City,Lounge,"11am to 1am(Mon,Tue,Thu,Fri,Sat,Sun),11am...",Excellent,4.5,3102
Singla's,500,"North Indian,Mithai,South Indian,Chinese,Italian",Delhi NCR,Sector 9-- Dwarka,Casual Dining,8am to 2am(Mon-Sun),Good,3.7,1698
Tossin Pizza,900,"Pizza,Italian",Delhi NCR,DLF Galleria-- DLF Phase 4,Casual Dining,11am to 3am(Mon-Sun),Very Good,4.1,2349
Smoke House Deli,1600,"European,Italian,Cafe,American,Burger,Juices,Healthy Food,Salad",Delhi NCR,Connaught Place,Casual Dining,10am to 1am(Mon-Sun),Very Good,4.3,1344
The Flying Saucer Cafe,1600,"Continental,Bar Food",Delhi NCR,Epicuria Food Mall-- Nehru Place,Lounge,12noon to 1am(Mon-Sun),Very Good,4.4,7704
Nazeer Foods,800,"Mughlai,North Indian",Delhi NCR,Sector 18-- Noida,Quick Bites,8am to 2am(Mon-Sun),Good,3.8,1308
HUDBA,1300,"Continental,Chinese,North Indian,Italian",Delhi NCR,M Block Market-- Greater Kailash 1 (GK1),Casual Dining,11am to 1am(Mon-Sun),Very Good,4.4,442
