Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Copperleaf,1200,"Mughlai,Seafood,North Indian,Chinese",Goa,Penha de Franca,Casual Dining,"1130am to 4pm,7pm to 1145pm(Mon-Sun)",Excellent,4.5,695
Cafe Cotinga,1200,"Continental,North Indian,Bakery",Goa,Anjuna,Casual Dining,8am to 12midnight(Mon-Sun),Very Good,4.4,517
The Fisherman's Wharf,1100,"Seafood,Goan,North Indian,Continental,Asian",Goa,Panaji,Casual Dining,"12noon to 12midnight(Mon-Sat),124pm to ...",Excellent,4.5,1197
Route 66,1250,"American,BBQ,Burger",Goa,Panaji,Casual Dining,12noon to 1130pm(Mon-Sun),Very Good,4.3,763
Tio Tilly's Bar & Kitchen,800,"Continental,Finger Food,Burger,Pizza",Goa,Calangute,Bar,1130am to 12midnight(Mon-Sun),Very Good,4.4,560
OCoqueiro,1000,"Goan,Seafood",Goa,Penha de Franca,Casual Dining,12noon to 4am(Mon-Sun),Ottimo,4.1,297
Tao,1200,"Asian,Chinese,Thai",Goa,Panaji,Casual Dining,12noon to 1130pm(Mon-Sun),Very Good,4.1,375
Earthen Oven,1200,"North Indian,Mughlai",Goa,Candolim,Casual Dining,10am to 12midnight(Mon-Sun),Very Good,4.1,275
Delhi Darbar,1000,"North Indian,Mughlai,Chinese,Goan",Goa,Calangute,Casual Dining,8am to 1115pm(Mon-Sun),Very Good,4.3,270
Down The Road,600,"Chinese,Continental",Goa,Panaji,Casual Dining,11am to 1am(Mon-Sun),Buono,3.9,281
Spicy Family Restaurant & Bar,1300,"South Indian,Asian",Goa,Margao,Casual Dining,"1130am to 330pm,730pm to 1130pm(Mon-Sun)",Very Good,4.1,270
Southi,700,South Indian,Goa,Candolim,Casual Dining,8am to 1145pm(Mon-Sun),Very Good,4.3,346
Morgan’s Place,900,"Italian,Pizza",Goa,Penha de Franca,Casual Dining,930am to 1130pm(Mon-Sun),Very Good,4.3,244
Palms n Sands,900,"Continental,Seafood,Goan,North Indian,Chinese",Goa,Candolim,Casual Dining,9am to 12midnight(Mon-Sun),Very Good,4.0,332
Koi Asian Dining,1200,"Asian,Thai,Japanese,Chinese,Burmese,Vietnamese,Singaporean,Malaysian",Goa,Calangute,Casual Dining,12noon to 1am(Mon-Sun),Very Good,4.3,335
Godinho Bar And Restaurant,600,"Goan,Seafood",Goa,Panaji,Casual Dining,11am to 11pm(Mon-Sun),Good,3.7,70
Brewbakes,300,"Fast Food,Italian",Goa,Margao,Quick Bites,11am to 11pm(Mon-Sun),Average,3.2,26
Dunkin' Donuts,550,"Desserts,Cafe,Burger,Fast Food,Beverages",Goa,Penha de Franca,Quick Bites,11am to 11pm(Mon-Sun),Good,3.6,46
Amancio Classic Bar and Family Restaurant,650,"Continental,Goan,North Indian",Goa,Siolim,Casual Dining,"1130am to 3pm,630pm to 11pm(Mon-Sun)",Good,3.9,57
Hotel Royal Darbar,700,"North Indian,Mughlai",Goa,Margao,Casual Dining,"11am to 3pm,7pm to 11pm(Mon-Sun)",Good,3.7,44
Basseraa,500,"Sindhi,North Indian",Goa,Panaji,Casual Dining,830am to 10pm(Mon-Sun),Average,2.8,47
Prime Rose,700,"Continental,Goan,Finger Food,Italian",Goa,Penha de Franca,Casual Dining,1230pm to 2am(Mon-Sun),Good,3.9,108
Cool Spice,600,"Seafood,North Indian,Chinese",Goa,Ponda,Casual Dining,11am to 11pm(Mon-Sun),Good,3.5,54
Krossroads,500,Chinese,Goa,Margao,Casual Dining,"1130am to 3pm,630pm to 11pm(Mon-Sun)",Good,3.5,48
Frolique,350,"Salad,Fast Food,Goan",Goa,Margao,Casual Dining,"Closed(Mon),8am to 9pm(Tue-Sun)",Good,3.7,37
Bawarchi-The Royal Chef,200,Biryani,Goa,Panaji,none,11am to 11pm(Mon-Sun),Average,2.9,23
Embers,1200,British,Goa,Panaji,Casual Dining,"8am to 11pm(Mon),Closed(Tue-Sun)",Good,3.7,43
Charlie Chang's,500,"Chinese,Thai,Momos",Goa,Panaji,Quick Bites,"Closed(Mon),12noon to 3pm,7pm to 11pm(Tue-Sun)",Very Good,4.0,78
Filomena's Kitchen,600,"Goan,Italian,North Indian,Chinese,Seafood,Beverages",Goa,Chicalim,Casual Dining,"11am to 330pm,6pm to 11pm(Mon-Sun)",Average,3.4,37
Razzberry,300,"Ice Cream,Fast Food,Desserts",Goa,Margao,Dessert Parlor,930am to 9pm(Mon-Sun),Average,3.2,23
Shree Sagar,450,"South Indian,North Indian,Chinese,Fast Food",Goa,Calangute,Casual Dining,8am to 11pm(Mon-Sun),Average,3.4,52
Food Court,450,"South Indian,North Indian,Chinese,Fast Food",Goa,Dempo Towers-- Panaji,Quick Bites,8am to 10pm(Mon-Sun),Good,3.5,32
