Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Chowdhry Sweet House,500,"Mithai,North Indian,Chinese,Beverages",Gorakhpur,Golghar,Casual Dining,8am to 11pm(Mon-Sun),Good,3.6,71
Singh Burger,200,"Burger,Fast Food",Gorakhpur,Golghar,Quick Bites,11am to 11pm(Mon-Sun),Good,3.7,82
Rangrezza Restaurant,1000,"Mexican,Italian,Continental,Chinese,Mughlai,North Indian",Gorakhpur,Phase 3rd,Casual Dining,11am to 11pm(Mon-Sun),Good,3.6,130
Sher-E-Punjab Since 1965,500,"Mughlai,North Indian",Gorakhpur,Miyan Baza,Quick Bites,11am to 11pm(Mon-Sun),Good,3.8,240
Domino's Pizza,500,Pizza,Gorakhpur,Golghar,Quick Bites,11am to 12midnight(Mon-Sun),Average,3.4,192
Royal Darbar,1000,"Chinese,Continental,Desserts,North Indian,South Indian",Gorakhpur,Ramjanki Nagar,Casual Dining,11am to 11pm(Mon-Sun),Average,3.2,125
Pizza Station,300,Pizza,Gorakhpur,Golghar,Quick Bites,11am to 11pm(Mon-Sun),Good,3.7,105
Brewerz The Coffee Bar,700,"Fast Food,North Indian",Gorakhpur,Phase 3rd,Casual Dining,11am to 11pm(Mon-Sun),Average,3.4,52
Shere Punjab Hotel,100,North Indian,Gorakhpur,Golghar,Quick Bites,11am to 11pm(Mon-Sun),Good,3.5,111
SS Sweet & Fast Food,300,"Street Food,Mithai,Fast Food",Gorakhpur,Rapti Nagar Phase 4,Quick Bites,10am to 11pm(Mon-Sun),Average,3.3,23
Cafe High Point,300,"Desserts,Ice Cream",Gorakhpur,Golghar,Dessert Parlor,12noon to 11pm(Mon-Sun),Good,3.6,59
Bobi's Restaurant Since 1963,700,"Bakery,Chinese,Ice Cream,Mughlai,North Indian",Gorakhpur,Golghar,Casual Dining,11am to 11pm(Mon-Sun),Good,3.5,120
Biryani Bay,1000,"Biryani,Chinese,Mughlai",Gorakhpur,Betiahata,Casual Dining,11am to 11pm(Mon-Sun),Good,3.5,139
Al-Baik.Com,250,Fast Food,Gorakhpur,Miyan Baza,Quick Bites,11am to 11pm(Mon-Sun),Good,3.7,97
