Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Babu Biryani Point,250,Biryani,Guntur,Srinivasarao Pet,Quick Bites,11am to 11pm(Mon-Sun),Good,3.8,186
Sri Anjaneya Restaurant,350,"Biryani,North Indian,Chinese",Guntur,Brodipet,Casual Dining,1030am to 11pm(Mon-Sun),Good,3.6,903
KFC,400,"Burger,Fast Food",Guntur,Brodipet,Quick Bites,11am to 11pm(Mon-Sun),Good,3.7,873
Pizza World,350,"Pizza,Chinese,North Indian,Biryani,Burger,Desserts,Beverages",Guntur,Brodipet,Casual Dining,10am to 11pm(Mon-Sun),Good,3.8,353
Sri Sankara Vilas,400,"South Indian,Andhra",Guntur,Brodipet,Quick Bites,630am to 1030pm(Mon-Sun),Good,3.8,351
Paradise,800,"Biryani,North Indian",Guntur,Brodipet,Casual Dining,11am to 11pm(Mon-Sun),Average,3.3,811
Tomatoes,350,"South Indian,North Indian,Chinese,Biryani,Andhra",Guntur,Brodipet,Casual Dining,"1130am to 3pm,7pm to 1030pm(Mon-Sun)",Good,3.7,251
Viceroy Biryani Point,350,"South Indian,North Indian",Guntur,Brodipet,Casual Dining,"12noon to 330pm,7pm to 1030pm(Mon-Sun)",Good,3.9,600
Chennai Thalapakatti Biryani,550,Biryani,Guntur,Old Guntur,Quick Bites,1130am to 1030pm(Mon-Sun),Good,3.6,424
V Royal Park,500,"Chinese,Indian",Guntur,Brodipet,Casual Dining,11am to 11pm(Mon-Sun),Good,3.8,351
Bowl & Barbeque,550,"North Indian,Chinese,Seafood,Rolls,BBQ",Guntur,Brodipet,Casual Dining,"11am to 11pm(Mon),1115am to 11pm(Tue-Sun)",Good,3.8,275
Varalakshmi Tiffins,200,South Indian,Guntur,Srinivasa Nagar Colony,Quick Bites,"630am to 11am,530pm to 11pm(Mon-Sun)",Very Good,4.1,416
S R Grand,500,"South Indian,North Indian,Chinese,Biryani,Andhra",Guntur,Brodipet,Casual Dining,11am to 11pm(Mon-Sun),Good,3.7,447
Domino's Pizza,750,"Pizza,Fast Food",Guntur,Brodipet,Quick Bites,11am to 11pm(Mon-Sun),Good,3.5,371
Pizza World,350,"Pizza,Chinese,Burger,Desserts,Beverages,Bakery",Guntur,Brodipet,Casual Dining,10am to 11pm(Mon-Sun),Very Good,4.0,216
Amigos Foods,200,Fast Food,Guntur,Srinivasa Nagar Colony,Quick Bites,8am to 11pm(Mon-Sun),Average,3.4,17
Amaravathi Multi Cusinie Family Restaurant,350,"North Indian,South Indian,Chinese",Guntur,Brodipet,Quick Bites,7am to 11pm(Mon-Sun),Average,3.4,14
Kartikeya Grande,300,North Indian,Guntur,Brodipet,Quick Bites,11am to 11pm(Mon-Sun),Average,3.2,38
The Best Natural Foods,300,"Fast Food,Chinese",Guntur,Agatha Varappadu,Quick Bites,11am to 1030pm(Mon-Sun),Good,3.5,46
Magic Thick Shakes,350,Beverages,Guntur,Brodipet,Beverage Shop,11am to 11pm(Mon-Sun),Good,3.7,11
Hyderabadi Chicken Dum Biryani,150,Biryani,Guntur,Srinivasa Nagar Colony,Quick Bites,"12noon to 4pm,7pm to 1030pm(Mon-Sun)",Average,3.2,53
Hotel Jaya Grand,350,"South Indian,North Indian,Chinese",Guntur,Brodipet,Casual Dining,"12noon to 4pm,7pm to 11pm(Mon-Sun)",Good,3.5,21
Baskin Robbins,300,"Ice Cream,Desserts",Guntur,Brodipet,Dessert Parlor,1030am to 1030pm(Mon-Sun),Average,3.3,22
Bismillah Khan Chicken Pakodi,150,Street Food,Guntur,Brodipet,Kiosk,6pm to 1030pm(Mon-Sun),Average,3.3,41
Hotel New Spice In Restaurant,500,"South Indian,North Indian",Guntur,Brodipet,Casual Dining,7am to 11pm(Mon-Sun),Good,3.5,15
Grand Red Cherry Family Restaurant,650,"South Indian,North Indian,Chinese",Guntur,Agatha Varappadu,Casual Dining,1130am to 1130pm(Mon-Sun),Average,3.3,33
Sri Naveena Sweets & Bakery,300,"Mithai,Bakery",Guntur,Brodipet,Sweet Shop,12noon to 1030pm(Mon-Sun),Average,3.4,19
Dhaba Cafe,200,"Indian,South Indian",Guntur,Brodipet,Quick Bites,11am to 11pm(Mon-Sun),Average,3.4,16
The Vintage Kitchen-The Capital Hotel,1000,"South Indian,North Indian,Chinese",Guntur,The Capital Hotel-- Brodipet,Casual Dining,"12noon to 4pm,7pm to 1030pm(Mon-Sun)",Average,3.4,20
The Hangout,400,"Seafood,North Indian,Fast Food,Italian",Guntur,Brodipet,Quick Bites,11am to 11pm(Mon-Sun),Average,3.3,12
