Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Matka Biryani,450,"Biryani,Chinese,North Indian",Guwahati,Uzan Bazaar,Quick Bites,1130am to 1230AM(Mon-Sun),Good,3.9,57
Mocha,800,"Cafe,Italian",Guwahati,Anil Plaza-- Christian Basti,Café,11am to 11pm(Mon-Sun),Excellent,4.8,1070
KFC,500,"Burger,Fast Food",Guwahati,Christian Basti,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.1,464
11th Avenue Cafe Bistro,350,"Cafe,American,Italian,Continental",Guwahati,Uzan Bazaar,Café,8am to 11pm(Mon-Sun),Very Good,4.2,1050
Kalita Cafe,1200,"Rolls,Bakery,European",Guwahati,Six Mile,Casual Dining,11am to 12midnight(Mon-Sun),Very Good,4.4,296
Terra Mayaa Restaurant and Lounge,1400,"Continental,Italian,Indian,Asian",Guwahati,Anil Plaza-- Christian Basti,Fine Dining,12noon to 1145pm(Mon-Sun),Very Good,4.1,808
Kalita Spectrum,1200,"Chinese,Biryani,Desserts",Guwahati,Six Mile,Casual Dining,11am to 12midnight(Mon-Sun),Excellent,4.7,399
Piazza,900,"Italian,Continental,Asian,Modern Indian,Pizza",Guwahati,Ulubari,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.1,341
Fat Belly,500,"Asian,Chinese,Tibetan,Momos",Guwahati,Uzan Bazaar,Quick Bites,11am to 11pm(Mon-Sun),Excellent,4.6,781
Grill Republica,250,"Rolls,Momos,Burger",Guwahati,Christian Basti,none,"2pm to 12midnight(Mon,Wed,Thu,Fri,Sat,Sun)...",Very Good,4.3,503
The Woking Mama,1300,"Chinese,Thai,Japanese,Asian,Momos",Guwahati,Christian Basti,Casual Dining,12noon to 12midnight(Mon-Sun),Very Good,4.4,714
Recipes Train Restaurant,700,North Indian,Guwahati,Bhangagarh,Casual Dining,12noon to 1130pm(Mon-Sun),Good,3.9,359
Culina The Kitchen,1200,"Biryani,Chinese,Mongolian",Guwahati,Ulubari,Fine Dining,12noon to 11pm(Mon-Sun),Very Good,4.4,174
Rigbyz Cosy Kitchen,400,"Momos,Chinese",Guwahati,Bhangagarh,Quick Bites,2pm to 11pm(Mon-Sun),Very Good,4.4,311
Food Exx,600,"North Indian,Chinese,Fast Food",Guwahati,Christian Basti,Casual Dining,"12noon to 11pm(Mon-Sat),5pm to 11pm(Sun)",Good,3.8,476
Shillong Restaurant,400,"Assamese,North Indian,Fast Food",Guwahati,Six Mile,Quick Bites,9am to 10pm(Mon-Sun),Average,2.6,81
South Coast,400,"South Indian,North Indian,Chinese,Beverages",Guwahati,Christian Basti,Quick Bites,8am to 1030pm(Mon-Sun),Average,3.4,107
Kanha G Sweets,150,"Mithai,Street Food",Guwahati,Beltola,Quick Bites,8am to 10pm(Mon-Sun),Good,3.7,55
BIGG BITES,300,"Biryani,Chinese",Guwahati,Ulubari,Quick Bites,"11am to 1030pm(Mon-Sat),5pm to 1030pm(Sun)",Good,3.7,47
Black Board Cafe,300,"Chinese,North Indian",Guwahati,Uzan Bazaar,Quick Bites,11am to 10pm(Mon-Sun),Good,3.8,89
Hungry Birdz,600,"Chinese,North Indian",Guwahati,Bhangagarh,Quick Bites,10am to 10pm(Mon-Sun),Good,3.5,46
OZ Kitchen,350,Chinese,Guwahati,Christian Basti,Quick Bites,1230pm to 1030pm(Mon-Sun),Good,3.5,32
Kathi Junction,500,"Chinese,Biryani,Lebanese,North Indian",Guwahati,Zoo Tiniali,Quick Bites,11am to 10pm(Mon-Sun),Good,3.7,71
D'VINE,550,"Chinese,North Indian",Guwahati,Zoo Tiniali,Casual Dining,1130am to 1030pm(Mon-Sun),Good,3.5,69
El-Firangi,600,"North Indian,Chinese",Guwahati,Uzan Bazaar,Quick Bites,1030am to 1030pm(Mon-Sun),Average,2.5,26
Thanco's Natural Icecream,150,Ice Cream,Guwahati,Fancy Bazaar,Dessert Parlor,1130am to 1030pm(Mon-Sun),Good,3.8,64
Chetty's Corner,200,Fast Food,Guwahati,Ulubari,Quick Bites,11am to 10pm(Mon-Sun),Good,3.7,17
Moti Mahal Delux,800,"North Indian,Continental,Chinese",Guwahati,Ulubari,Casual Dining,1130am to 1030pm(Mon-Sun),Average,3.0,72
