Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Boulevard 69,500,"Pizza,Italian,Fast Food,Cafe",Gwalior,City Center,Café,11am to 11pm(Mon-Sun),Good,3.8,119
Domino's Pizza,500,"Pizza,Italian",Gwalior,Lashkar,Quick Bites,11am to 11pm(Mon-Sun),Good,3.7,1049
Param Food Complex,600,"South Indian,North Indian,Italian,Fast Food,Continental,Chinese,Bakery,Desserts",Gwalior,Mahalgaon,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.4,661
Ashoka Family Restaurant,350,North Indian,Gwalior,Thatipur,Bhojanalya,9am to 11pm(Mon-Sun),Very Good,4.2,332
Amritsari Naan,300,North Indian,Gwalior,Naya Bazaar,Quick Bites,"1pm to 11pm(Mon,Tue,Wed,Thu,Fri,Sun),1258pm...",Excellent,4.5,389
Masala Darbar,400,"North Indian,Biryani,Chinese",Gwalior,Naya Bazaar,Quick Bites,1230pm to 11pm(Mon-Sun),Excellent,4.8,524
Domino's Pizza,500,"Pizza,Italian",Gwalior,Mahalgaon,Quick Bites,11am to 11pm(Mon-Sun),Good,3.7,805
Shake It Baby,400,"Beverages,Fast Food",Gwalior,City Center,Beverage Shop,11am to 11pm(Mon-Sun),Excellent,4.6,371
Alfanzo,600,"Biryani,Chinese,Mithai,North Indian,Italian,Wraps,Desserts,South Indian",Gwalior,Mahalgaon,Casual Dining,9am to 11pm(Mon-Sun),Very Good,4.2,286
Cook's,300,"Bakery,Desserts,Burger,Sandwich,Chinese,Pizza,North Indian",Gwalior,Lashkar,Bakery,1030am to 1050pm(Mon-Sun),Very Good,4.1,244
McDonald's,500,"Fast Food,Burger",Gwalior,Lashkar,Quick Bites,10am to 11pm(Mon-Sun),Very Good,4.4,575
Burger King,500,"Burger,Fast Food",Gwalior,DB City Mall-- Birla Nagar,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.3,271
Pizza Hut,600,"Pizza,Italian",Gwalior,Lashkar,Quick Bites,11am to 11pm(Mon-Sun),Average,3.4,324
Hangout Cafe,800,"North Indian,Mexican,Lebanese,Italian,German,Chinese,Cafe,British",Gwalior,City Center,Café,10am to 11pm(Mon-Sun),Very Good,4.3,241
Shere Punjab Restaurant,600,"North Indian,Biryani,Chinese,Desserts",Gwalior,Shinde Ki Chhawani,Casual Dining,10am to 11pm(Mon-Sun),Good,3.7,273
Taste Of Nature,250,"North Indian,Chinese",Gwalior,City Center,Quick Bites,11am to 11pm(Mon-Sun),Good,3.8,31
Chef Direct,300,"Continental,Chinese",Gwalior,Morar,Quick Bites,12noon to 10pm(Mon-Sun),Good,3.6,21
Zakir Qureshi Kawab Wale,500,"North Indian,Chinese",Gwalior,Lashkar,Quick Bites,11am to 11pm(Mon-Sun),Good,3.7,58
Singh's Chicken 2 Nite,400,North Indian,Gwalior,Lashkar,none,2pm to 11pm(Mon-Sun),Good,3.6,73
Pandit Zayka,400,"North Indian,Fast Food",Gwalior,Morar,Quick Bites,12noon to 1030pm(Mon-Sun),Good,3.6,49
Best Bites,350,"Chinese,Fast Food",Gwalior,Naya Bazaar,Quick Bites,4pm to 10pm(Mon-Sun),Good,3.6,33
Crisp Corner,250,"Bakery,Fast Food",Gwalior,Thatipur,Quick Bites,11am to 9pm(Mon-Sun),Average,3.4,16
The Bellevue Aroma Restaurant,700,North Indian,Gwalior,City Center,Casual Dining,(Mon-Sun),Good,3.5,26
Hotel Ambience,1050,"North Indian,Chinese,Continental",Gwalior,Thatipur,Casual Dining,7am to 10pm(Mon-Sun),Average,3.3,23
Mathura Kachauri Vale,100,Street Food,Gwalior,Thatipur,Quick Bites,8am to 10pm(Mon-Sun),Average,2.8,42
Baba Restaurant,400,North Indian,Gwalior,Thatipur,Bhojanalya,(Mon-Sun),Average,3.3,23
Madan Namkeen & Gajak Bhandar,100,Mithai,Gwalior,Lashkar,Sweet Shop,11am to 10pm(Mon-Sun),Good,3.7,19
T Time,200,"Fast Food,North Indian",Gwalior,Lashkar,Quick Bites,11am to 9pm(Mon-Sun),Average,3.4,10
MOWGLIZ RESTAURANT,100,Mughlai,Gwalior,City Center,Quick Bites,11am to 10pm(Mon-Sun),Average,3.3,8
Taujee'S Refreshments,150,Fast Food,Gwalior,Thatipur,Quick Bites,12noon to 9pm(Mon-Sun),Average,3.3,12
Mezbaan Restaurant - Hotel Sun Beam,600,North Indian,Gwalior,City Center,Casual Dining,(Mon-Sun),Average,2.9,24
Shri Karchi Kadhai,500,"North Indian,Chinese",Gwalior,Mahalgaon,Quick Bites,11am to 11pm(Mon-Sun),Good,3.8,73
Shri Jodhpur Mishthan Bhandar,400,"Mithai,Fast Food",Gwalior,Lashkar,Sweet Shop,11am to 9pm(Mon-Sun),Average,3.4,24
Rock & Roll,200,Rolls,Gwalior,Naya Bazaar,Quick Bites,11am to 10pm(Mon-Sun),Average,3.4,20
Foodz Inn,550,"North Indian,Chinese,Beverages",Gwalior,Mahalgaon,Quick Bites,11am to 10pm(Mon-Sun),Average,3.4,15
Scooper's,150,"Street Food,Ice Cream",Gwalior,Ghosipura,Quick Bites,10am to 10pm(Mon-Sun),Average,3.3,7
Shree Ram Sweets And Snacks,400,"Bakery,North Indian",Gwalior,City Center,Bakery,11am to 10pm(Mon-Sun),Average,3.3,8
Sat Sahib Fast Food Restaurant,100,Fast Food,Gwalior,Deen Dayal Nagar,Quick Bites,12noon to 10pm(Mon-Sun),Average,3.1,5
