Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Domino's Pizza,600,Pizza,Haridwar,Devpura,Quick Bites,11am to 11pm(Mon-Sun),Average,3.3,155
Om Fast Food,250,"Fast Food,Chinese,South Indian",Haridwar,Ranipur,Quick Bites,"11am to 1230AM(Mon),11am to 11pm(Tue-Sun)",Good,3.8,189
Spice N  Nice,400,"South Indian,North Indian,Continental,Chinese",Haridwar,Jwalapur,Casual Dining,"11am to 1230AM(Mon),11am to 11pm(Tue-Sun)",Average,3.4,86
Sher E Punjab Hotel,350,"Indian,North Indian",Haridwar,Jwalapur,Dhaba,"11am to 4pm,7pm to 11pm(Mon-Fri),11am to 4pm...",Good,3.7,171
Shan A Punjab,300,"BBQ,Biryani,Indian,North Indian",Haridwar,Jwalapur,Casual Dining,"11am to 1130pm(Mon),11am to 11pm(Tue-Sun)",Good,3.5,129
The Pizza Castle,350,Pizza,Haridwar,Ranipur,Quick Bites,"1130am to 1am(Mon),1130am to 12midnight(Tue-Sun)",Good,3.6,115
Burger King,500,Burger,Haridwar,BHEL Township,Quick Bites,11am to 11pm(Mon-Sun),Good,3.5,94
Punjabi Tadka,350,"North Indian,Mughlai",Haridwar,BHEL Township,Casual Dining,11am to 11pm(Mon-Sun),Good,3.5,110
Fun N Food,200,"South Indian,North Indian,Fast Food,Chinese",Haridwar,Ranipur,Casual Dining,10am to 11pm(Mon-Sun),Average,3.3,107
The Kings Rolls n Shakes,150,"Rolls,Italian,Fast Food,Beverages",Haridwar,Jwalapur,Quick Bites,"11am to 2am(Mon),11am to 11pm(Tue-Sun)",Good,3.5,60
Dosa Plaza Punjabi Tadka,600,"South Indian,North Indian,Fast Food,Chinese",Haridwar,Devpura,Casual Dining,"8am to 1am(Mon),8am to 12midnight(Tue-Sun)",Good,3.5,106
Guru Nanak Foods,300,"North Indian,Chinese",Haridwar,Ranipur,Quick Bites,"11am to 1130pm(Mon),11am to 11pm(Tue-Sun)",Good,3.5,73
