Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Bawarchi,750,"Biryani,Hyderabadi,North Indian,Seafood",Hyderabad,Nallakunta,Casual Dining,"1130am to 1130pm(Mon-Sat),1130am to 12midnight...",Excellent,4.5,41344
Shah Ghouse Hotel & Restaurant,800,"Biryani,North Indian,Chinese,Seafood,Beverages",Hyderabad,Gachibowli,Casual Dining,12noon to 2am(Mon-Sun),Very Good,4.2,11845
Sahib’s Barbeque by Ohri’s,1400,"Hyderabadi,Awadhi,BBQ",Hyderabad,Hitech City,Casual Dining,"12noon to 245pm,7pm to 1130pm(Mon-Sun)",Excellent,4.7,5360
Captain Cook,850,"Biryani,North Indian,Chinese",Hyderabad,Musheerabad,Casual Dining,5am to 3am(Mon-Sun),Good,3.9,9080
The Roastery Coffee House,800,"American,Cafe,Continental",Hyderabad,Banjara Hills,Café,8am to 1130pm(Mon-Sun),Excellent,4.8,3265
Green Bawarchi,500,"North Indian,Chinese,Biryani",Hyderabad,Dilsukhnagar,Casual Dining,11am to 12midnight(Mon-Sun),Good,3.6,6303
Bakasura Restaurant,800,"Andhra,South Indian,Chinese",Hyderabad,A S Rao Nagar,Casual Dining,11am to 1130pm(Mon-Sun),Very Good,4.0,651
Coffee Cup,800,"Cafe,Continental,Salad",Hyderabad,Sainikpuri,Café,"9am to 1130pm(Mon-Fri),8am to 1130pm(Sat-Sun)",Excellent,4.6,3768
4M Biryani House,250,"Biryani,North Indian",Hyderabad,Musheerabad,Quick Bites,11am to 1130pm(Mon-Sun),Very Good,4.3,4256
Sagar Restaurant,400,"North Indian,Chinese,Biryani",Hyderabad,Kukatpally,Quick Bites,"12midnight to 3am,12noon to 12midnight(Mon-Sun)",Good,3.9,3632
Beyond Flavours,800,"Chinese,Continental,Kebab,European,South Indian,North Indian",Hyderabad,Gachibowli,Casual Dining,"12noon to 330pm,630pm to 1130pm(Mon-Sun)",Very Good,4.2,738
Marsala Food Company,700,"Arabian,North Indian,Chinese",Hyderabad,Gachibowli,Casual Dining,"12noon to 4pm,7pm to 12midnight(Mon-Sun)",Very Good,4.2,539
Mandi@36,600,Arabian,Hyderabad,Jubilee Hills,Casual Dining,12noon to 1130pm(Mon-Sun),Excellent,4.7,1090
Dhaba Estd 1986 Delhi,1100,"North Indian,Biryani,Desserts",Hyderabad,Kondapur,Casual Dining,"12noon to 4pm,6pm to 1130pm(Mon-Thu),12noon to ...",Excellent,4.7,2569
The Fisherman's Wharf,1500,"Seafood,Goan,North Indian,Continental,Asian",Hyderabad,Gachibowli,Casual Dining,"12noon to 330pm,4pm to 630pm,7pm to 1130pm...",Excellent,4.6,2363
Sounds & Spirits,1100,"Continental,Finger Food,North Indian",Hyderabad,Madhapur,Pub,12noon to 12midnight(Mon-Sun),Very Good,4.1,811
Cafe Niloufer & Bakers,400,"Bakery,Fast Food",Hyderabad,Lakdikapul,Bakery,8am to 12midnight(Mon-Sun),Excellent,4.6,503
Dine Hill,750,"Arabian,North Indian,Chinese,Biryani",Hyderabad,Masab Tank,Casual Dining,1130am to 12midnight(Mon-Sun),Good,3.9,1167
La La Land - Bar & Kitchen,1000,"Finger Food,North Indian,Kebab,Chinese",Hyderabad,Gachibowli,Casual Dining,12noon to 1130pm(Mon-Sun),Good,3.9,827
Coco's Bar & Grill,1700,"Italian,Chinese,Continental,North Indian",Hyderabad,Banjara Hills,Bar,"12noon to 12midnight(Mon,Tue,Wed,Thu,Sun)...",Very Good,4.2,2205
Lucky Restaurant,600,"North Indian,Chinese,Biryani",Hyderabad,Miyapur,Casual Dining,12noon to 12midnight(Mon-Sun),Good,3.8,1888
Ulavacharu,1400,"Andhra,North Indian,Chinese",Hyderabad,Gachibowli,Casual Dining,12noon to 1130pm(Mon-Sun),Good,3.9,902
Hyderabad Xpress,500,"Hyderabadi,Mughlai,Lebanese",Hyderabad,Kondapur,Casual Dining,12noon to 12midnight(Mon-Sun),Good,3.8,1353
Swathi Mess & Dhaba,250,"North Indian,South Indian",Hyderabad,Koti,Quick Bites,1030am to 1230AM(Mon-Sun),Very Good,4.2,1168
Gravity's Grand,600,"North Indian,Chinese,Biryani",Hyderabad,Uppal,Casual Dining,"1030am to 12midnight(Mon),1030am to 1145pm...",Average,3.1,1235
Mandi King,400,Arabian,Hyderabad,Manikonda,Casual Dining,1230pm to 1am(Mon-Sun),Good,3.5,1127
Little Italy,2000,"Italian,Continental,Salad",Hyderabad,Film Nagar,Fine Dining,"12noon to 3pm,7pm to 11pm(Mon-Thu),12noon to ...",Very Good,4.2,1189
The Foodie Monster Kitchen,500,"American,Wraps,Desserts",Hyderabad,Gachibowli,Quick Bites,7am to 1am(Mon-Sun),Very Good,4.0,774
Domino's Pizza,400,Pizza,Hyderabad,S R Nagar,Quick Bites,11am to 3am(Mon-Sun),Good,3.9,1071
Behrouz Biryani,600,"Mughlai,Biryani",Hyderabad,Kukatpally,none,10am to 1am(Mon-Sun),Good,3.7,784
Food N Grill,350,"North Indian,Chinese",Hyderabad,Saroor Nagar,Quick Bites,1230pm to 1130pm(Mon-Sun),Poor,2.4,112
Sri Swagath Parivar,550,"South Indian,North Indian,Chinese",Hyderabad,Kukatpally,Quick Bites,7am to 1030pm(Mon-Sun),Average,3.0,134
Fingerlicks Food Court,200,"Chinese,Fast Food",Hyderabad,Saroor Nagar,Kiosk,11am to 11pm(Mon-Sun),Average,2.9,134
Hotel Hyderabad  Chicken & Beef Biryani House,200,Biryani,Hyderabad,Chanda Nagar,Quick Bites,1130am to 11pm(Mon-Sun),Good,3.8,140
Arab Inn,400,Arabian,Hyderabad,Narayanguda,Quick Bites,11am to 11pm(Mon-Sun),Good,3.6,127
Bake Treats,300,"Bakery,Fast Food",Hyderabad,Manikonda,Bakery,10am to 1130pm(Mon-Sun),Average,2.7,105
Hotel Anand Bhavan,300,South Indian,Hyderabad,Attapur,Quick Bites,7am to 1030pm(Mon-Sun),Average,2.9,119
Frooce - The Juice Bar,350,"Healthy Food,Juices,Beverages,Desserts",Hyderabad,Madhapur,Beverage Shop,730am to 1130pm(Mon-Sun),Good,3.7,74
Sri Balaji Mithai Bhandar,200,Mithai,Hyderabad,A S Rao Nagar,Sweet Shop,8am to 1030pm(Mon-Sun),Very Good,4.0,117
Celebrations 365,200,"Ice Cream,Desserts",Hyderabad,VB Food Court-- Uppal,Food Court,10am to 11pm(Mon-Sun),Average,3.3,101
YumYumDilli,500,"North Indian,Desserts,Beverages",Hyderabad,Madhapur,none,8am to 11pm(Mon-Sun),Good,3.5,125
Al-Azeez BBQ Chicken,600,"Arabian,BBQ",Hyderabad,Nampally,Quick Bites,2pm to 11pm(Mon-Sun),Good,3.6,109
Ravmchis Vindhu,300,"South Indian,Biryani",Hyderabad,Banjara Hills,none,"1130am to 330pm,630pm to 1030pm(Mon-Sun)",Average,2.9,129
Moonlight Bakers,250,"Bakery,Desserts",Hyderabad,Boduppal,Bakery,12noon to 1030pm(Mon-Sun),Average,3.3,121
Balaji Santosh Dhaba,500,"North Indian,Chinese",Hyderabad,Nagole,Quick Bites,11am to 11pm(Mon-Sun),Good,3.8,124
Ambitto,800,"Cafe,Continental,Chinese,Italian",Hyderabad,Somajiguda,Café,"1130am to 4pm,7pm to 1045pm(Mon-Sun)",Good,3.7,101
Dosa Hut,300,South Indian,Hyderabad,Kondapur,Quick Bites,730am to 1030pm(Mon-Sun),Average,2.5,93
SWOT Restaurant,1000,"North Indian,Chinese,Arabian",Hyderabad,Banjara Hills,Casual Dining,"12noon to 430pm,7pm to 11pm(Mon-Sun)",Good,3.7,92
Grand Maa Bakers,150,"Bakery,Desserts,Fast Food",Hyderabad,Banjara Hills,Quick Bites,7am to 11pm(Mon-Sun),Good,3.8,124
Sri Balaji Family Dhaba,450,"North Indian,Chinese",Hyderabad,Vanasthalipuram,Casual Dining,1130am to 1130pm(Mon-Sun),Good,3.7,142
Maa Rajrajeswari Tiffins and Meals Point,250,South Indian,Hyderabad,Kondapur,Quick Bites,"6am to 12noon,5pm to 10pm(Mon-Sun)",Good,3.5,87
YumYumSouth,600,"South Indian,Beverages",Hyderabad,Madhapur,Quick Bites,8am to 11pm(Mon-Sun),Good,3.7,93
Cinderella Bakery,250,"Bakery,Desserts",Hyderabad,Bowenpally,Bakery,745am to 930pm(Mon-Sun),Good,3.5,85
Balaji Mahesh Mithai Bhandar,150,"Desserts,Mithai,Street Food",Hyderabad,Banjara Hills,Dessert Parlor,8am to 11pm(Mon-Sun),Good,3.9,76
Hazzel Ice Cream Cafe,400,"Ice Cream,Desserts",Hyderabad,Saroor Nagar,Dessert Parlor,11am to 11pm(Mon-Sun),Good,3.6,76
Enjoy Bakery,250,"Fast Food,Bakery",Hyderabad,Padmarao Nagar,Bakery,10am to 1130pm(Mon-Sun),Good,3.5,116
Chef Baker's,600,"Cafe,Bakery",Hyderabad,Kukatpally,Café,11am to 11pm(Mon-Sun),Good,3.9,93
Diwakar Bengali and North Indian,250,"North Indian,Bengali",Hyderabad,Kondapur,Quick Bites,12noon to 1030pm(Mon-Sun),Good,3.9,107
The Village Food Court,700,"South Indian,Biryani,Chinese",Hyderabad,Suraram,Casual Dining,"11am to 12midnight(Mon),11am to 11pm(Tue-Sun)",Good,3.5,129
Sabor,800,"North Indian,Chinese,Arabian",Hyderabad,Sainikpuri,Casual Dining,1130am to 1130pm(Mon-Sun),Average,2.5,112
Kwality Wall's Swirl's,250,"Ice Cream,Desserts",Hyderabad,Raheja IT Park-- Hitech City,Dessert Parlor,10am to 11pm(Mon-Sun),Good,3.6,100
Saranggi Vegetarian Restaurant,850,"North Indian,Chinese",Hyderabad,PG Road,Casual Dining,"10am to 3pm,630pm to 10pm(Mon-Sun)",Average,3.4,102
Telangana Ruchulu,500,"Andhra,North Indian,Chinese,Biryani",Hyderabad,S D Road,Casual Dining,12noon to 1130pm(Mon-Sun),Average,2.6,123
Mythri Food Court,500,"Andhra,Chinese",Hyderabad,Manikonda,Quick Bites,"7am to 12noon,12noon to 10pm(Mon-Sun)",Good,3.7,105
Sukha Sagara,200,"South Indian,Chinese",Hyderabad,Bowenpally,Casual Dining,630am to 1030pm(Mon-Sun),Good,3.8,104
Mr. Kook,550,"South Indian,North Indian,Chinese",Hyderabad,Madhapur,Casual Dining,"11am to 1045pm(Mon,Tue,Thu),11am to 1046pm...",Good,3.7,94
Dabbawala Biryani,250,Biryani,Hyderabad,Madhapur,none,11am to 11pm(Mon-Sun),Good,3.8,89
Gokul Food Point,250,"Street Food,Chinese,North Indian",Hyderabad,Gachibowli,Quick Bites,11am to 11pm(Mon-Sun),Average,3.0,118
Big Bowl,300,Chinese,Hyderabad,Kondapur,Quick Bites,"1130am to 4pm,7pm to 11pm(Mon-Sun)",Good,3.7,71
Ganguram Sweets,200,"Mithai,Street Food",Hyderabad,Kothaguda,Sweet Shop,10am to 10pm(Mon-Sun),Good,3.8,70
KKD Restaurant & Bar,1000,"North Indian,South Indian,Chinese",Hyderabad,Madhapur,Casual Dining,11am to 1130pm(Mon-Sun),Good,3.5,125
Trupti Food Avenue,300,"Biryani,North Indian",Hyderabad,Kukatpally,none,11am to 11pm(Mon-Sun),Average,3.0,105
Appetito,500,Fast Food,Hyderabad,Madhapur,Quick Bites,11am to 11pm(Mon-Sun),Average,2.9,115
Mandi King,500,Arabian,Hyderabad,Kondapur,Casual Dining,1230pm to 11pm(Mon-Sun),Average,3.3,78
Oye Pizza,400,"Pizza,Fast Food",Hyderabad,Abids,Quick Bites,130pm to 12midnight(Mon-Sun),Good,3.6,164
