Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
RH Chicken Point,350,"North Indian,Fast Food,Kebab",Jabalpur,Cantt,Quick Bites,11am to 11pm(Mon-Sun),Excellent,4.6,485
Domino's Pizza,500,"Italian,Pizza",Jabalpur,Napier Town,Quick Bites,11am to 12midnight(Mon-Sun),Very Good,4.3,205
Badkul Restaurant,500,"North Indian,Fast Food,Chinese",Jabalpur,Vijay Nagar,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.0,306
Riyaz Hotel - 1953,300,"Biryani,North Indian",Jabalpur,Napier Town,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.3,356
Wok n More,650,"Chinese,Thai",Jabalpur,Civil Lines,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.4,103
The Yellow Chilli,1000,"North Indian,Mughlai",Jabalpur,Napier Town,Fine Dining,1230pm to 11pm(Mon-Sun),Average,3.4,85
Best Choice,250,"Burger,Sandwich,Roast Chicken,Fast Food,Rolls,Beverages",Jabalpur,Napier Town,Quick Bites,12noon to 1030pm(Mon-Sun),Excellent,4.8,218
Naidu's Dilli Ki Gali Parathe Wali,300,"Street Food,North Indian",Jabalpur,Napier Town,Quick Bites,9am to 1030pm(Mon-Sun),Excellent,4.6,214
Govinda's Fast Food Centre,250,"Pizza,Fast Food",Jabalpur,Napier Town,Quick Bites,11am to 1030pm(Mon-Sun),Excellent,4.5,158
New Pawar Restaurant,600,"North Indian,Chinese",Jabalpur,Wright Town,Casual Dining,9am to 11pm(Mon-Sun),Very Good,4.2,165
Pizza Hut,600,"Pizza,Italian",Jabalpur,Napier Town,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.0,187
Sai Chinese Point,150,"Fast Food,Chinese",Jabalpur,Napier Town,Quick Bites,11am to 11pm(Mon-Sun),Good,3.9,194
Jharokha Restaurant The Arihant Palace,800,"North Indian,Mughlai,Continental,Chinese",Jabalpur,Napier Town,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.3,124
Subway,500,"Healthy Food,Sandwich,Salad",Jabalpur,Napier Town,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.3,173
KFC,500,American,Jabalpur,Rampur,Quick Bites,10am to 11pm(Mon-Sun),Very Good,4.0,169
Appu Bhel Puri,100,Street Food,Jabalpur,Napier Town,Quick Bites,4pm to 10pm(Mon-Sun),Good,3.5,14
Chourasiya Hotel,150,"Street Food,Mithai",Jabalpur,Napier Town,Quick Bites,11am to 10pm(Mon-Sun),Average,2.9,17
Yaari Risto,600,"North Indian,Fast Food",Jabalpur,Wright Town,Quick Bites,10am to 10pm(Mon-Sun),Average,3.1,12
Lazeez Lawn & Restaurant,800,North Indian,Jabalpur,Napier Town,Casual Dining,11am to 11pm(Mon-Sun),Good,3.7,33
Kulhad,70,"Tea,Coffee",Jabalpur,Vijay Nagar,Beverage Shop,5pm to 10pm(Mon-Sun),Very Good,4.1,16
Shiv Sagar Restaurant,300,"North Indian,Chinese,South Indian",Jabalpur,Vijay Nagar,Quick Bites,10am to 10pm(Mon-Sun),Average,2.8,6
Foodies Cafe,200,Fast Food,Jabalpur,Napier Town,Café,12noon to 10pm(Mon-Sun),Average,3.2,5
Engineers Cafe,300,North Indian,Jabalpur,Shakti Nagar,Quick Bites,11am to 10pm(Mon-Sun),Average,3.4,12
Veg Chinese Centre,150,Chinese,Jabalpur,Napier Town,Kiosk,11am to 10pm(Mon-Sun),Average,3.4,15
The Only Place,350,"Chinese,Fast Food,Continental",Jabalpur,Cantt,Casual Dining,12noon to 11pm(Mon-Sun),Good,3.7,24
Sai Ram Sweets,200,Mithai,Jabalpur,Vijay Nagar,Sweet Shop,11am to 10pm(Mon-Sun),Average,2.9,8
Chaman Chaat,200,"Ice Cream,Desserts",Jabalpur,Gohalpur,Dessert Parlor,(Mon-Sun),Average,2.9,10
Indore Sev Bhandar,250,Mithai,Jabalpur,Ganjipura,Sweet Shop,10am to 10pm(Mon-Sun),Average,2.8,8
