Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Taxi Chick-Inn,600,"North Indian,Fast Food",Jaipur,C Scheme,Quick Bites,12noon to 12midnight(Mon-Sun),Good,3.8,1323
Poppin Cafe,800,"Cafe,Italian,North Indian,Chinese",Jaipur,C Scheme,Café,"12noon to 11pm(Mon),12noon to 12midnight...",Very Good,4.3,1028
Subway,500,"Healthy Food,Sandwich,Salad",Jaipur,C Scheme,Quick Bites,9am to 130am(Mon-Sun),Very Good,4.0,535
Muhammadi Palace,450,"North Indian,Mughlai",Jaipur,Sindhi Camp,Casual Dining,9am to 12midnight(Mon-Sun),Good,3.9,2463
Fat Lulu's,1300,"Continental,Pizza,Burger,American",Jaipur,Suryavanshi Pearl-- C Scheme,Casual Dining,11am to 2am(Mon-Sun),Very Good,4.3,679
Fumo Attico,1200,"Italian,North Indian",Jaipur,Gopalbari,Casual Dining,"12noon to 10pm(Mon),12noon to 12midnight(Tue-Sun)",Very Good,4.3,881
M.M. Khan Hotel,350,North Indian,Jaipur,Ramganj Bazaar-- Pink City,Quick Bites,7am to 1130pm(Mon-Sun),Very Good,4.0,1776
Inchin,1000,"Chinese,Thai,Momos",Jaipur,Suryavanshi Pearl-- C Scheme,Casual Dining,11am to 1130pm(Mon-Sun),Very Good,4.4,345
TGIB : The Grand Indian Buffet,1000,"North Indian,Italian,Chinese",Jaipur,Vaishali Nagar,Casual Dining,11am to 1130pm(Mon-Sun),Very Good,4.1,682
Masala Ministry,1100,"North Indian,Chinese,Fast Food",Jaipur,Man Upasana Mall-- C Scheme,Casual Dining,12noon to 12midnight(Mon-Sun),Wybitnie,4.5,948
The Capetown,1300,"North Indian,Continental,Italian,Thai",Jaipur,Bais Godam,Casual Dining,"1pm to 2am(Mon-Thu),1pm to 3am(Fri-Sun)",Excellent,4.5,584
Swastik Pavitra Bhojnalaya,200,North Indian,Jaipur,Adarsh Nagar,Dhaba,11am to 1130pm(Mon-Sun),Good,3.8,1311
Mahadev Dhaba,300,North Indian,Jaipur,Malviya Nagar,Dhaba,11am to 1130pm(Mon-Sun),Average,3.3,1599
Café Bae,1200,"Cafe,Continental,Thai",Jaipur,Hotel Las Vegas-- Bais Godam,Café,"8am to 1am(Mon,Tue,Wed,Fri,Sat),Closed...",Excellent,4.6,1248
Marky Momos,500,"Chinese,Fast Food,Momos",Jaipur,Raja Park,Quick Bites,12noon to 3am(Mon-Sun),Very Good,4.2,1630
Rawat Mishthan Bhandar,750,"Mithai,North Indian,South Indian,Chinese",Jaipur,Sindhi Camp,Sweet Shop,6am to 1030pm(Mon-Sun),Very Good,4.1,2190
Stepout Cafe,700,"Cafe,Italian,Lebanese,Mexican",Jaipur,C Scheme,Café,830am to 1030pm(Mon-Sun),Very Good,4.3,810
Equator,600,"North Indian,Italian,Chinese",Jaipur,Malviya Nagar,Quick Bites,12noon to 12midnight(Mon-Sun),Very Good,4.0,113
The Burger Street,250,Fast Food,Jaipur,Raja Park,Quick Bites,12noon to 1130pm(Mon-Sun),Good,3.8,259
Batidos - Milkshakes and More,300,"Beverages,Fast Food",Jaipur,Raja Park,Beverage Shop,11am to 1am(Mon-Sun),Very Good,4.1,201
Tasty Vibes,400,"Italian,Chinese,North Indian,Cafe",Jaipur,Raja Park,Casual Dining,11am to 12midnight(Mon-Sun),Promedio,3.3,140
Tapri Central,800,"Cafe,Fast Food",Jaipur,C Scheme,Café,"730am to 1030pm(Mon,Wed,Thu,Fri,Sat,Sun)...",Excellent,4.9,2867
Manuhaar,300,"Mithai,Bakery,Fast Food",Jaipur,Mansarovar,Sweet Shop,10am to 10pm(Mon-Sun),Very Good,4.0,837
Sodhani Sweets Pvt. Ltd.,150,"Mithai,Street Food",Jaipur,Bapu Nagar,Sweet Shop,"830am to 1015pm(Mon-Sat),8am to 10pm(Sun)",Very Good,4.2,828
Shack - The Resto Cafe,600,"North Indian,Continental,South Indian",Jaipur,Bani Park,Casual Dining,730am to 2am(Mon-Sun),Good,3.9,108
Hotel Mini Mahal,350,"North Indian,Fast Food",Jaipur,Malviya Nagar,Quick Bites,9am to 11pm(Mon-Sun),Very Good,4.1,1542
Rasoi Restaurant,250,North Indian,Jaipur,Vidhyadhar Nagar,Quick Bites,"11am to 4pm,6pm to 11pm(Mon-Sun)",Very Good,4.1,605
Meraaki Kitchen,1500,"Asian,Modern Indian,Momos",Jaipur,Civil Lines,Casual Dining,12noon to 11pm(Mon-Sun),Excellent,4.7,1487
Burger King,500,"Burger,Fast Food",Jaipur,GT Central-- Malviya Nagar,Quick Bites,11am to 11pm(Mon-Sun),Good,3.9,1237
JPR 141,700,"North Indian,Chinese,Italian",Jaipur,Shyam Nagar,Casual Dining,12noon to 1030pm(Mon-Sun),Good,3.9,304
Gangapur  Wale,300,North Indian,Jaipur,Tonk Road,Quick Bites,5pm to 11pm(Mon-Sun),Average,2.9,14
Punjabi Rasoi,400,North Indian,Jaipur,Khatipura Road,Quick Bites,11am to 11pm(Mon-Sun),Average,3.3,17
Rishabh Sweets,100,Mithai,Jaipur,Raja Park,Sweet Shop,8am to 10pm(Mon-Sun),Average,2.8,11
The Burans Food Paradise,500,"Chinese,North Indian,Fast Food",Jaipur,Mansarovar,none,8am to 1030pm(Mon-Sun),Average,3.1,10
Jai Shri Balaji Refreshment & Juice Point,200,"Fast Food,Juices,Beverages",Jaipur,Tonk Road,Quick Bites,11am to 10pm(Mon-Sun),Average,3.2,16
Kanha Food Court,250,North Indian,Jaipur,Malviya Nagar,none,"1030am to 2pm,530pm to 9pm(Mon),1030am to ...",Average,3.2,10
Jai Bhawani Meat Shop,400,"Raw Meats,Mughlai",Jaipur,Raja Park,Quick Bites,10am to 10pm(Mon-Sun),Average,3.3,12
Ganesh Quality Juice Centre,150,"Juices,Beverages",Jaipur,Sodala,Beverage Shop,10am to 930pm(Mon-Sun),Average,3.4,12
Quality King Food,200,"Chinese,South Indian",Jaipur,Mansarovar,Quick Bites,4pm to 11pm(Mon-Sun),Average,3.3,16
The Mother's Box,300,North Indian,Jaipur,Lal Kothi,none,9am to 9pm(Mon-Sun),Average,2.8,8
Amer Haveli Restaurant & Bar,1500,"North Indian,Finger Food",Jaipur,Amer,Casual Dining,11am to 10pm(Mon-Sun),Average,3.0,12
Desi Firangi,350,"North Indian,South Indian,Chinese",Jaipur,Ajmer Highway,Quick Bites,1130am to 11pm(Mon-Sun),Average,2.9,13
Fresh Fresh Breakfast,300,North Indian,Jaipur,Shastri Nagar,none,10am to 10pm(Mon-Sun),Average,3.2,9
Red Chilli Restaurant,600,North Indian,Jaipur,Sikar Road,Dhaba,"1030am to 1130pm(Mon-Thu),Closed(Fri),1030am...",Average,2.9,12
Yummy Treat,250,"North Indian,South Indian",Jaipur,Vaishali Nagar,none,9am to 8pm(Mon-Sun),Average,3.3,7
Royal Goan Cuisine,500,"Goan,Seafood",Jaipur,Malviya Nagar,none,11am to 10pm(Mon-Sun),Average,3.1,7
Hotel Raj Niwas,400,North Indian,Jaipur,Transport Nagar,Quick Bites,6am to 10pm(Mon-Sun),Average,3.2,11
Manglam Sweets,200,"Mithai,Indian",Jaipur,Pink City,Sweet Shop,8am to 9pm(Mon-Sun),Average,2.9,18
Paratha Waala's,300,North Indian,Jaipur,Mansarovar,Quick Bites,9am to 10pm(Mon-Sun),Average,3.1,9
Agarwal Pavitra Bhojnalya,350,"North Indian,Rajasthani",Jaipur,Hawa Mahal Road-- Pink City,Bhojanalya,10am to 11pm(Mon-Sun),Average,2.9,15
Khana Khazana Mom Made Food,250,North Indian,Jaipur,Ajmer Highway,Quick Bites,8am to 11pm(Mon-Sun),Average,3.3,11
Cake & Pizza Hut,200,Fast Food,Jaipur,Amer Road,Quick Bites,10am to 11pm(Mon-Sun),Average,3.3,8
Terminal - 1 Cafe,300,"Fast Food,North Indian",Jaipur,Tonk Road,Casual Dining,10am to 10pm(Mon-Sun),Average,3.3,12
Ghar Wala Veg & Non Veg Takeaway,400,North Indian,Jaipur,Vaishali Nagar,none,6pm to 11pm(Mon-Sun),Average,3.2,12
Classic 7 Restaurant,500,"North Indian,Chinese",Jaipur,Ajmer Highway,Casual Dining,11am to 11pm(Mon-Sun),Average,3.2,10
Chaat Square,600,"North Indian,Chinese",Jaipur,Mansarovar,Casual Dining,1130am to 10pm(Mon-Sun),Average,3.2,11
Khandelwal Dhaba,200,North Indian,Jaipur,Tonk Road,Dhaba,11am to 11pm(Mon-Sun),Average,2.9,12
Food & Beverages,300,Fast Food,Jaipur,Mansarovar,Quick Bites,11am to 11pm(Mon-Sun),Average,3.3,11
Fresh Counter,150,"Fast Food,Beverages",Jaipur,Mansarovar,Quick Bites,9am to 11pm(Mon-Sun),Average,3.1,8
Bakery Wala,200,"Bakery,Street Food",Jaipur,Shastri Nagar,Bakery,11am to 11pm(Mon-Sun),Average,3.0,14
Aarohi Family Restaurant,400,North Indian,Jaipur,Vaishali Nagar,Casual Dining,11am to 11pm(Mon-Sun),Average,3.0,6
Shri Ram South Indian & Chinese Food Corner,200,"Chinese,South Indian,Fast Food",Jaipur,Malviya Nagar,Quick Bites,12noon to 1030pm(Mon-Sun),Average,3.1,13
Avishka Bakers,200,"Bakery,Fast Food",Jaipur,Jhotwara,Bakery,830am to 930pm(Mon-Sun),Average,2.9,7
Chokhaa Dhaba,400,"North Indian,Chinese",Jaipur,Tonk Road,Casual Dining,10am to 11pm(Mon-Sun),Average,3.2,11
Radhey Krishna Bakers,300,"Fast Food,Bakery",Jaipur,Sodala,Quick Bites,11am to 11pm(Mon-Sun),Average,3.1,7
Uncle G,300,Fast Food,Jaipur,Evershine Tower-- Vaishali Nagar,Quick Bites,11am to 11pm(Mon-Sun),Average,3.2,12
Hare Rama Hare Krishna Dhaba,400,"North Indian,Chinese,South Indian",Jaipur,Vaishali Nagar,Dhaba,11am to 11pm(Mon-Sun),Average,3.2,11
Marwadi Jain Dhaba,300,North Indian,Jaipur,Gopalbari,Quick Bites,9am to 11pm(Mon-Sun),Average,3.3,14
The treats,500,"North Indian,Fast Food,Chinese",Jaipur,Shastri Nagar,Quick Bites,11am to 11pm(Mon-Sun),Average,2.9,13
Fooodd,200,North Indian,Jaipur,Malviya Nagar,none,"11am to 3pm,530pm to 930pm(Mon-Sun)",Average,3.3,14
Frizza,200,"Fast Food,Italian",Jaipur,Raja Park,none,11am to 11pm(Mon-Sun),Average,3.4,13
Shri Pandit Kulfi,150,"Desserts,Ice Cream",Jaipur,Vaishali Nagar,Dessert Parlor,10am to 11pm(Mon-Sun),Average,3.3,8
