Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Aar Kay Vaishno Dhaba,300,"North Indian,Desserts",Jalandhar,Nakodar Road,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.3,680
Food Bazar,300,Fast Food,Jalandhar,Shastri Nagar,Quick Bites,8am to 11pm(Mon-Sun),Very Good,4.4,545
Nanak Vegetarian Dhaba,250,"North Indian,Chinese",Jalandhar,Adarsh Nagar,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.1,462
Deliver My Diet,300,"North Indian,Chinese,Continental,Italian,Healthy Food,Salad,Biryani,Pizza",Jalandhar,Model Town,none,11am to 11pm(Mon-Sun),Excellent,4.5,338
KFC,500,Fast Food,Jalandhar,Model Town,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.4,666
Burger King,500,"Fast Food,Burger",Jalandhar,Model Town,Quick Bites,11am to 1030pm(Mon-Sun),Very Good,4.0,664
Baithak,500,North Indian,Jalandhar,Model Town,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.1,449
AM PM,700,"North Indian,Mughlai,South Indian,Chinese,Continental,Street Food",Jalandhar,Model Town,Casual Dining,"10am to 11pm(Mon-Sat),9am to 11pm(Sun)",Very Good,4.1,395
Vanakkam,450,"South Indian,Italian,Chinese",Jalandhar,Model Town,Quick Bites,10am to 11pm(Mon-Sun),Very Good,4.0,370
Baba Chicken,1000,North Indian,Jalandhar,Model Town,Casual Dining,"11am to 11pm(Mon,Tue,Wed,Thu,Sun),11am to ...",Very Good,4.0,635
Amritsari Lovely Dhaba,700,"North Indian,Chinese",Jalandhar,Shastri Nagar,Casual Dining,121pm to 11pm(Mon-Sun),Very Good,4.1,343
The Spice Cottage,600,"North Indian,Italian,Continental,Chinese",Jalandhar,Model Town,Café,11am to 11pm(Mon-Sun),Good,3.6,114
Domino's Pizza,600,Pizza,Jalandhar,Model Town,Quick Bites,11am to 12midnight(Mon-Sun),Good,3.8,567
Kamal Vaishno Dhaba,200,North Indian,Jalandhar,Model Town,Quick Bites,11am to 11pm(Mon-Sun),Good,3.9,446
Aggarwal Vaishno Dhaba,400,"North Indian,Continental,Chinese,South Indian",Jalandhar,Model Town,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.3,262
Humm Bakerz,300,Bakery,Jalandhar,GT Road,Bakery,830am to 10pm(Mon-Sun),Average,2.8,16
The Glassy Junction,700,North Indian,Jalandhar,Maqsudan,Casual Dining,10am to 10pm(Mon-Sun),Average,2.9,27
Shake-adelic,300,"Beverages,Fast Food",Jalandhar,Urban Estate,Beverage Shop,12noon to 10pm(Mon-Sun),Good,3.6,24
Rattan's Sainik Manni Vegetarian Dhaba,300,North Indian,Jalandhar,Model House,Dhaba,12noon to 10pm(Mon-Sun),Average,3.4,15
Raja Hotel,500,North Indian,Jalandhar,Model Town,Casual Dining,8am to 10pm(Mon-Sun),Average,3.1,8
Spicy Hut,300,"Continental,Chinese,Italian,North Indian",Jalandhar,Model Town,Quick Bites,12noon to 10pm(Mon-Sun),Average,3.4,16
Kwality Chick Chick,200,North Indian,Jalandhar,Model House,Quick Bites,"1pm to 1130pm(Mon,Tue,Thu,Fri,Sat),1pm to ...",Good,3.9,79
Chumber Fast Food,150,"Chinese,Fast Food",Jalandhar,Model Town,Quick Bites,10am to 10pm(Mon-Sun),Average,3.0,9
Chawla Nutri Kulcha,100,North Indian,Jalandhar,Shastri Nagar,Quick Bites,10am to 10pm(Mon-Sun),Average,3.4,21
Food Circuit,200,North Indian,Jalandhar,Model Town,Quick Bites,9am to 9pm(Mon-Sun),Average,3.1,10
Brew Cafe,450,"Coffee,Pizza,Burger",Jalandhar,Shastri Nagar,Café,11am to 945pm(Mon-Sun),Average,3.2,19
New Cake house,500,Bakery,Jalandhar,Model Town,Bakery,10am to 10pm(Mon-Sun),Good,3.5,37
Soni Dosa,150,South Indian,Jalandhar,Urban Estate,Quick Bites,11am to 10pm(Mon-Sun),Average,2.9,29
Hotz Drive PPR,250,"North Indian,Chinese,Continental",Jalandhar,Shastri Nagar,Quick Bites,4pm to 11pm(Mon-Sun),Good,3.7,70
Basant Continental,600,"North Indian,Continental,Chinese",Jalandhar,Adarsh Nagar,Casual Dining,11am to 11pm(Mon-Sun),Good,3.5,60
Kwality Sweet Shop,200,"North Indian,Mithai",Jalandhar,Urban Estate,Sweet Shop,11am to 9pm(Mon-Sun),Average,3.3,10
Madhur Bakers,250,Desserts,Jalandhar,Shastri Nagar,Bakery,10am to 10pm(Mon-Sun),Average,3.2,6
Fresh Avenue,150,"Salad,Fast Food",Jalandhar,Shastri Nagar,Food Court,12noon to 10pm(Mon-Sun),Average,3.2,8
Dos Burros,1000,"North Indian,Chinese,Continental",Jalandhar,Model Town,Casual Dining,11am to 11pm(Mon-Sun),Good,3.8,85
Gelato Davinci,300,"Ice Cream,Beverages",Jalandhar,Model Town,Quick Bites,(Mon-Sun),Average,3.3,15
Subway,500,"Healthy Food,Salad,Sandwich",Jalandhar,Jalandhar Cantt,Quick Bites,10am to 10pm(Mon-Sun),Average,3.3,23
