Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Brewers - The Coffee Bar,500,Cafe,Jammu,Old Heritage City,Café,8am to 11pm(Mon-Sun),Excellent,4.6,211
Humpty Dumpty,300,"Pizza,Burger,Fast Food",Jammu,Nanak Nagar,none,11am to 11pm(Mon-Sun),Excellent,4.6,231
RMP Restaurant,300,"Indian,Chinese",Jammu,Shastri Nagar,Quick Bites,11am to 11pm(Mon-Sun),Excellent,4.6,231
Nox Cafe & Bar,600,"Continental,Chinese,Italian,Modern Indian",Jammu,Trikuta Nagar,Casual Dining,12noon to 12midnight(Mon-Sun),Very Good,4.3,214
Domino's Pizza,700,"Pizza,Fast Food",Jammu,Trikuta Nagar,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.0,265
My Burger's Lab,250,"Burger,Fast Food",Jammu,Trikuta Nagar,none,11am to 11pm(Mon-Sun),Good,3.9,161
Nomad Cafe,200,Fast Food,Jammu,Trikuta Nagar,Quick Bites,11am to 1030pm(Mon-Sun),Good,3.9,95
Mango,300,"North Indian,Continental,Italian,Beverages",Jammu,Trikuta Nagar,Quick Bites,1030am to 1030pm(Mon-Sun),Very Good,4.2,128
Kaffberry,250,"Cafe,Bakery",Jammu,Channi Himmat,Café,11am to 1030pm(Mon-Sun),Very Good,4.3,156
Buffet Hut,600,North Indian,Jammu,Gandhi Nagar,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.0,192
Pahalwan's,300,"Fast Food,Desserts,North Indian",Jammu,Channi Himmat,Food Court,11am to 11pm(Mon-Sun),Very Good,4.0,105
KC 360,400,"North Indian,Fast Food",Jammu,Resham Ghar Colony,Quick Bites,11am to 11pm(Mon-Sun),Good,3.7,86
Cafe Scootervala,700,"Cafe,Modern Indian",Jammu,Trikuta Nagar,Café,12noon to 11pm(Mon-Sun),Very Good,4.1,127
KC 360 Restaurant & Bakery,300,"Bakery,Fast Food",Jammu,Trikuta Nagar,Bakery,11am to 11pm(Mon-Sun),Average,3.3,80
The Brewbakers,250,"Bakery,Fast Food",Jammu,Channi Himmat,Bakery,"1030am to 11pm(Mon-Tue),11am to 11pm(Wed-Sun)",Good,3.9,97
Vijay Di Hatti,200,North Indian,Jammu,Trikuta Nagar,Quick Bites,2pm to 10pm(Mon-Sun),Average,3.4,11
Elite Baker's & Snacks,100,Bakery,Jammu,Shastri Nagar,Bakery,12noon to 10pm(Mon-Sun),Average,3.1,5
Dhaba Dot Com,400,"North Indian,South Indian,Chinese",Jammu,Channi Himmat,Quick Bites,11am to 10pm(Mon-Sun),Average,2.9,6
Mummy’s Kitchen,300,"Mughlai,North Indian,Afghan",Jammu,Nanak Nagar,none,NA,Average,3.2,7
Pizza Express,600,Pizza,Jammu,Nanak Nagar,Quick Bites,11am to 10pm(Mon-Sun),Average,2.9,5
PMC Bhujiawala,200,"Mithai,Street Food",Jammu,Hari Market,Confectionery,11am to 10pm(Mon-Sun),Average,3.2,8
Aliza Food Hub,300,Fast Food,Jammu,Rehari Colony,Quick Bites,10am to 10pm(Mon-Sun),Average,3.2,7
Healthy Grill,500,"South Indian,North Indian",Jammu,Nanak Nagar,Casual Dining,930am to 1030pm(Mon-Sun),Average,3.3,33
Firemint The Flavour,500,"Fast Food,Pizza",Jammu,Lal Kuan,Quick Bites,9am to 10pm(Mon-Sun),Average,3.0,4
Smokin Joe's,600,Pizza,Jammu,Trikuta Nagar,Quick Bites,11am to 1130pm(Mon-Sun),Average,3.4,53
Funbytes Express,300,Fast Food,Jammu,Channi Himmat,Quick Bites,1130am to 1130pm(Mon-Sun),Good,3.9,43
Tandoori Hub,500,"North Indian,Fast Food",Jammu,Transport Nagar,Casual Dining,12noon to 1030pm(Mon-Sun),Average,3.3,24
