Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Ghousia Hotel,300,"Biryani,North Indian,Chinese,Rolls",Jamshedpur,Sakchi,Quick Bites,11am to 11pm(Mon-Sun),Excellent,4.5,444
The Chocolate Room,600,"Desserts,Beverages,Pizza,Burger,Sandwich,Street Food,Mexican,Italian",Jamshedpur,Bistupur,Café,11am to 11pm(Mon-Sun),Excellent,4.5,224
Junction Restraurant,600,"Biryani,Chinese",Jamshedpur,Sakchi,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.2,182
Novelty Multicuisine Restaurant,700,"South Indian,Chinese,North Indian",Jamshedpur,Bistupur,Casual Dining,1030am to 1030pm(Mon-Sun),Very Good,4.3,161
Junction,300,"Biryani,Chinese,Rolls",Jamshedpur,Bistupur,Quick Bites,11am to 11pm(Mon-Sun),Good,3.9,131
Pappu Restaurant,500,"Chinese,North Indian",Jamshedpur,Sakchi,Casual Dining,11am to 2am(Mon-Sun),Good,3.6,156
The Bawarchi,500,"North Indian,Biryani,Rolls,Chinese",Jamshedpur,Mango,Quick Bites,11am to 11pm(Mon-Sun),Average,3.1,152
Brubeck Bakery,450,"Bakery,Sandwich,Italian,Tea,Burger,Coffee,Desserts,Pizza",Jamshedpur,Bistupur,Bakery,930am to 1130pm(Mon-Sun),Very Good,4.2,138
Le Bon Cafe & Bakery,500,Pizza,Jamshedpur,Bistupur,Café,10am to 1030pm(Mon-Sun),Very Good,4.1,181
Ramesh Kulfi,300,"North Indian,Biryani,South Indian,Rolls",Jamshedpur,Bistupur,Casual Dining,10am to 11pm(Mon-Sun),Good,3.5,153
Anand,300,"Biryani,Chinese,Beverages,North Indian,Tea,Coffee,Desserts,South Indian",Jamshedpur,Bistupur,Casual Dining,11am to 1030pm(Mon-Sun),Very Good,4.2,151
Shreeji Rasoi,400,"North Indian,Chinese",Jamshedpur,Bistupur,Casual Dining,10am to 11pm(Mon-Sun),Average,3.1,116
Delhi Darbar,500,"North Indian,Chinese",Jamshedpur,Sakchi,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.2,283
Italian Adda,400,"Biryani,Chinese,Italian,Coffee,Pizza",Jamshedpur,Mango,Quick Bites,10am to 11pm(Mon-Sun),Good,3.8,104
Domino's Pizza,500,Pizza,Jamshedpur,Sakchi,Casual Dining,11am to 11pm(Mon-Sun),Good,3.8,205
Cakes & Bakes,150,Bakery,Jamshedpur,Sakchi,Bakery,11am to 10pm(Mon-Sun),Average,2.8,9
Idli Point,80,"South Indian,North Indian",Jamshedpur,Gamharia,Quick Bites,7am to 9pm(Mon-Sun),Average,3.2,6
Khalsa Hotel,200,"South Indian,North Indian,Chinese",Jamshedpur,Bistupur,Quick Bites,1130am to 930pm(Mon-Sun),Average,3.0,6
Aqua Fumes,600,Chinese,Jamshedpur,Sakchi,Casual Dining,11am to 11pm(Mon-Sun),Average,3.1,21
Subway,400,"Healthy Food,Sandwich,Salad",Jamshedpur,Bistupur,Quick Bites,11am to 11pm(Mon-Sun),Average,3.2,31
The Copper Handi,200,"North Indian,Chinese",Jamshedpur,Sonari,Quick Bites,11am to 1030pm(Mon-Sun),Average,3.2,34
Little Italy,400,"Italian,North Indian",Jamshedpur,Bistupur,Quick Bites,(Mon-Sun),Average,3.2,6
Toppings,300,Bakery,Jamshedpur,Bistupur,Bakery,10am to 10pm(Mon-Sun),Average,3.2,5
Sabita's Kitchen,500,"Chinese,Bengali",Jamshedpur,Bistupur,Quick Bites,11am to 10pm(Mon-Sun),Average,3.1,4
Food Nation,300,"North Indian,Chinese",Jamshedpur,Bistupur,Quick Bites,11am to 10pm(Mon-Sun),Average,3.0,7
Saffron,200,"Biryani,Chinese,Desserts,Mughlai,North Indian",Jamshedpur,Sakchi,Casual Dining,8am to 10pm(Mon-Sun),Average,3.0,4
Cakes & Bakes,200,Bakery,Jamshedpur,Golmuri,Bakery,11am to 10pm(Mon-Sun),Average,3.1,6
Yashwee International,1000,"Chinese,Continental,North Indian",Jamshedpur,Sakchi,Lounge,12noon to 12midnight(Mon-Sun),Good,3.9,45
Hangout Restaurant,0,"North Indian,Chinese",Jamshedpur,Bistupur,Casual Dining,11am to 10pm(Mon-Sun),Average,3.2,8
Shri Hira Sweets,150,Mithai,Jamshedpur,Golmuri,Sweet Shop,(Mon-Sun),Average,3.2,4
Food Fiesta,120,"Fast Food,Beverages",Jamshedpur,Sonari,Quick Bites,11am to 11pm(Mon-Sun),Average,3.3,21
Hong Kong,1000,Chinese,Jamshedpur,Bistupur,Casual Dining,11am to 11pm(Mon-Sun),Good,3.7,37
Humpty Dumpty,100,Chinese,Jamshedpur,Mango,Bhojanalya,12noon to 11pm(Mon-Sun),Good,3.8,30
Gupshup Family AC Restaurant,400,"North Indian,Chinese",Jamshedpur,Sakchi,Quick Bites,11am to 1030pm(Mon-Sun),Average,3.1,28
Spice Zone,1000,"North Indian,Chinese",Jamshedpur,Bistupur,Casual Dining,7am to 11pm(Mon-Sun),Average,3.4,14
Kentucky Chicken Hotel,500,"North Indian,Chinese",Jamshedpur,Sonari,Quick Bites,10am to 1130pm(Mon-Sun),Good,3.5,47
15 Hours,150,"South Indian,Bengali,Fast Food,North Indian,Beverages",Jamshedpur,Sakchi,Casual Dining,10am to 1030pm(Mon-Sun),Average,2.8,16
Rollacosta,300,"North Indian,Italian",Jamshedpur,Bistupur,Food Court,11am to 11pm(Mon-Sun),Good,3.6,27
The Host,800,"Indian,Chinese",Jamshedpur,Bistupur,Casual Dining,11am to 11pm(Mon-Sun),Good,3.6,29
