Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Narayan Chaat Bhandar,150,Street Food,Jhansi,Cantt,Quick Bites,3pm to 1030pm(Mon-Sun),Good,3.8,209
The Silver Spoon,300,"Chinese,Rolls,Momos,Beverages,Fast Food,Biryani",Jhansi,Cantt,Food Court,2pm to 11pm(Mon-Sun),Good,3.8,203
The Bakers Factory,800,"Asian,Bakery,North Indian,Italian,Lebanese,South Indian",Jhansi,Civil Lines,Casual Dining,11am to 1030pm(Mon-Sun),Good,3.7,213
Pizza Hut,500,"Pizza,Italian",Jhansi,Civil Lines,Quick Bites,11am to 11pm(Mon-Sun),Average,3.4,287
Domino's Pizza,500,"Pizza,Italian,Fast Food",Jhansi,Civil Lines,Quick Bites,11am to 12midnight(Mon-Sun),Average,3.4,231
Jannaks Foods Art,250,"North Indian,South Indian,Chinese",Jhansi,Sipri Bazaar,Quick Bites,9am to 1030pm(Mon-Sun),Average,3.4,74
The Imperial Chaat,150,Street Food,Jhansi,Cantt,Quick Bites,10am to 1030pm(Mon-Sun),Good,3.6,108
World Of Pizzeria Bistro,500,Fast Food,Jhansi,Sipri Bazaar,Casual Dining,8am to 1130pm(Mon-Sun),Average,3.2,82
The Chacha's Biryani,100,Biryani,Jhansi,Civil Lines,Food Court,"10am to 11pm(Mon,Wed,Thu,Fri,Sat,Sun),Closed...",Good,3.5,142
Black Mud,1000,"North Indian,Italian,Continental,Chinese,Cafe,American",Jhansi,Cantt,Café,10am to 1030pm(Mon-Sun),Average,3.3,195
Janta Thali,120,"North Indian,Biryani",Jhansi,Civil Lines,Quick Bites,11am to 11pm(Mon-Sun),Average,3.3,84
Ikram khan's cuisine,400,"North Indian,South Indian,Chinese",Jhansi,Civil Lines,Quick Bites,12noon to 1030pm(Mon-Sun),Good,3.6,115
Haveli Restaurant,500,"North Indian,Fast Food",Jhansi,Civil Lines,Casual Dining,9am to 1130pm(Mon-Sun),Average,3.3,100
Sabzi Wala,350,North Indian,Jhansi,Cantt,Quick Bites,"11am to 1030pm(Mon,Tue,Wed,Thu,Sat,Sun)...",Good,3.5,90
Hyderabadi Biryani House,150,"North Indian,Biryani",Jhansi,Civil Lines,Casual Dining,11am to 11pm(Mon-Sun),Good,3.6,97
The Bawarchi,250,North Indian,Jhansi,Civil Lines,Quick Bites,"12noon to 930pm(Mon,Wed,Thu,Fri,Sat,Sun)...",Average,3.2,5
Mobile Fish & Chicken Corner,200,"North Indian,Mughlai",Jhansi,Bundelkhand University,Quick Bites,7am to 10pm(Mon-Sun),Average,3.2,4
Pradeep Doodh Bhandar,200,"Street Food,Mithai",Jhansi,Cantt,Quick Bites,6am to 930pm(Mon-Sun),Average,3.2,4
Sweet Valley Ice Cream Parlour,300,"Ice Cream,Desserts",Jhansi,Civil Lines,Dessert Parlor,11am to 10pm(Mon-Sun),Average,3.3,6
Bundeli Non Veg,300,North Indian,Jhansi,Cantt,Quick Bites,10am to 10pm(Mon-Sun),Average,3.2,5
Badri Sweets,150,"Street Food,Mithai",Jhansi,Cantt,Quick Bites,9am to 10pm(Mon-Sun),Average,3.2,4
M24 Chandni Chowk Ke Mashoor Paranthe,200,North Indian,Jhansi,Civil Lines,Quick Bites,10am to 11pm(Mon-Sun),Average,3.2,12
GULKAND The PAANtastic Flavours,100,Paan,Jhansi,Civil Lines,Paan Shop,"2pm to 1030pm(Mon,Wed,Thu,Fri,Sat,Sun)...",Average,3.3,11
Invitation Restaurant Hotel Shrinath Palace,300,North Indian,Jhansi,Civil Lines,Quick Bites,11am to 11pm(Mon-Sun),Average,3.3,11
Vrindavan Restaurant,300,North Indian,Jhansi,Sipri Bazaar,Quick Bites,11am to 11pm(Mon-Sun),Average,3.3,12
Traffic Jam,100,"Continental,South Indian,Italian,Chinese,Fast Food",Jhansi,Cantt,Quick Bites,11am to 1030pm(Mon-Sun),Average,3.2,13
Baskin Robbins,200,Ice Cream,Jhansi,Civil Lines,Dessert Parlor,11am to 11pm(Mon-Sun),Average,3.2,13
Aroma - The Fragrance Of Fine Dine,500,North Indian,Jhansi,Bundelkhand University,Casual Dining,730am to 1030pm(Mon-Sun),Average,3.3,16
Red Tomato Restaurant,500,North Indian,Jhansi,Sipri Bazaar,Casual Dining,11am to 11pm(Mon-Sun),Average,3.4,17
Hotel Sita,600,"North Indian,Chinese,South Indian",Jhansi,Civil Lines,Casual Dining,7am to 11pm(Mon-Sun),Average,3.3,22
Gupta Ji Aloo Bonda,50,Fast Food,Jhansi,Indrapuri,Quick Bites,9am to 11pm(Mon-Sun),Average,3.4,9
Sharma Restaurant,150,North Indian,Jhansi,Shivaji Nagar,Quick Bites,1030am to 1030pm(Mon-Sun),Average,3.3,8
Om Sai Family Restaurant,400,North Indian,Jhansi,Cantt,Quick Bites,6pm to 11pm(Mon-Sun),Average,3.2,20
Punjabi Tadka,150,North Indian,Jhansi,Cantt,Quick Bites,12noon to 11pm(Mon-Sun),Average,3.3,13
Hum Tum Family Restaurant,300,"North Indian,South Indian,Chinese",Jhansi,Purana Sahar,Quick Bites,11am to 1030pm(Mon-Sun),Average,3.2,8
Kwality Walls,200,Ice Cream,Jhansi,Cantt,Dessert Parlor,11am to 1030pm(Mon-Sun),Average,3.2,6
Asha Chowmein Centre,150,Chinese,Jhansi,Sipri Bazaar,Quick Bites,1pm to 1030pm(Mon-Sun),Average,3.2,11
Thiya Thikhana,150,"Italian,Chinese,Fast Food",Jhansi,Sipri Bazaar,Quick Bites,"Closed(Mon),5pm to 1030pm(Tue-Sun)",Average,3.3,14
Cool Hut,200,"Desserts,Ice Cream,Beverages",Jhansi,Cantt,Beverage Shop,11am to 11pm(Mon-Sun),Average,3.2,8
Upadhyay Dhaba,150,North Indian,Jhansi,Cantt,Dhaba,1130am to 12midnight(Mon-Sun),Average,3.3,7
Food Factory,250,"North Indian,Chinese",Jhansi,Cantt,none,10am to 1030pm(Mon-Sun),Average,3.3,5
Hotel Prakash Regency,600,"North Indian,South Indian,Chinese",Jhansi,Civil Lines,Casual Dining,3pm to 12midnight(Mon-Sun),Average,3.2,6
Enjoy,300,"North Indian,Italian,Chinese",Jhansi,Cantt,Food Court,11am to 1030pm(Mon-Sun),Average,3.2,10
Siddhi Vinayak Family Restaurant,500,North Indian,Jhansi,Civil Lines,Quick Bites,11am to 11pm(Mon-Sun),Average,3.2,7
Pindi Soya,400,"North Indian,Italian,Fast Food,Chinese",Jhansi,Cantt,Quick Bites,2pm to 11pm(Mon-Sun),Average,3.2,15
Rama Foods,200,"Desserts,Ice Cream",Jhansi,Civil Lines,Dessert Parlor,1130am to 11pm(Mon-Sun),Average,3.2,6
Palki Restaurant,150,"North Indian,Chinese,South Indian",Jhansi,Civil Lines,Quick Bites,12noon to 12midnight(Mon-Sun),Average,3.2,7
Bake & Brew,300,Bakery,Jhansi,Civil Lines,Bakery,12midnight to 1130pm(Mon-Sun),Average,3.2,6
Veer Non-Veg Restauran,400,North Indian,Jhansi,Civil Lines,Quick Bites,"11am to 1030pm(Mon,Wed,Thu,Fri,Sat,Sun)...",Average,3.2,6
CC2 Family Restaurant,400,North Indian,Jhansi,Civil Lines,Quick Bites,"1230pm to 3pm,6pm to 11pm(Mon-Sun)",Average,3.2,6
The Hunger Point,150,"North Indian,Chinese,Fast Food",Jhansi,Civil Lines,Quick Bites,11am to 11pm(Mon-Sun),Average,3.2,6
Kalam Non-Veg,400,North Indian,Jhansi,Civil Lines,Quick Bites,6pm to 11pm(Mon-Sun),Average,3.2,7
Shere Punjab Dhaba (Shudh Shakhari),200,North Indian,Jhansi,Cantt,Quick Bites,12noon to 12midnight(Mon-Sun),Average,3.2,4
Flavours,1500,"North Indian,Mughlai,Italian,Continental,Chinese",Jhansi,Civil Lines,Fine Dining,7am to 11pm(Mon-Sun),Average,3.2,7
Agarwal Chaat Bhandar,150,"South Indian,North Indian,Chinese",Jhansi,Nagra,Quick Bites,5pm to 1030pm(Mon-Sun),Average,3.2,5
Shri Savariya Fast Food Corner,150,"Street Food,Fast Food",Jhansi,Cantt,Kiosk,4pm to 1030pm(Mon-Sun),Average,3.2,5
Tandoori Khazana,500,"North Indian,Fast Food,Chinese",Jhansi,Cantt,Quick Bites,"11am to 1155pm(Mon),130pm to 11pm(Tue),1230pm...",Good,3.6,178
Monreve Unplugged Cafe,450,"Lebanese,Italian,Chinese,Cafe",Jhansi,Bundelkhand University,Café,11am to 11pm(Mon-Sun),Average,3.2,74
Peppi Pizza,400,"Pizza,Burger",Jhansi,Cantt,Quick Bites,1130am to 11pm(Mon-Sun),Good,3.5,98
Jannaks Restaurant,400,"North Indian,Chinese",Jhansi,Civil Lines,Quick Bites,10am to 1030pm(Mon-Sun),Average,3.3,85
The Kathi Rolls Factory,100,"BBQ,Rolls,Fast Food",Jhansi,Cantt,Quick Bites,12noon to 11pm(Mon-Sun),Good,3.6,55
Dilip Hotel Veg & Non Veg,200,"Biryani,North Indian",Jhansi,Civil Lines,Quick Bites,10am to 11pm(Mon-Sun),Average,3.3,88
Cafe Grid & Godown,400,Cafe,Jhansi,Bundelkhand University,Café,11am to 1030pm(Mon-Sun),Average,3.3,94
Petooram's Restaurant & Sweets,400,"North Indian,Chinese",Jhansi,Civil Lines,Quick Bites,11am to 11pm(Mon-Sun),Average,3.2,80
Masala Art Cafe & Restuatant,600,"Biryani,Chinese,Cafe,North Indian,Italian",Jhansi,Civil Lines,Café,11am to 11pm(Mon-Sun),Average,3.4,78
Hotel Yatrik Treat Restaurant,400,"North Indian,Biryani,Chinese",Jhansi,Civil Lines,Quick Bites,730am to 11pm(Mon-Sun),Good,3.5,46
Cafe Tulsi & Chelaram Sweets,250,"Chinese,North Indian,Mithai",Jhansi,Sipri Bazaar,Quick Bites,10am to 1015pm(Mon-Sun),Good,3.5,45
Mahima Foods,350,North Indian,Jhansi,Cantt,Food Court,6pm to 1030pm(Mon-Sun),Average,3.4,88
Shrinath Pav Bhaji Pulav Centre,200,Street Food,Jhansi,Cantt,Quick Bites,4pm to 1030pm(Mon-Sun),Average,3.4,80
Kushwaha Ji Foods,100,North Indian,Jhansi,Cantt,Quick Bites,10am to 10pm(Mon-Sun),Good,3.7,239
Laziz Pizza,120,"Italian,Fast Food",Jhansi,Civil Lines,Quick Bites,11am to 11pm(Mon-Sun),Average,3.3,30
Pizza Station,300,Pizza,Jhansi,Cantt,Food Court,12noon to 11pm(Mon-Sun),Average,3.4,63
New Star Bakery,100,"Fast Food,Bakery",Jhansi,Sipri Bazaar,Bakery,8am to 1030pm(Mon-Sun),Average,3.4,37
Taste of Jhansi,400,"North Indian,Chinese",Jhansi,Civil Lines,Quick Bites,11am to 11pm(Mon-Sun),Average,3.4,66
Burger Point,250,Burger,Jhansi,Civil Lines,Quick Bites,11am to 10pm(Mon-Sun),Good,3.7,130
Burger Point,450,"Burger,Wraps,Beverages,Street Food,Sandwich",Jhansi,Bundelkhand University,Quick Bites,10am to 10pm(Mon-Sun),Good,3.7,87
Shilpi Hotel,300,North Indian,Jhansi,Civil Lines,Quick Bites,"1130am to 4pm,7pm to 930pm(Mon-Sun)",Good,3.5,95
Avadh Foods,150,"Street Food,North Indian",Jhansi,Civil Lines,Quick Bites,(Mon-Sun),Average,3.3,288
Lajawab Hyderabadi Veg Foods,100,"Biryani,Fast Food",Jhansi,Cantt,Quick Bites,10am to 11pm(Mon-Sun),Good,3.5,28
Vegetarian Express & Tasty Junction,150,North Indian,Jhansi,Sipri Bazaar,Quick Bites,24,Average,3.4,40
Avadh Foods,150,"Street Food,North Indian",Jhansi,Cantt,Quick Bites,10am to 9pm(Mon-Sun),Average,3.4,78
Meat Ka Badshah,300,"North Indian,Biryani",Jhansi,Civil Lines,Quick Bites,930am to 10pm(Mon-Sun),Good,3.6,79
Nandi Butter Counter,150,South Indian,Jhansi,Civil Lines,Quick Bites,12noon to 11pm(Mon-Sun),Average,3.4,35
Lazeez Restaurant,400,"Indian,Chinese,Continental",Jhansi,Cantt,Casual Dining,730am to 1030pm(Mon-Sun),Average,3.3,28
Vandana Sweets,200,Mithai,Jhansi,Civil Lines,Sweet Shop,10am to 10pm(Mon-Sun),Average,3.4,126
Opium,800,"Continental,Coffee,Fast Food",Jhansi,Cantt,Casual Dining,11am to 1030pm(Mon-Sun),Average,3.3,45
Bundeli Sweets And Food,500,North Indian,Jhansi,Cantt,Casual Dining,11am to 11pm(Mon-Sun),Average,3.4,19
China Town,200,"Fast Food,Chinese",Jhansi,Cantt,Quick Bites,10am to 10pm(Mon-Sun),Average,3.3,33
Piz Food,150,"Italian,South Indian,Chinese,Fast Food",Jhansi,Civil Lines,Quick Bites,12noon to 9pm(Mon-Sun),Average,3.4,33
Hotel Tulsi Restaurant,500,"North Indian,Mughlai,Chinese",Jhansi,Sipri Bazaar,Casual Dining,7am to 10pm(Mon-Sun),Average,3.3,74
Neelam Chaat & Fast Food,150,"Street Food,Fast Food",Jhansi,Civil Lines,Quick Bites,10am to 10pm(Mon-Sun),Average,3.4,68
Dau Samosa,50,Street Food,Jhansi,Civil Lines,none,730am to 5pm(Mon-Sun),Average,3.3,37
UP93 Restro And Lounge,400,Fast Food,Jhansi,Shivaji Nagar,Casual Dining,12noon to 10pm(Mon-Sun),Average,3.3,40
Dilip Biryani,100,Biryani,Jhansi,Civil Lines,Quick Bites,10am to 10pm(Mon-Sun),Average,3.2,52
Fire & Grill,350,North Indian,Jhansi,Indrapuri,Casual Dining,10am to 11pm(Mon-Sun),Average,3.2,15
Lajawab Restaurant,200,"South Indian,Fast Food",Jhansi,Cantt,Quick Bites,10am to 10pm(Mon-Sun),Average,3.3,42
Shiv Fast Food,150,"Fast Food,Chinese,North Indian,South Indian,Italian,Beverages,Ice Cream",Jhansi,Nagra,Quick Bites,10am to 10pm(Mon-Sun),Average,3.4,29
