Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
New Raja Chicken Corner,500,"Mughlai,North Indian",Jodhpur,Station Road,Quick Bites,1130am to 11pm(Mon-Sun),Very Good,4.2,505
Naveen Juice And Ice Cream Parlour,400,"Beverages,Fast Food",Jodhpur,Shastri Nagar,Beverage Shop,9am to 11pm(Mon-Sun),Very Good,4.0,316
Gurunanak Lassi Bhandar,100,Beverages,Jodhpur,Sardarpura,Beverage Shop,7am to 1130pm(Mon-Sun),Very Good,4.3,448
Gypsy Dining Hall,600,Rajasthani,Jodhpur,Sardarpura,Casual Dining,"12noon to 330pm,7pm to 11pm(Mon-Sun)",Excellent,4.5,301
Jantawala Sweets & Restaurant,400,"North Indian,Mithai",Jodhpur,Sardarpura,Casual Dining,7am to 1030pm(Mon-Sun),Very Good,4.0,250
Punjabi Chic Inn,400,"North Indian,Fast Food,Chinese",Jodhpur,Shastri Nagar,Quick Bites,6pm to 12midnight(Mon-Sun),Excellent,4.6,386
Cafe 651,900,"Cafe,Continental,Coffee,Beverages,Desserts",Jodhpur,Sardarpura,Café,11am to 11pm(Mon-Sun),Excellent,4.9,313
Mosaic Eatery,800,"Cafe,Continental,Italian,Chinese,Thai",Jodhpur,Basni,Café,11am to 11pm(Mon-Sun),Very Good,4.2,280
Gypsy,400,"Fast Food,North Indian,South Indian",Jodhpur,Sardarpura,Quick Bites,10am to 11pm(Mon-Sun),Very Good,4.4,373
Laxmi Cold Drinks,350,"Beverages,Fast Food,Sandwich,Pizza,South Indian",Jodhpur,Shastri Nagar,Café,10am to 11pm(Mon-Sun),Very Good,4.0,196
Aunty's Pizza,200,"Fast Food,Burger,Sandwich,Beverages,Pizza",Jodhpur,Shastri Nagar,Quick Bites,11am to 1130pm(Mon-Sun),Very Good,4.1,230
Bawarchi Fast Food,150,"Fast Food,North Indian,South Indian",Jodhpur,Sardarpura,Quick Bites,10am to 1030pm(Mon-Sun),Very Good,4.1,261
The Filos Cafe & Restaurant,500,"Cafe,Continental",Jodhpur,Air Force Area,Café,8am to 11pm(Mon-Sun),Very Good,4.3,178
Domino's Pizza,500,"Pizza,Fast Food",Jodhpur,Rawaton ka bass,Quick Bites,11am to 11pm(Mon-Sun),Good,3.6,386
The Daily Grinds,700,"Cafe,Continental,North Indian,Chinese,Mexican",Jodhpur,Cantt Area,Café,12noon to 12midnight(Mon-Sun),Excellent,4.5,227
The 29 Bakers,200,Bakery,Jodhpur,Cantt Area,Bakery,9am to 11pm(Mon-Sun),Average,3.4,50
The Breeze,600,"North Indian,South Indian,Continental,Mughlai",Jodhpur,Ratanada,Casual Dining,(Mon-Sun),Average,3.3,8
Sip N Slurp,300,"South Indian,Italian,Fast Food,Desserts",Jodhpur,Paota,Quick Bites,10am to 10pm(Mon-Sun),Average,3.2,13
Keventers,400,"Desserts,Beverages,Ice Cream",Jodhpur,Sardarpura,Beverage Shop,10am to 12midnight(Mon-Sun),Good,3.8,39
Maa Bhawani Dal Bati Churma,100,North Indian,Jodhpur,1st Pulia,Quick Bites,11am to 10pm(Mon-Sun),Average,3.0,5
Chai Ki Chuski,350,Cafe,Jodhpur,Ratanada,Café,10am to 11pm(Mon-Sun),Good,3.5,64
Navdurga Sweet Corner,500,"Mithai,Street Food",Jodhpur,Chopasni Housing Board,Sweet Shop,10am to 10pm(Mon-Sun),Average,3.2,8
The Kitchen,400,"North Indian,Fast Food",Jodhpur,Sardarpura,none,12noon to 11pm(Mon-Sun),Good,3.8,44
Bhagwati Fast Food Cafe,200,"Fast Food,Chinese,Sandwich",Jodhpur,Paota,Quick Bites,10am to 10pm(Mon-Sun),Average,3.2,6
Rasraj Sweet Corner,200,"Mithai,Bakery",Jodhpur,Pal Gaon,Sweet Shop,7am to 10pm(Mon-Sun),Average,3.1,4
Pooja Sweets,250,"Desserts,Mithai,Bakery",Jodhpur,Air Force Area,Bakery,11am to 10pm(Mon-Sun),Average,3.1,8
Alpahar,100,Fast Food,Jodhpur,Sardarpura,none,11am to 9pm(Mon-Sun),Average,3.1,5
Jeeman,400,North Indian,Jodhpur,Ratanada,Casual Dining,10am to 10pm(Mon-Sun),Average,2.8,6
Goli,150,Street Food,Jodhpur,Sardarpura,Quick Bites,11am to 10pm(Mon-Sun),Average,3.3,9
Fresh N Green,300,"Desserts,Bakery",Jodhpur,Sardarpura,Bakery,9am to 10pm(Mon-Sun),Average,3.0,4
