Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Zyka Restaurant,300,"North Indian,Biryani,Desserts,Fast Food,Pizza",Kanpur,Parade,Quick Bites,1pm to 11pm(Mon-Sun),Very Good,4.1,598
Hot Pizza Ace,400,"Pizza,Fast Food",Kanpur,Barra,Quick Bites,10am to 1130pm(Mon-Sun),Very Good,4.0,473
Domino's Pizza,700,"Pizza,Fast Food",Kanpur,Kidwai Nagar Market,Quick Bites,11am to 12midnight(Mon-Sun),Good,3.5,1002
Mocha,1000,Cafe,Kanpur,Mall Road,Café,12noon to 12midnight(Mon-Sun),Excellent,4.8,852
Facebook Point,400,"Burger,Chinese,North Indian,Rolls",Kanpur,Nandlal Chawraha,Quick Bites,11am to 1130pm(Mon-Sun),Very Good,4.0,386
Mi Casa,500,"Continental,Italian,Fast Food,Burger,American,Chinese",Kanpur,Ashok Nagar,Casual Dining,12noon to 12midnight(Mon-Sun),Very Good,4.4,141
Sagar Ratna,500,"South Indian,North Indian,Chinese",Kanpur,Lajpat Nagar,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.3,447
Silver Spoons,700,"Bakery,Fast Food,Chinese,Continental,Italian,Momos,Pizza",Kanpur,Kakadeo,Bakery,910am to 1145pm(Mon-Sun),Very Good,4.2,424
Pandit's,450,"North Indian,Mithai",Kanpur,Shastri Nagar,Quick Bites,9am to 11pm(Mon-Sun),Very Good,4.2,323
Bazooka,500,"Cafe,North Indian,Chinese",Kanpur,Swaroop Nagar,Café,230pm to 1130pm(Mon-Sun),Good,3.9,875
Spicy Foods,350,"North Indian,Fast Food",Kanpur,Kidwai Nagar Market,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.0,445
Baba Food Court,450,"Mughlai,Hyderabadi",Kanpur,Jajmau,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.1,354
KFC,400,"Burger,Fast Food",Kanpur,Z Square Mall-- Mall Road,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.1,614
Mithas,400,"Mithai,Desserts,Fast Food,Street Food",Kanpur,Kidwai Nagar,Sweet Shop,8am to 11pm(Mon-Sun),Very Good,4.2,339
