Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Ifthar,350,Kerala,Kochi,Edappally,Casual Dining,8am to 2am(Mon-Sun),Very Good,4.1,771
Ali Baba & 41 Dishes,500,"Kerala,South Indian,Chinese,Biryani",Kochi,Panampilly Nagar,Casual Dining,12noon to 1130pm(Mon-Sun),Good,3.8,560
Dhe Puttu,600,Kerala,Kochi,Edappally,Casual Dining,12noon to 1130pm(Mon-Sun),Very Good,4.3,1161
Cafe d' arabia,500,"Arabian,Lebanese",Kochi,Edappally,Casual Dining,10am to 12midnight(Mon-Sun),Very Good,4.1,542
Real Arabia,300,"Arabian,Chinese,North Indian",Kochi,Ravipuram,Quick Bites,1230pm to 12midnight(Mon-Sun),Very Good,4.0,382
Thaal Kitchen,300,"Kerala,Arabian",Kochi,Kakkanad,Casual Dining,"12midnight to 1am,8am to 12midnight(Mon-Sun)",Good,3.7,640
Hotel Paradise - Karukappilly,400,"Biryani,Mughlai",Kochi,Kaloor,Casual Dining,6am to 12midnight(Mon-Sun),Very Good,4.1,275
Tonico Cafe,400,Cafe,Kochi,Kakkanad,Café,11am to 2am(Mon-Sun),Very Good,4.3,935
Haji Ebrahim Restaurant,300,"Desserts,Arabian",Kochi,Edappally,Casual Dining,10am to 3am(Mon-Sun),Very Good,4.3,277
Chiyang,450,"Chinese,Continental",Kochi,Kacheripady,Casual Dining,11am to 1130pm(Mon-Sun),Very Good,4.0,622
Aangan - Downtown Multicuisine Restaurant,650,"Seafood,Biryani,South Indian,North Indian,Chinese,Kerala",Kochi,Palarivattom,Casual Dining,12noon to 12midnight(Mon-Sun),Good,3.9,471
The Burger Junction,950,"Cafe,Fast Food,Burger",Kochi,Panampilly Nagar,Café,12noon to 12midnight(Mon-Sun),Excellent,4.5,715
ChaiCofi,750,"Continental,Burger,Cafe,Italian,Pizza,Steak",Kochi,Kaloor,Café,"12midnight to 1230AM,8am to 12midnight(Mon-Sun)",Very Good,4.3,523
Zaatar Arabic Restaurant,300,"Arabian,North Indian,Chinese",Kochi,Palarivattom,Quick Bites,12noon to 12midnight(Mon-Sun),Very Good,4.2,306
Mash Resto Cafe,600,"Continental,Chinese,Burger,Sandwich,Italian,Steak",Kochi,Panampilly Nagar,Casual Dining,11am to 3am(Mon-Sun),Good,3.8,444
Lil' America,1000,"Burger,American,Beverages,Fast Food,Desserts,Italian,Salad,Steak",Kochi,Kakkanad,Casual Dining,12noon to 12midnight(Mon-Sun),Average,3.0,112
Upstairs,1200,"Italian,European",Kochi,Fort Kochi,Casual Dining,10am to 1030pm(Mon-Sun),Good,3.8,134
Star Malabar,300,Kerala,Kochi,Edappally,Quick Bites,8am to 10pm(Mon-Sun),Good,3.9,102
Sarovaram,500,"Kerala,South Indian,North Indian",Kochi,BTH Sarovaram-- Marad,Quick Bites,"12noon to 3pm,7pm to 11pm(Mon-Sun)",Very Good,4.1,198
Cochin Majlis,400,"Arabian,North Indian,Kerala,Chinese",Kochi,Edappally,Casual Dining,11am to 10pm(Mon-Sun),Good,3.5,192
Cane Home,250,Juices,Kochi,Palarivattom,Beverage Shop,10am to 2am(Mon-Sun),Very Good,4.3,122
Nandanam Pure Vegetarian Restaurant,250,"Biryani,Beverages,South Indian,Chinese",Kochi,Kakkanad,Casual Dining,7am to 1030pm(Mon-Sun),Good,3.7,160
Vaishnavi 39 Variety Dosa,1000,South Indian,Kochi,Kakkanad,Quick Bites,11am to 11pm(Mon-Sun),Average,3.3,129
Hotel Al-Ameen,200,Kerala,Kochi,Kakkanad,Casual Dining,10am to 10pm(Mon-Sun),Good,3.7,206
Rappai's Restaurant,250,"Kerala,Chinese",Kochi,Palarivattom,Casual Dining,5am to 11pm(Mon-Sun),Good,3.7,195
Mel-b's,300,"Fast Food,Burger,Beverages",Kochi,Vyttila,Quick Bites,11am to 12midnight(Mon-Sun),Very Good,4.0,155
Ambiswamy's,400,South Indian,Kochi,Elamkulam,Casual Dining,8am to 1030pm(Mon-Sun),Very Good,4.0,163
Frozen Bottle,400,"Beverages,Desserts,Ice Cream",Kochi,Ravipuram,Beverage Shop,11am to 11pm(Mon-Sun),Very Good,4.0,77
Grill N Chill - Marine Drive,300,"Arabian,Fast Food",Kochi,Marine Drive,Quick Bites,10am to 11pm(Mon-Sun),Very Good,4.0,51
Cafe Stories,500,Cafe,Kochi,Kalamassery,Café,11am to 11pm(Mon-Sun),Good,3.9,90
Farm Kitchen,400,"Kerala,Chinese,North Indian,South Indian",Kochi,Kakkanad,Casual Dining,8am to 10pm(Mon-Sun),Average,3.4,212
Momoz Corner,350,"Continental,Chinese,Momos",Kochi,Elamkulam,Quick Bites,1pm to 1030pm(Mon-Sun),Good,3.8,192
New Dragon - The Chinese Restaurant,600,"Chinese,Thai",Kochi,Elamkulam,Casual Dining,"11am to 4pm,7pm to 11pm(Mon-Sun)",Good,3.9,126
Mubaraq Cafeteria,300,"Kerala,South Indian,North Indian",Kochi,Kaloor,Quick Bites,8am to 11pm(Mon-Sun),Very Good,4.1,175
Bab Arabia,500,"Arabian,Middle Eastern",Kochi,Panampilly Nagar,Casual Dining,10am to 10pm(Mon-Sun),Good,3.9,63
Hungry Birds Restaurant,200,"Fast Food,Salad,Desserts",Kochi,Kalamassery,Quick Bites,8am to 11pm(Mon-Sun),Average,3.4,154
Talented Kadai,200,North Indian,Kochi,Kakkanad,Quick Bites,"10am to 4pm,71pm to 10pm(Mon-Tue),10am to 4pm...",Good,3.7,85
Al Burj Family Restaurant,500,"Arabian,North Indian,Chinese",Kochi,Kakkanad,Casual Dining,12noon to 11pm(Mon-Sun),Average,3.2,150
The Springs - The Avenue Regent,1200,"Continental,Seafood,Juices,South Indian,Desserts,North Indian,Kerala",Kochi,The Avenue Regent-- MG Road,Casual Dining,"7am to 10am,12noon to 3pm,730pm to 11pm(Mon-Sun)",Very Good,4.1,129
Gokul Oottupura,400,"Chinese,North Indian",Kochi,Kadavanthra,Casual Dining,7am to 10pm(Mon-Sun),Good,3.9,145
Nadiya Bake and More,300,"Bakery,Fast Food,Juices,Desserts",Kochi,Palarivattom,Bakery,10am to 10pm(Mon-Sun),Good,3.5,160
Momo Streat,350,"South Indian,Tibetan,Momos",Kochi,Kalamassery,Quick Bites,NA,Very Good,4.0,133
Pandari's Biriyani,500,Biryani,Kochi,Kakkanad,Quick Bites,"1130am to 330pm,630pm to 1030pm(Mon-Sun)",Good,3.9,167
Baycholin Restaurant,200,"Biryani,South Indian,Arabian",Kochi,Kakkanad,Casual Dining,11am to 10pm(Mon-Sun),Average,3.0,196
Cake Hut,150,"Bakery,Desserts",Kochi,Kaloor,Bakery,11am to 10pm(Mon-Sun),Very Good,4.2,138
Hotel Anugraha,400,South Indian,Kochi,Vyttila,Casual Dining,730am to 1030pm(Mon-Sun),Good,3.8,145
Mubaraq Restaurant,300,North Indian,Kochi,Kaloor,Casual Dining,8am to 1115pm(Mon-Sun),Very Good,4.0,168
Burger Nest,450,"Fast Food,Beverages,Burger,Sandwich",Kochi,Edappally,Quick Bites,11am to 11pm(Mon-Sun),Good,3.8,114
Malabar Food Court,300,"South Indian,Chinese,Arabian,Kerala",Kochi,Edappally,Quick Bites,8am to 12midnight(Mon-Sun),Good,3.6,75
Frys Restaurant,400,Kerala,Kochi,Ravipuram,Casual Dining,"12noon to 330pm,7pm to 10pm(Mon-Sun)",Very Good,4.0,145
Kismath Restaurant,400,"Biryani,Chinese",Kochi,Kalamassery,Casual Dining,10am to 11pm(Mon-Sun),Good,3.7,162
Chicking,500,Fast Food,Kochi,Aluva,Quick Bites,11am to 9pm(Mon-Sun),Good,3.7,151
The Oven,250,"Bakery,Desserts,Fast Food",Kochi,Marine Drive,Quick Bites,10am to 830pm(Mon-Sun),Very Good,4.1,146
Dwaraka Hotel,250,South Indian,Kochi,Pallimukku,Quick Bites,"730am to 959pm(Mon),7am to 959pm(Tue-Sun)",Very Good,4.0,123
Jeff Biriyani,300,Biryani,Kochi,Thopumpady,Quick Bites,12noon to 3pm(Mon-Sun),Very Good,4.4,99
Pizza Italia,1000,"Cafe,Italian",Kochi,Fort Kochi,Café,9am to 1030pm(Mon-Sun),Very Good,4.1,99
Hidden Fork,500,Continental,Kochi,Kalamassery,Quick Bites,12noon to 11pm(Mon-Sun),Good,3.6,103
Barbeque Nights,450,"North Indian,Chinese",Kochi,Kakkanad,Casual Dining,"12midnight to 2am,5pm to 12midnight(Mon-Sun)",Average,3.3,135
Kebabistan,500,North Indian,Kochi,Ravipuram,Casual Dining,"12noon to 3pm,6pm to 11pm(Mon-Sun)",Good,3.9,143
Chaat Street,150,Street Food,Kochi,Palarivattom,Quick Bites,"1230pm to 1030pm(Mon-Fri),1230pm to 1130pm...",Good,3.7,95
Subway,500,"Healthy Food,Salad,Sandwich",Kochi,Panampilly Nagar,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.0,135
Chedathees Kitchen,600,Seafood,Kochi,Palarivattom,Quick Bites,8am to 12midnight(Mon-Sun),Average,2.8,178
Dasanum Vijayanum,350,South Indian,Kochi,Kalamassery,Quick Bites,8am to 11pm(Mon-Sun),Good,3.6,122
Bread World,600,"Fast Food,North Indian,Chinese,Bakery",Kochi,Kakkanad,Casual Dining,9am to 10pm(Mon-Sun),Good,3.6,112
Mamma Restaurant,450,"Kerala,Chinese",Kochi,Tripunithura,Quick Bites,7am to 1030pm(Mon-Sun),Good,3.6,129
Sky Grill Lounge Bar & Restaurant By Crowne Plaza Kochi,1600,"Finger Food,Salad,Drinks Only,Steak",Kochi,Crowne Plaza Kochi-- Marad,Bar,6pm to 11pm(Mon-Sun),Very Good,4.0,76
Eat 'N' Park,250,"Kerala,Chinese",Kochi,Kaloor,Quick Bites,"9am to 11pm(Mon-Sat),Closed(Sun)",Good,3.9,114
Volga Restaurant,400,"Kerala,Chinese,North Indian",Kochi,Volga Tourist Home,Casual Dining,12noon to 11pm(Mon-Sun),Good,3.8,146
Adaminte Chayakkada,500,"South Indian,Kerala,North Indian,Chinese",Kochi,Aluva,Casual Dining,7am to 11pm(Mon-Sun),Average,2.9,105
Alikkas Hotel,300,"South Indian,Kerala",Kochi,Kalamassery,Casual Dining,6am to 11pm(Mon-Sun),Average,3.1,122
Sulaimani Bakers and Food Court,250,"Bakery,South Indian",Kochi,Kakkanad,Quick Bites,9am to 1030pm(Mon-Sun),Good,3.8,53
Golden Fork Restaurant,750,"Fast Food,South Indian,North Indian,Chinese",Kochi,Tripunithura,Casual Dining,11am to 11pm(Mon-Sun),Average,3.3,145
Taco Bell,550,"Mexican,Fast Food",Kochi,LuLu Mall-- Edappally,Quick Bites,11am to 11pm(Mon-Sun),Good,3.8,66
Hotel Arya,300,"South Indian,Chinese",Kochi,Kakkanad,Casual Dining,7am to 10pm(Mon-Sun),Good,3.7,67
Ojeen,450,"Kerala,Chinese,North Indian",Kochi,Marine Drive,Casual Dining,9am to 930pm(Mon-Sun),Good,3.9,90
Biriyani Hut,400,"North Indian,Biryani",Kochi,Kakkanad,Casual Dining,12noon to 11pm(Mon-Sun),Average,2.6,122
Curry Tree Diner,500,"North Indian,South Indian,Chinese",Kochi,Kadavanthra,Casual Dining,10am to 11pm(Mon-Sun),Good,3.8,65
Rochas Cafe & Bistro,500,Cafe,Kochi,Kakkanad,Café,11am to 1030pm(Mon-Sun),Average,2.9,78
Nila,500,"Kerala,South Indian,North Indian,Chinese",Kochi,Edappally,Casual Dining,11am to 11pm(Mon-Sun),Average,2.8,138
The Big Falooda,200,"Beverages,Desserts",Kochi,Kacheripady,Dessert Parlor,11am to 12midnight(Mon-Sun),Very Good,4.0,107
Canopy,400,Fast Food,Kochi,Abad Plaza-- Kacheripady,Quick Bites,24,Good,3.9,105
