Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Dehaati,800,Maharashtrian,Kolhapur,Shahupuri,Casual Dining,"1230pm to 330pm,730pm to 1030pm(Mon-Sun)",Excellent,4.8,37
Chittu's Rasoi,200,"North Indian,Maharashtrian",Kolhapur,Tarabhai Park,Casual Dining,"12noon to 4pm,7pm to 11pm(Mon-Sun)",Good,3.8,22
McDonald's,500,"Burger,Fast Food",Kolhapur,Shahupuri,Quick Bites,8am to 1am(Mon-Sun),Very Good,4.0,32
UFO Fries & Corn,300,"Burger,Fast Food,Beverages",Kolhapur,Rajarampuri,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.1,20
Kababiya Restaurant,800,"Mughlai,Kebab",Kolhapur,Rajarampuri,Casual Dining,"12noon to 3pm,7pm to 11pm(Mon-Sun)",Good,3.8,17
Shamsuman Pure Veg Restaurant,600,North Indian,Kolhapur,Kasaba Bawada,Casual Dining,"11am to 4pm,7pm to 11pm(Mon-Sun)",Good,3.6,15
Tanatan,1000,Indian,Kolhapur,Shahupuri,Casual Dining,"1230pm to 330pm,730pm to 1130pm(Mon-Sun)",Excellent,4.5,20
Hotel See Tara,700,"North Indian,Mughlai,Chinese",Kolhapur,Rajarampuri,Casual Dining,"11am to 3pm,7pm to 11pm(Mon-Sun)",Good,3.7,18
Niyaaz Restaurant,400,Biryani,Kolhapur,Rajarampuri,Casual Dining,11am to 11pm(Mon-Sun),Good,3.8,7
Pappe Da Tashan,800,North Indian,Kolhapur,Tarabhai Park,Casual Dining,"11am to 330pm,7pm to 1115pm(Mon-Sun)",Very Good,4.2,33
Hotel Alisha,800,"North Indian,Mughlai",Kolhapur,Tarabhai Park,Casual Dining,1230pm to 1030am(Mon-Sun),Very Good,4.0,36
Natural Ice Cream,150,Ice Cream,Kolhapur,Rajarampuri,Dessert Parlor,11am to 12midnight(Mon-Sun),Very Good,4.1,7
Subway,300,"Sandwich,Healthy Food,Salad",Kolhapur,Ruikar Colony,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.3,12
Tandoor,1000,"North Indian,BBQ",Kolhapur,Shahupuri,Casual Dining,"1130am to 3pm,7pm to 11pm(Mon-Sun)",Good,3.7,18
Masala Pot,500,North Indian,Kolhapur,Tarabhai Park,Casual Dining,"11am to 3pm,7pm to 1045pm(Mon-Sun)",Average,3.2,4
The London Shakes,300,"Italian,Sandwich,Beverages",Kolhapur,Rajarampuri,Quick Bites,12noon to 1130pm(Mon-Sun),Good,3.7,8
Food Mood Sandwiches,300,Fast Food,Kolhapur,Shahupuri,Quick Bites,5pm to 11pm(Mon-Sun),Good,3.8,4
Dum - Rice N More,400,"Maharashtrian,North Indian",Kolhapur,Shahupuri,none,"12noon to 330pm,7pm to 11pm(Mon-Sun)",Good,3.5,9
Padma Guest House,500,Maharashtrian,Kolhapur,Shahupuri,Quick Bites,"1130am to 430pm,7pm to 1145pm(Mon-Sun)",Average,3.2,4
Sarthi Pure Veg.,800,"North Indian,Maharashtrian",Kolhapur,Mangalwar Peth,Casual Dining,11am to 1130pm(Mon-Sun),Average,2.8,9
Pappe Da Tashan,400,,Kolhapur,Kasaba Bawada,Casual Dining,"11am to 330pm,7pm to 11pm(Mon-Sun)",Average,3.4,5
Zorba Restaurant,400,"North Indian,South Indian",Kolhapur,Shahupuri,Casual Dining,"11am to 3pm,7pm to 11pm(Mon-Sun)",Good,3.6,10
The Yellow Chilli,700,"Chinese,North Indian",Kolhapur,Tarabhai Park,Casual Dining,"12noon to 3pm,7pm to 11pm(Mon-Sun)",Average,3.2,6
Barbeque Nation,1000,"North Indian,Kebab,BBQ,Chinese",Kolhapur,Shahupuri,Casual Dining,"7pm to 11pm(Mon-Fri),1230pm to 330pm,7pm to ...",Good,3.7,10
MFC - Mr. Fried Chicken,300,"Fast Food,American,Burger",Kolhapur,Shahupuri,Quick Bites,11am to 11pm(Mon-Sun),Average,3.0,6
Chinu's Chinese Restaurant,700,Chinese,Kolhapur,Tarabhai Park,Casual Dining,11am to 1130pm(Mon-Sun),Average,3.1,5
Food Plaza,200,"Burger,Cafe,Chinese,Coffee,Continental,Fast Food",Kolhapur,Kasaba Bawada,Café,7am to 11pm(Mon-Sun),Average,3.4,6
Hotel Zaika,600,"North Indian,Maharashtrian",Kolhapur,Shivaji Udyam Nagar,Casual Dining,"11am to 3pm,7pm to 11pm(Mon-Sun)",Average,2.9,6
Audumbar Pure Veg,500,North Indian,Kolhapur,Mangalwar Peth,Quick Bites,11am to 11pm(Mon-Sun),Average,3.0,4
Hotel Saiba,600,"North Indian,Chinese",Kolhapur,Tarabhai Park,Casual Dining,"11am to 3pm,7pm to 11pm(Mon-Sun)",Average,2.9,5
Hotel Shetkari,700,North Indian,Kolhapur,Phulewadi,Casual Dining,"11am to 3pm,7pm to 11pm(Mon-Sun)",Average,3.1,5
Tic Tac kababs,700,"North Indian,Chinese",Kolhapur,Tarabhai Park,Casual Dining,"12noon to 3pm,7pm to 11pm(Mon-Sun)",Average,3.2,4
