Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Jai Hind Dhaba,450,"North Indian,Chinese,Rolls",Kolkata,Paddapukur,Dhaba,12noon to 2am(Mon-Sun),Very Good,4.1,2420
The Irish House,1900,"Fast Food,Italian",Kolkata,Quest Mall-- Ballygunge,Pub,"12noon to 1130pm(Mon,Tue,Wed,Thu,Sun),12noon...",Very Good,4.4,3522
10 Downing Street,1600,"Continental,North Indian,Chinese",Kolkata,Sector 5-- Salt Lake,Pub,"12noon to 1145pm(Mon,Tue,Wed,Thu,Sun),12noon...",Very Good,4.3,2337
Rang De Basanti Dhaba,800,North Indian,Kolkata,Sector 5-- Salt Lake,Casual Dining,12noon to 2am(Mon-Sun),Very Good,4.0,2801
Monkey Bar,1500,"American,North Indian,South Indian,Pizza,Burger,Salad",Kolkata,Camac Street Area,Bar,"12noon to 12midnight(Mon,Tue,Wed,Thu,Sun)...",Very Good,4.2,1725
Burger in Law,500,"Burger,Fast Food",Kolkata,Sector 1-- Salt Lake,Quick Bites,12noon to 1am(Mon-Sun),Excellent,4.7,459
Burgrill,500,"Burger,Wraps,Beverages,Healthy Food,Cafe",Kolkata,Park Street Area,Café,11am to 2am(Mon-Sun),Very Good,4.4,409
My Big Fat Belly,1200,"American,Italian,Salad",Kolkata,Bhawanipur,Quick Bites,"1230pm to 2am(Mon-Thu),1230pm to 3am(Fri-Sun)",Excelente,4.6,2432
Noir,1000,"Cafe,North Indian,Chinese",Kolkata,Golden Tulip-- Sector 1-- Salt Lake,Café,1pm to 1am(Mon-Sun),Very Good,4.1,1312
Saiqa Restaurant,200,"Biryani,Mughlai",Kolkata,Park Street Area,Quick Bites,7am to 2am(Mon-Sun),Good,3.7,171
Mintelaa,800,Cafe,Kolkata,Minto Park,Café,12noon to 4am(Mon-Sun),Good,3.9,376
Arsalan,700,"Mughlai,North Indian,Biryani,Rolls",Kolkata,Park Circus Area,Casual Dining,1030am to 1245AM(Mon-Sun),Very Good,4.0,4533
Hondo's,700,"American,Burger,Continental",Kolkata,Prince Anwar Shah Road,Casual Dining,24,Very Good,4.3,1710
Baccara,800,"Chinese,Continental,Thai,Asian,Italian",Kolkata,Bhawanipur,Café,12noon to 2am(Mon-Sun),Very Good,4.2,1206
Mezban,800,"Biryani,North Indian,Chinese,Mughlai,Rolls,Kebab",Kolkata,Wellesley,Casual Dining,10am to 1259AM(Mon-Sun),Good,3.8,2017
Albela Biryani,250,"Biryani,North Indian,Rolls",Kolkata,Topsia,Quick Bites,"121AM to 1259AM,8am to 12midnight(Mon-Sun)",Good,3.5,66
Xis O Krim,300,"Ice Cream,Desserts",Kolkata,Prince Anwar Shah Road,Dessert Parlor,1pm to 4am(Mon-Sun),Very Good,4.1,404
Orko'ss Restaurant,1600,"North Indian,Continental,Bengali,Chinese",Kolkata,Regenta Orko'ss Hotel,Casual Dining,24,Very Good,4.0,376
Sethi Hotel,250,"North Indian,Chinese,Fast Food",Kolkata,Kalighat,Quick Bites,7am to 1am(Mon-Sun),Average,3.4,79
Shivam Dhaba,400,"North Indian,Chinese,Street Food",Kolkata,Sector 1-- Salt Lake,Dhaba,1230pm to 2am(Mon-Sun),Average,3.4,144
Delhi Darbar,700,"Biryani,North Indian,Mughlai",Kolkata,Topsia,Casual Dining,12noon to 1am(Mon-Sun),Very Good,4.2,148
Chef Alladin,400,"Biryani,North Indian,Chinese",Kolkata,Garia,Quick Bites,12noon to 4am(Mon-Sun),Very Good,4.0,910
6 Ballygunge Place,700,"Bengali,Bangladeshi,Seafood",Kolkata,Ballygunge,Casual Dining,"1230pm to 330pm,7pm to 1030pm(Mon-Sun)",Very Good,4.4,3370
Gigaai,600,"North Indian,South Indian",Kolkata,Dum Dum,none,"6am to 6am(Mon-Tue),830am to 5am(Wed-Sun)",Average,3.2,10
Burger Bites,200,"Burger,American,Fast Food",Kolkata,Park Street Area,Quick Bites,6pm to 4am(Mon-Sun),Average,3.1,9
