Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Amar Punjabi Foods,250,North Indian,Kota,Talwandi,Casual Dining,11am to 1030pm(Mon-Sun),Excellent,4.8,2051
Anand Shekhawati Dhaba,150,North Indian,Kota,Talwandi,Quick Bites,11am to 1030pm(Mon-Sun),Excellent,4.5,461
Gouri Hotel,500,"North Indian,Mughlai",Kota,Ladpura,Casual Dining,11am to 11pm(Mon-Sun),Excellent,4.6,652
Firdous,350,"Biryani,Chinese,North Indian,Mughlai",Kota,Rangbari,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.1,463
Pathak Restaurant,350,Fast Food,Kota,Dadabari,Quick Bites,"11am to 1030pm(Mon),11am to 11pm(Tue-Sun)",Very Good,4.4,421
Gau Dairy & More,200,Mithai,Kota,Talwandi,Sweet Shop,11am to 11pm(Mon-Sun),Very Good,4.3,263
Street 69,300,"North Indian,Rolls",Kota,Rangbari,Quick Bites,12noon to 11pm(Mon-Sun),Very Good,4.2,548
Firdous Since 1979,500,"Mughlai,North Indian",Kota,Dhanmandi,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.1,233
Firdous Since 1979 Aerodrome Circle,500,North Indian,Kota,Dhanmandi,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.4,541
The Urban Cafe Bistro,450,"Chinese,Continental,Indian,Italian,Mexican",Kota,Talwandi,Café,11am to 11pm(Mon-Sun),Very Good,4.4,208
Treat Fast Food Restaurant,250,Fast Food,Kota,Talwandi,Quick Bites,12noon to 11pm(Mon-Sun),Very Good,4.2,259
Pizza Hut,450,"Fast Food,Pizza",Kota,RPS Colony,Casual Dining,11am to 11pm(Mon-Sun),Good,3.9,161
Big Bite,400,North Indian,Kota,Kota Industrial Area,Casual Dining,"11am to 3am(Mon,Tue,Wed,Thu,Sat,Sun),11am...",Very Good,4.0,333
Domino's Pizza,500,Pizza,Kota,Indraprastha Industrial Area,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.0,511
Biryani 100,250,"North Indian,Biryani",Kota,Rangbari,Quick Bites,"12midnight to 122AM,842am to 12midnight...",Very Good,4.2,306
Shree Krishna Bakers,200,"Bakery,Juices",Kota,Talwandi,Bakery,11am to 10pm(Mon-Sun),Good,3.5,20
Chicken City,250,North Indian,Kota,Civil Lines,Quick Bites,4pm to 11pm(Mon-Sun),Good,3.7,61
Namaste India Fast food,250,Fast Food,Kota,Talwandi,Kiosk,11am to 10pm(Mon-Sun),Average,3.3,19
Shreenath Pav Bhaji & Fast Food,150,Fast Food,Kota,Rangbari,Quick Bites,11am to 10pm(Mon-Sun),Good,3.6,16
Jai Jinendra Cafe,200,Fast Food,Kota,Chawani,Quick Bites,11am to 10pm(Mon-Sun),Average,3.4,12
Moti Mahal Deluxe,500,"North Indian,Chinese,Mughlai,Modern Indian",Kota,Dadabari,Casual Dining,11am to 11pm(Mon-Sun),Good,3.7,66
Cakey 'N' Bakey,200,Bakery,Kota,Rangbari,Bakery,12noon to 10pm(Mon-Sun),Average,3.4,16
Jain Foods,100,Fast Food,Kota,Chawani,Quick Bites,"8am to 7pm(Mon-Sat),8am to 3pm(Sun)",Average,3.1,5
Mumbai Street Food,100,Street Food,Kota,Talwandi,Kiosk,11am to 10pm(Mon-Sun),Good,3.5,14
Baba Kripa Dhaba,200,"North Indian,Fast Food",Kota,Talwandi,Quick Bites,11am to 10pm(Mon-Sun),Average,3.4,15
Brunchiz,200,Cafe,Kota,Ladpura,Café,NA,Average,3.3,14
New Spoon,100,Street Food,Kota,Rangbari,Quick Bites,4pm to 10pm(Mon-Sun),Average,3.4,15
Gautam Sweets & Namkeens,300,"Mithai,Fast Food",Kota,Talwandi,Sweet Shop,7am to 930pm(Mon-Sun),Average,3.1,16
Shri Ram Namkeen & Sweets,50,"Fast Food,Mithai",Kota,Civil Lines,Quick Bites,10am to 9pm(Mon-Sun),Average,3.3,10
Bean Der,200,Cafe,Kota,Ladpura,Café,11am to 11pm(Mon-Sun),Good,3.6,47
Shambhu Mishtan Bhandar,100,Desserts,Kota,Talwandi,Sweet Shop,11am to 9pm(Mon-Sun),Average,3.3,10
Paakiza Biryani,100,Mughlai,Kota,Talwandi,Kiosk,11am to 10pm(Mon-Sun),Average,3.2,6
Celebration's,300,Fast Food,Kota,Rangbari,Quick Bites,11am to 10pm(Mon-Sun),Average,3.2,14
Agrawal Misthan Bhandar,200,Desserts,Kota,Ladpura,Dessert Parlor,11am to 10pm(Mon-Sun),Average,3.1,5
Punjabi Mathri,250,Mithai,Kota,Talwandi,Quick Bites,10am to 10pm(Mon-Sun),Average,3.3,10
Agarwal Patha Bhandar,200,Desserts,Kota,Dadabari,Quick Bites,11am to 10pm(Mon-Sun),Average,3.2,7
Patna Mess,150,Indian,Kota,Rangbari,Mess,11am to 10pm(Mon-Sun),Average,3.0,4
Daily Needs Fast Food,300,Fast Food,Kota,Talwandi,Quick Bites,11am to 10pm(Mon-Sun),Average,3.2,8
Grab-N-Eat,150,"North Indian,Chinese",Kota,Rangbari,Quick Bites,12noon to 10pm(Mon-Sun),Average,3.1,6
Fun Food,200,Fast Food,Kota,Indraprastha Industrial Area,Quick Bites,12noon to 10pm(Mon-Sun),Average,3.2,12
