Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Mubeen's,300,Mughlai,Lucknow,Chowk,Quick Bites,730am to 12midnight(Mon-Sun),Very Good,4.4,1363
Mahalaxmi Sweets,550,"Mithai,North Indian,Chinese",Lucknow,Aliganj,Sweet Shop,"8am to 5pm,6pm to 1130pm(Mon-Sun)",Very Good,4.3,1068
Munick Bistro & Bar,1200,"Chinese,Continental,European,German,Indian",Lucknow,Gomti Nagar,Casual Dining,12noon to 1am(Mon-Sun),Excellent,4.5,833
Skyhilton,1500,"North Indian,Chinese,Continental",Lucknow,Alambagh,Casual Dining,12noon to 12midnight(Mon-Sun),Very Good,4.1,753
Mocha,1500,"Italian,Continental,Bakery",Lucknow,Anand Plaza-- Patkapuram-- Gomti Nagar,Casual Dining,12noon to 12midnight(Mon-Sun),Excellent,4.5,1778
La Pino'z Pizza,500,"Italian,Pizza",Lucknow,Hazratganj,Quick Bites,11am to 12midnight(Mon-Sun),Very Good,4.4,238
Tunday Kababi,300,"Mughlai,Lucknowi",Lucknow,Aliganj,Quick Bites,1130am to 1130pm(Mon-Sun),Very Good,4.2,833
Raheem's,300,Mughlai,Lucknow,Chowk,Quick Bites,730am to 12midnight(Mon-Sun),Excellent,4.5,1138
The Flying Saucer Cafe,1200,"Cafe,Italian,Continental,Chinese",Lucknow,Gomti Nagar,Café,11am to 1am(Mon-Sun),Very Good,4.3,843
Wahid Biryani,300,"Mughlai,Biryani",Lucknow,Aminabad,Quick Bites,11am to 1230AM(Mon-Sun),Good,3.6,852
Mughlai Huttz,400,Mughlai,Lucknow,Aliganj,Casual Dining,11am to 1140pm(Mon-Sun),Good,3.7,1160
Ananya Restaurant,350,"North Indian,Mughlai,Fast Food",Lucknow,Gomti Nagar,Quick Bites,"11am to 1130pm(Mon,Wed,Thu,Fri,Sat,Sun)...",Very Good,4.0,682
Domino's Pizza,500,"Pizza,Fast Food",Lucknow,Aliganj,Quick Bites,11am to 12midnight(Mon-Sun),Good,3.8,1064
Frozen Junction,500,"Desserts,Ice Cream",Lucknow,Gomti Nagar,Dessert Parlor,1030am to 12midnight(Mon-Sun),Excellent,4.7,767
Shree Rajbhog,600,"Rajasthani,Gujarati",Lucknow,Gomti Nagar,Casual Dining,"12noon to 4pm,7pm to 11pm(Mon-Sun)",Very Good,4.2,618
Pizza Plaza,200,Fast Food,Lucknow,Rajajipuram,Quick Bites,12noon to 11pm(Mon-Sun),Very Good,4.0,251
Aryan Family's Delight,300,"North Indian,Street Food,Fast Food",Lucknow,Hazratganj,Casual Dining,10am to 11pm(Mon-Sun),Good,3.8,626
Rattilals,200,"Fast Food,Mithai",Lucknow,Aliganj,Sweet Shop,9am to 11pm(Mon-Sun),Good,3.9,322
Narrows,1500,"North Indian,Continental,Chinese",Lucknow,Gomti Nagar,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.1,424
New Lucknow Kitchen,600,"North Indian,Mughlai,Chinese,South Indian",Lucknow,Aliganj,Quick Bites,11am to 1030pm(Mon-Sun),Good,3.7,336
Kareem Kababi,350,"Mughlai,North Indian",Lucknow,Aminabad,Quick Bites,"1245pm to 11pm(Mon,Tue,Wed,Sat,Sun),1244pm...",Very Good,4.2,328
Mast Bite,300,"Chinese,Fast Food,Burger,Pizza,North Indian",Lucknow,Charbagh,Quick Bites,11am to 10pm(Mon-Sun),Very Good,4.1,434
Aahaar,500,"North Indian,Chinese,Fast Food",Lucknow,Gomti Nagar,Quick Bites,11am to 11pm(Mon-Sun),Good,3.6,408
Packing Shacking,700,"Chinese,Fast Food,North Indian,BBQ",Lucknow,Gomti Nagar,Casual Dining,"11am to 11pm(Mon-Fri),11am to 1130pm(Sat-Sun)",Very Good,4.3,278
Afreen - Dine & Delivery,300,Mughlai,Lucknow,Indira Nagar,Quick Bites,1pm to 11pm(Mon-Sun),Very Good,4.1,270
Honey Buns,600,"Bakery,Cafe,Desserts",Lucknow,Gomti Nagar,Café,11am to 11pm(Mon-Sun),Good,3.8,52
The Great Indian Kitchen,600,"North Indian,Chinese,Continental",Lucknow,Gomti Nagar,Casual Dining,10am to 11pm(Mon-Sun),Good,3.8,339
Kukku Da Dhaba,900,"Mughlai,Chinese,North Indian",Lucknow,Gomti Nagar,Casual Dining,12noon to 11pm(Mon-Sun),Good,3.8,420
Grandson Of Tunday Kababi,400,"Mughlai,Lucknowi",Lucknow,Khurram Nagar,Casual Dining,1130am to 1030pm(Mon-Sun),Good,3.9,334
Bhojyam,300,North Indian,Lucknow,Nishatganj,none,9am to 11pm(Mon-Sun),Average,2.9,4
Bhargava Restaurant,400,"North Indian,Chinese,Fast Food",Lucknow,Hazratganj,Casual Dining,9am to 2am(Mon-Sun),Good,3.5,87
Dreamz Food & Hukka Point,700,"Fast Food,North Indian",Lucknow,Aliganj,Casual Dining,1030am to 1130pm(Mon-Sun),Good,3.6,92
Capoor & Sons,800,"North Indian,Mughlai,Continental,Desserts,American,Chinese,Italian,Oriental",Lucknow,Hazratganj,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.1,382
Bhatia Matthi Wale,250,"Street Food,Fast Food",Lucknow,Gomti Nagar,Quick Bites,8am to 10pm(Mon-Sun),Very Good,4.1,152
Chahat Biryani,350,"Mughlai,Rolls",Lucknow,Aliganj,Quick Bites,"11am to 11pm(Mon,Wed,Thu,Fri,Sat,Sun),Closed...",Good,3.8,940
Wadhwa Bakers,400,"Bakery,Fast Food",Lucknow,Alambagh,Bakery,830am to 1030pm(Mon-Sun),Excellent,4.5,486
Rajshree Sweets & Restaurant,400,"Chinese,South Indian,Mithai",Lucknow,Indira Nagar,Quick Bites,730am to 1030pm(Mon-Sun),Good,3.9,239
The Kalika Hut,850,"North Indian,Chinese",Lucknow,Gomti Nagar,Casual Dining,11am to 11pm(Mon-Sun),Good,3.9,693
Urban Turban - The Metropolitan Club,1500,"North Indian,Mughlai,Chinese,Continental",Lucknow,Metropolitan Club-- Gomti Nagar,Casual Dining,12noon to 11pm(Mon-Sun),Very Good,4.2,372
Bikanervala,500,"North Indian,South Indian,Desserts,Chinese,Fast Food",Lucknow,Indira Nagar,Quick Bites,11am to 11pm(Mon-Sun),Good,3.9,497
The Royal Bite,400,"Beverages,Desserts,Ice Cream,Cafe,Momos",Lucknow,Gomti Nagar,Dessert Parlor,11am to 11pm(Mon-Sun),Very Good,4.2,454
Naushijaan,600,"North Indian,Lucknowi,Mughlai",Lucknow,Lalbagh,Casual Dining,1pm to 1030pm(Mon-Sun),Very Good,4.0,476
Cafe WTF,800,"Cafe,Chinese,Sandwich,Burger,Fast Food",Lucknow,Indira Nagar,Café,11am to 11pm(Mon-Sun),Very Good,4.1,266
Al Zaiqa Restaurant,550,Mughlai,Lucknow,Lalbagh,Quick Bites,1130am to 1130pm(Mon-Sun),Good,3.8,181
Babian,500,"North Indian,Fast Food,Chinese,South Indian",Lucknow,Indira Nagar,Casual Dining,11am to 11pm(Mon-Sun),Good,3.8,512
Cafe Carribean,800,"Finger Food,Cafe",Lucknow,Aliganj,Lounge,11am to 1130pm(Mon-Sun),Dobré,3.7,142
Mr. Brown,400,"Fast Food,Desserts,Bakery",Lucknow,Hazratganj,Bakery,8am to 10pm(Mon-Sun),Very Good,4.2,336
Shree Ram Ram Restaurant,250,North Indian,Lucknow,Gomti Nagar,Dhaba,11am to 12midnight(Mon-Sun),Good,3.6,43
Purvanchal Eating Point,300,"North Indian,Mughlai,Chinese",Lucknow,Gomti Nagar,Casual Dining,11am to 1130pm(Mon-Sun),Average,3.4,73
The Jail Cafe,1200,"Thai,Pizza,North Indian,Healthy Food,Finger Food,Fast Food,Continental,Chinese",Lucknow,Aliganj,Casual Dining,1030am to 1130pm(Mon-Sun),Average,2.8,74
Foodie Restaurant,500,"North Indian,South Indian,Mughlai,Continental",Lucknow,Gomti Nagar,Casual Dining,7am to 3am(Mon-Sun),Good,3.6,59
Boomerang Restro and Lounge,800,Fast Food,Lucknow,Gomti Nagar,Lounge,11am to 1130pm(Mon-Sun),Average,3.4,56
Ambey Bhojanalaya,200,"Indian,Chinese,North Indian",Lucknow,Gomti Nagar,Dhaba,11am to 12midnight(Mon-Sun),Good,3.7,48
Kilo Bites,250,"Lucknowi,North Indian,Chinese",Lucknow,Gomti Nagar,Quick Bites,1030am to 1130pm(Mon-Sun),Good,3.6,73
Al-Baike,250,Fast Food,Lucknow,Chowk,Quick Bites,1130am to 1130pm(Mon-Sun),Good,3.7,45
P.U.J. - Pop Up Joint,150,"North Indian,Chinese,Italian",Lucknow,Gomti Nagar,Quick Bites,11am to 12midnight(Mon-Sun),Average,3.4,47
Comesum,350,"North Indian,South Indian,Fast Food",Lucknow,Charbagh,Quick Bites,24,Poor,2.3,81
Milkshake Factory,200,Beverages,Lucknow,Aliganj,Beverage Shop,9am to 12midnight(Mon-Sun),Good,3.6,56
Naturelo Ice Creams,300,"Ice Cream,Desserts",Lucknow,Hazratganj,Dessert Parlor,11am to 1230AM(Mon-Sun),Good,3.7,50
Cheenu's Kitchen,400,"North Indian,Chinese,South Indian",Lucknow,Gomti Nagar,Quick Bites,"1158am to 1135pm(Mon,Thu,Sun),1159am to ...",Good,3.7,35
Aladdin Cafe & Lounge,600,"North Indian,Mughlai",Lucknow,Gomti Nagar,Quick Bites,11am to 12midnight(Mon-Sun),Average,3.3,55
Mehfil,1200,"North Indian,Mughlai",Lucknow,Alambagh,Casual Dining,12noon to 12midnight(Mon-Sun),Average,3.4,51
Iron Grill,250,"North Indian,Healthy Food",Lucknow,Alambagh,none,7am to 12midnight(Mon-Sun),Good,3.5,29
All About Chicken,300,Biryani,Lucknow,Indira Nagar,Quick Bites,"12noon to 1130pm(Mon,Wed,Thu,Fri,Sat,Sun)...",Good,3.6,53
Giani's Ice Cream,300,"Desserts,Ice Cream",Lucknow,Hazratganj,Dessert Parlor,1230pm to 1230AM(Mon-Sun),Very Good,4.0,31
Tandoor,300,"Fast Food,North Indian",Lucknow,Chowk,Quick Bites,1230pm to 12midnight(Mon-Sun),Good,3.6,32
Big Heart Food Coner,250,"Desserts,Ice Cream,Momos",Lucknow,Aliganj,Dessert Parlor,"10am to 1130pm(Mon,Wed,Thu,Fri,Sat,Sun)...",Average,3.1,67
Cosme Multi Cuisine Restaurant - Hotel Levana Suites,2000,"American,North Indian,South Indian,Chinese,Continental,Desserts,European",Lucknow,Hazratganj,Fine Dining,630am to 1130pm(Mon-Sun),Good,3.9,28
Standard Foods,250,Street Food,Lucknow,Khurram Nagar,Quick Bites,5pm to 1130pm(Mon-Sun),Good,3.5,65
Lucknowi Kabab,700,Mughlai,Lucknow,Chowk,Casual Dining,12noon to 12midnight(Mon-Sun),Good,3.7,43
Food Chowk,300,"Biryani,North Indian",Lucknow,Hazratganj,none,11am to 12midnight(Mon-Sun),Good,3.7,22
ARMA - The Lounge And Game Station,600,"Chinese,Continental,Pizza,Mughlai,North Indian",Lucknow,Chowk,Casual Dining,"1130am to 1130pm(Mon,Tue,Wed,Thu,Fri,Sun)...",Good,3.5,38
Kozy Korner,400,North Indian,Lucknow,Indira Nagar,Quick Bites,1pm to 1130pm(Mon-Sun),Good,3.5,50
Hook Up Cafe,1300,"Fast Food,North Indian",Lucknow,Gomti Nagar,Lounge,12noon to 12midnight(Mon-Sun),Average,2.8,47
Haveli's Dastarkhwan,300,Mughlai,Lucknow,Aliganj,Casual Dining,11am to 12midnight(Mon-Sun),Average,3.3,40
Basila – By The River Front,1100,North Indian,Lucknow,Gomti Nagar,Casual Dining,"12noon to 330pm,7pm to 1130pm(Mon-Sun)",Good,3.6,10
The Magari,1200,"North Indian,Awadhi,BBQ,Continental",Lucknow,Alambagh,Club,12noon to 1130pm(Mon-Sun),Average,2.8,25
Ur Kitchen,250,"North Indian,Chinese,Mughlai,Lebanese,Street Food,Sandwich",Lucknow,Aliganj,none,12noon to 12midnight(Mon-Sun),Good,3.5,36
Amigo's,400,"Fast Food,Beverages",Lucknow,Gomti Nagar,Quick Bites,1130am to 1130pm(Mon-Sun),Good,3.6,42
Anjana Restaurant & Caterer,450,"North Indian,Chinese,Mughlai",Lucknow,Indira Nagar,none,11am to 1am(Mon-Sun),Average,3.4,40
Rasoi Wala,250,North Indian,Lucknow,Indira Nagar,Quick Bites,"11am to 4pm,7pm to 12midnight(Mon-Sun)",Average,3.1,52
Chickenmutton.com,500,Mughlai,Lucknow,Rajajipuram,Quick Bites,11am to 1130pm(Mon-Sun),Good,3.5,54
Ambey Bhojanalaya,400,North Indian,Lucknow,Gomti Nagar,Quick Bites,11am to 12midnight(Mon-Sun),Average,3.4,47
Punjabi Tadka,250,North Indian,Lucknow,Charbagh,Quick Bites,10am to 12midnight(Mon-Sun),Good,3.5,22
Day & Night Serve Restaurant,400,"North Indian,Chinese,Biryani",Lucknow,Gomti Nagar,none,24,Average,2.9,37
Bombay Pav Bhaji,350,"Maharashtrian,Fast Food",Lucknow,Sahara Ganj Mall-- Hazratganj,Quick Bites,11am to 1130pm(Mon-Sun),Average,3.0,29
Lucknow Da Adda,300,"Fast Food,Continental",Lucknow,Gomti Nagar,Quick Bites,1230pm to 1130pm(Mon-Sun),Average,3.2,38
Raj Luxmi Mishthan Bhandar,200,"Bakery,Mithai",Lucknow,Rajajipuram,Sweet Shop,6am to 1130pm(Mon-Sun),Average,3.4,29
Mishra Bhojanalaya,300,North Indian,Lucknow,Chowk,Dhaba,10am to 12midnight(Mon-Sun),Average,3.4,40
Matka Masala,250,"Biryani,Indian,Beverages,Finger Food,Lucknowi,North Indian,Mughlai",Lucknow,Gomti Nagar,Quick Bites,9am to 1130pm(Mon-Sun),Average,3.3,18
The London Shakes & Cafe,400,"Italian,Desserts,Beverages,Fast Food",Lucknow,Gomti Nagar,Quick Bites,12noon to 12midnight(Mon-Sun),Average,3.3,29
Easy Celebrations,400,Bakery,Lucknow,Gomti Nagar,Bakery,24,Good,3.5,32
P2 Pink Panther Restaurant & Bar,1100,"North Indian,Mughlai",Lucknow,Mahanagar,Lounge,12noon to 12midnight(Mon-Sun),Average,2.5,38
Maharaja Restaurant,500,"North Indian,South Indian,Chinese",Lucknow,Charbagh,Quick Bites,11am to 12midnight(Mon-Sun),Good,3.5,32
Jai Durgay Ma Vaishnav Bhojanalaya,250,"North Indian,Chinese,Street Food",Lucknow,Husain Ganj,Quick Bites,11am to 1am(Mon-Sun),Average,3.4,37
Caarwan Foods,250,"Mughlai,Chinese,BBQ",Lucknow,Mahanagar,Quick Bites,12noon to 1145pm(Mon-Sun),Good,3.6,37
Al-Bangs,300,"Fried Chicken,Roast Chicken",Lucknow,Lalbagh,Quick Bites,11am to 1130pm(Mon-Sun),Good,3.5,43
Al Laziz,350,Mughlai,Lucknow,Aminabad,Quick Bites,11am to 1am(Mon-Sun),Average,3.2,24
Radical Palace Restaurant,500,"North Indian,Chinese,South Indian",Lucknow,Charbagh,Casual Dining,11am to 1130pm(Mon-Sun),Good,3.6,36
Teavibe,150,Tea,Lucknow,Gomti Nagar,none,5am to 1155pm(Mon-Sun),Very Good,4.0,25
Bukhara Grill,1300,"North Indian,European,American",Lucknow,Aashiana,Casual Dining,24,Average,3.1,17
Dwar-E-Zaiqa,500,"Chinese,Mughlai",Lucknow,Hazratganj,Quick Bites,1130am to 1130pm(Mon-Sun),Average,3.4,16
Eat King,350,Mughlai,Lucknow,Aminabad,Quick Bites,3pm to 1130pm(Mon-Sun),Average,3.3,20
Ram Janki Mishtan Bhandar,150,Mithai,Lucknow,Chowk,Sweet Shop,6am to 1130pm(Mon-Sun),Average,3.4,20
GPS-Feed Your Hunger,350,"North Indian,Chinese",Lucknow,Gomti Nagar,Quick Bites,12noon to 12midnight(Mon-Sun),Average,3.2,24
Saleem Hotel,400,Mughlai,Lucknow,Mahanagar,Quick Bites,"1129am to 1130pm(Mon),1130am to 1130pm(Tue-Sun)",Average,3.4,19
Flavours,600,North Indian,Lucknow,Charbagh,Casual Dining,11am to 1130pm(Mon-Sun),Average,3.4,20
Chai Peeni Hai,100,Tea,Lucknow,Indira Nagar,Quick Bites,6am to 12midnight(Mon-Sun),Average,3.1,24
Tarush Restaurant,450,North Indian,Lucknow,Hazratganj,Quick Bites,10am to 12midnight(Mon-Sun),Average,3.4,24
The Big Island,800,"North Indian,Italian,Mughlai",Lucknow,Aashiana,none,24,Average,3.3,17
Raj Biryani Corner,250,"Biryani,Mughlai,North Indian",Lucknow,Alambagh,Quick Bites,1230pm to 1130pm(Mon-Sun),Average,3.4,26
Indo_Chini Foods,300,Chinese,Lucknow,Hazratganj,Quick Bites,5pm to 1130pm(Mon-Sun),Good,3.5,29
Jai Mata Vaishno Bhojanalaya,250,North Indian,Lucknow,Husain Ganj,Casual Dining,9am to 1am(Mon-Sun),Good,3.5,12
Dastan Lounge,800,"Mughlai,Chinese,Indian,Continental",Lucknow,Lalbagh,none,11am to 12midnight(Mon-Sun),Good,3.5,28
Labhedi Kulfi,100,Desserts,Lucknow,Kanpur Road,none,7am to 12midnight(Mon-Sun),Average,3.4,11
Tandoori Bar,300,"Rolls,Kebab",Lucknow,Aashiana,Casual Dining,"5pm to 1130pm(Mon,Wed,Thu,Fri,Sat,Sun)...",Average,3.1,18
The Chicken Adda,400,Fast Food,Lucknow,Aliganj,none,930am to 1130pm(Mon-Sun),Average,2.9,6
Khanna Food Point,300,Fast Food,Lucknow,Chowk,Quick Bites,11am to 12midnight(Mon-Sun),Average,3.1,9
CFC - Crispy Fried Chicken,300,"Biryani,Fast Food",Lucknow,Chowk,Quick Bites,12noon to 12midnight(Mon-Sun),Average,3.4,20
DC Rainbow Live Ice Cream,250,"Desserts,Ice Cream",Lucknow,Chowk,Dessert Parlor,2pm to 12midnight(Mon-Sun),Average,3.2,15
One Way,300,"North Indian,Chinese,Continental",Lucknow,Gomti Nagar,Quick Bites,11am to 12midnight(Mon-Sun),Average,3.4,17
V R Eating Point,350,"North Indian,Chinese",Lucknow,Indira Nagar,Quick Bites,3pm to 1am(Mon-Sun),Average,3.2,9
Shri Nath Ji Bhojanalaya,350,"North Indian,South Indian,Chinese",Lucknow,Charbagh,Quick Bites,730am to 1am(Mon-Sun),Average,3.3,13
Apurva Ras Restaurant,400,"North Indian,Mughlai",Lucknow,Gomti Nagar,Quick Bites,7am to 12midnight(Mon-Sun),Average,3.3,21
