Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Ice Cream Studio,400,"Ice Cream,Desserts",Ludhiana,Sarabha Nagar,Dessert Parlor,1130am to 1am(Mon-Sun),Excellent,4.8,927
The Table By Basant,600,"North Indian,Pizza,Fast Food,Burger,Sandwich,Rolls",Ludhiana,Gurudev Nagar,Casual Dining,11am to 11pm(Mon-Sun),Very Good,4.3,888
Natural Soups & Shakes,300,"South Indian,Pizza,Street Food,Beverages,Fast Food",Ludhiana,Civil Lines,Quick Bites,430pm to 1130pm(Mon-Sun),Excellent,4.5,903
Rishi Vegetarian Dhaba NK,300,North Indian,Ludhiana,Gill Road,Dhaba,9am to 11pm(Mon-Sun),Very Good,4.2,2166
Natural 2,250,"North Indian,Fast Food,Rolls,Momos,Chinese,Burger,Sandwich",Ludhiana,Civil Lines,Quick Bites,5pm to 11pm(Mon-Sun),Very Good,4.3,526
Hot Breads,800,"Continental,Chinese,Italian,Bakery",Ludhiana,Main Market-- Sarabha Nagar,Casual Dining,11am to 12midnight(Mon-Sun),Very Good,4.4,1086
Hawai Adda,1500,"Chinese,Continental,Indian,North Indian",Ludhiana,Aggar Nagar,Casual Dining,11am to 1130pm(Mon-Sun),Excellent,4.5,747
Bansi Vaishno Dhaba,450,North Indian,Ludhiana,Model Town,Quick Bites,"11am to 5pm,6pm to 11pm(Mon-Sun)",Very Good,4.0,1818
Raja Dhaba,500,"North Indian,Street Food,Chinese,Burger,Pizza,Biryani,South Indian",Ludhiana,PAU,Quick Bites,7am to 12midnight(Mon-Sun),Very Good,4.1,1170
New Delhi Chhole Bhature,150,"North Indian,Street Food",Ludhiana,Industrial Area,Quick Bites,9am to 11pm(Mon-Sun),Very Good,4.0,979
Burger King,500,"Burger,Fast Food",Ludhiana,Sarabha Nagar,Quick Bites,10am to 11pm(Mon-Sun),Very Good,4.0,1285
K Chawla Ice Cream & Sweets,300,"Mithai,Ice Cream,Chinese,Burger,Sandwich,Pizza,Rolls,Momos",Ludhiana,Industrial Area,Dessert Parlor,8am to 11pm(Mon-Sun),Very Good,4.4,391
Vipan Vaishno Dhaba,350,North Indian,Ludhiana,Janak Puri,Dhaba,11am to 11pm(Mon-Sun),Very Good,4.1,642
Gopal Sweets,450,"Mithai,Fast Food",Ludhiana,Sarabha Nagar,Sweet Shop,7am to 11pm(Mon-Sun),Very Good,4.3,489
Shahi Khansama,600,"North Indian,Chinese,Fast Food,Rolls",Ludhiana,Model Town,Quick Bites,10am to 11pm(Mon-Sun),Very Good,4.2,1302
The Upper Housee,1600,"North Indian,Chinese,Continental,Momos",Ludhiana,Pakhowal Road,Casual Dining,1030am to 12midnight(Mon-Sun),Very Good,4.3,196
Colonel's Cabin,1200,"North Indian,Chinese,Continental",Ludhiana,Model Town,Casual Dining,"11am to 1130pm(Mon-Sat),12noon to 1130pm(Sun)",Very Good,4.2,284
Ambala Spl Golgappe & Chaat,100,Street Food,Ludhiana,Ludhiana Junction,Kiosk,4pm to 11pm(Mon-Sun),Very Good,4.0,125
Hot Spicy,200,Fast Food,Ludhiana,Gill Road,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.0,167
Apna Dhabha,300,North Indian,Ludhiana,Dugri,Quick Bites,11am to 11pm(Mon-Sun),Good,3.9,246
Mrs Bector's Cremica,150,"Desserts,Ice Cream",Ludhiana,Main Market-- Sarabha Nagar,Dessert Parlor,10am to 12midnight(Mon-Sun),Very Good,4.1,236
Gujral Vaishno Dhaba,250,"North Indian,Indian",Ludhiana,Model Town,Dhaba,11am to 11pm(Mon-Sun),Good,3.8,186
FiTreat,800,"North Indian,Chinese,Continental,Healthy Food",Ludhiana,Gurudev Nagar,Casual Dining,11am to 1130pm(Mon-Sun),Very Good,4.1,114
Delhi Vaishno Dhaba,200,North Indian,Ludhiana,Ludhiana Junction,Dhaba,12noon to 1230AM(Mon-Sun),Good,3.9,189
Lark Dhaba,700,"North Indian,Mughlai",Ludhiana,Ludhiana Junction,Quick Bites,8am to 11pm(Mon-Sun),Average,3.0,260
The Bikers Cafe,800,"Cafe,Italian",Ludhiana,Sarabha Nagar,Café,10am to 1130pm(Mon-Sun),Average,3.3,179
New New York Pizzeria,350,Italian,Ludhiana,BRS Nagar,Quick Bites,11am to 4am(Mon-Sun),Good,3.7,235
Dabbu Di Hatti,500,North Indian,Ludhiana,Industrial Area,Quick Bites,5pm to 11pm(Mon-Sun),Very Good,4.1,287
Kipps,250,"Chinese,South Indian,Fast Food",Ludhiana,Main Market-- Sarabha Nagar,Quick Bites,11am to 11pm(Mon-Sun),Good,3.7,266
Pizza From Mexico,600,"Pizza,Fast Food",Ludhiana,BRS Nagar,Quick Bites,11am to 530am(Mon-Sun),Good,3.9,190
Mohan's Vegetarian,300,"North Indian,Fast Food",Ludhiana,Civil Lines,Quick Bites,11am to 11pm(Mon-Sun),Good,3.6,275
Ghanta Ghar,1200,"North Indian,Chinese,Continental",Ludhiana,Sarabha Nagar,Casual Dining,"11am to 1am(Mon,Tue,Wed,Thu,Sun),11am to 3am...",Very Good,4.1,161
Sweety Coffee House,300,"South Indian,Fast Food,Street Food",Ludhiana,Civil Lines,Quick Bites,10am to 11pm(Mon-Sun),Good,3.8,238
ABC Chicken,400,"North Indian,Fast Food",Ludhiana,PAU,Quick Bites,12noon to 11pm(Mon-Sun),Good,3.9,271
Refreshment Vegetarian & Non Veg,200,"Street Food,North Indian,Fast Food",Ludhiana,Dugri,Quick Bites,1pm to 11pm(Mon-Sun),Good,3.8,221
New New York Pizzeria,500,"Pizza,Italian,Fast Food",Ludhiana,Ludhiana Junction,Quick Bites,11am to 11pm(Mon-Sun),Average,2.7,223
Mr.Chef Food Court,400,"Burger,Sandwich,Fast Food,Pizza,Biryani,North Indian,Wraps",Ludhiana,Ludhiana Junction,Quick Bites,"12midnight to 1030pm(Mon-Tue),12noon to 1030pm...",Excellent,4.5,446
Mitra Di Veg Chaap,350,Fast Food,Ludhiana,Samrala Chowk,Quick Bites,11am to 11pm(Mon-Sun),Good,3.7,136
Wah Lajawaab,300,North Indian,Ludhiana,Pakhowal Road,Dhaba,"12midnight to 230am,11am to 12midnight(Mon-Sun)",Good,3.6,179
Sharman Jain Sweets,250,"North Indian,Mithai",Ludhiana,Civil Lines,Quick Bites,830am to 1030pm(Mon-Sun),Very Good,4.2,999
The Beer Street,1500,"North Indian,Italian,Chinese",Ludhiana,Dugri,Bar,11am to 1130pm(Mon-Sun),Very Good,4.0,213
Uttam Chicken Corner,700,"North Indian,Mughlai",Ludhiana,Civil Lines,Quick Bites,12noon to 12midnight(Mon-Sun),Good,3.8,240
Street Se,700,"Street Food,North Indian,Mughlai,Chinese",Ludhiana,Sarabha Nagar,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.1,127
Baba chicken,500,"North Indian,Mughlai,Chinese",Ludhiana,Gill Road,Quick Bites,1230pm to 11pm(Mon-Sun),Good,3.6,213
Jain Snacks Corner,150,Fast Food,Ludhiana,Ludhiana Junction,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.1,132
Pandit Ji Ke Kulche Chane,200,North Indian,Ludhiana,Civil Lines,Quick Bites,8am to 11pm(Mon-Sun),Good,3.9,193
3 K Resorts,500,"North Indian,Chinese",Ludhiana,BRS Nagar,Casual Dining,11am to 1115pm(Mon-Sun),Good,3.5,220
13 Miles,300,Fast Food,Ludhiana,Dugri,Quick Bites,11am to 11pm(Mon-Sun),Good,3.8,173
Gravy-Tation,450,North Indian,Ludhiana,BRS Nagar,none,"12noon to 11pm(Mon,Sat,Sun),1pm to 11pm(Tue-Fri)",Average,3.4,256
Sharman Jain Sweets,300,Mithai,Ludhiana,BRS Nagar,Sweet Shop,830am to 1030pm(Mon-Sun),Very Good,4.2,595
Kulcha Land,200,Street Food,Ludhiana,Model Town,Quick Bites,9am to 5pm(Mon-Sun),Very Good,4.3,478
Oberoi Cholle Bhature,250,"Street Food,Fast Food",Ludhiana,Ludhiana Junction,Quick Bites,8am to 5pm(Mon-Sun),Very Good,4.0,354
Rishika's Sweet Temptations,200,"Bakery,Fast Food",Ludhiana,Civil Lines,Quick Bites,10am to 10pm(Mon-Sun),Very Good,4.3,277
Bakes N Flakes,500,"Desserts,Bakery",Ludhiana,Dugri,Dessert Parlor,8am to 11pm(Mon-Sun),Average,3.4,16
Kiwi Kitchen,400,"Fast Food,North Indian,Chinese",Ludhiana,BRS Nagar,Quick Bites,"130pm to 11pm(Mon-Fri),130pm to 1130pm(Sat-Sun)",Good,3.5,236
Pandit ji Pav Bhaji,100,Street Food,Ludhiana,Ludhiana Junction,Quick Bites,130pm to 12midnight(Mon-Sun),Good,3.7,113
